,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,7.43,5.4632,0.73,,4.3546
0,20240103,7.46,4.2164,0.62,,4.3722
0,20240104,7.31,3.9271,0.63,,4.2843
0,20240105,7.24,4.9227,0.85,,4.2433
0,20240108,7.08,3.597,0.67,,4.1495
0,20240109,6.93,5.2626,1.19,,4.0616
0,20240110,6.71,4.8597,1.11,,3.9326
0,20240111,6.92,4.6774,1.04,,4.0557
0,20240112,6.72,4.0994,0.88,,3.9385
0,20240115,6.67,2.6912,0.6,,3.9092
0,20240116,6.62,4.0893,0.95,,3.8799
0,20240117,6.41,2.8276,0.69,,3.7568
0,20240118,6.36,4.4856,1.22,,3.7275
0,20240119,6.34,3.1454,0.86,,3.7158
0,20240122,5.71,6.9082,2.0,,3.3466
0,20240123,5.84,5.5729,1.3,,3.4228
0,20240124,5.98,4.8464,1.07,,3.5048
0,20240125,6.23,5.7251,1.16,,3.6513
0,20240126,6.27,6.2318,1.2,,3.6748
0,20240129,6.02,4.0381,0.69,,3.5282
0,20240130,5.85,3.0959,0.59,,3.4286
0,20240131,5.39,6.3958,1.34,,3.159
0,20240201,5.26,5.3778,1.06,,3.0828
0,20240202,5.05,6.5982,1.31,,2.9597
0,20240205,4.55,5.0044,0.98,,2.6667
0,20240206,4.43,9.5531,1.8,,2.5964
0,20240207,4.27,6.5394,0.99,,2.5026
0,20240208,4.56,6.8248,1.03,,2.6726
0,20240219,4.87,7.5125,1.09,,2.8542
0,20240220,5.36,8.3206,1.17,,3.1414
0,20240221,5.31,13.1749,1.7,,3.1121
0,20240222,5.51,10.67,1.26,,3.2293
0,20240223,5.71,11.6504,1.25,,3.3466
0,20240226,5.71,9.9245,0.97,,3.3466
0,20240227,5.94,8.8143,0.82,,3.4814
0,20240228,5.41,11.8089,1.09,,3.1707
0,20240229,5.7,8.3096,0.79,,3.3407
0,20240301,5.98,11.3377,1.12,,3.5048
0,20240304,6.05,10.5897,1.05,,3.5458
0,20240305,5.89,6.9544,0.68,,3.4521
0,20240306,5.88,5.0657,0.52,,3.4462
0,20240307,5.85,7.9311,0.94,,3.4286
0,20240308,5.84,5.2871,0.63,,3.4228
0,20240311,5.94,6.2745,0.88,,3.4814
0,20240312,6.11,10.8019,1.71,,3.581
0,20240313,6.13,8.7081,1.23,,3.5927
0,20240314,5.96,6.7787,0.87,,3.4931
0,20240315,5.98,4.0803,0.54,,3.5048
0,20240318,6.15,7.8639,1.07,,3.6044
0,20240319,6.2,9.022,1.18,,3.6337
0,20240320,6.34,10.1476,1.39,,3.7158
0,20240321,6.37,9.0554,1.19,,3.7334
0,20240322,6.32,7.4967,0.93,,3.7041
0,20240325,6.43,19.7293,2.26,,3.7685
0,20240326,6.09,12.3303,1.11,,3.5693
0,20240327,5.6,8.3054,0.71,,3.2821
0,20240328,5.87,7.7064,0.68,,3.4403
0,20240329,5.77,5.3503,0.48,,3.3817
0,20240401,5.87,4.2812,0.4,,3.4403
0,20240402,5.75,4.2239,0.56,,3.37
0,20240403,5.61,3.5332,0.59,,3.288
