,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.44,0.7491,1.25,13.4337,1.1477
0,20240103,4.48,0.5601,0.91,13.5547,1.1581
0,20240104,4.49,0.4464,0.7,13.5849,1.1607
0,20240105,4.44,0.5243,0.82,13.4337,1.1477
0,20240108,4.39,0.4248,0.69,13.2824,1.1348
0,20240109,4.44,0.4744,0.88,13.4337,1.1477
0,20240110,4.39,0.3864,0.8,13.2824,1.1348
0,20240111,4.42,0.4481,0.99,13.3732,1.1426
0,20240112,4.52,0.7569,1.68,13.6757,1.1684
0,20240115,4.48,0.7453,1.5,13.5547,1.1581
0,20240116,4.45,0.5915,1.05,13.4639,1.1503
0,20240117,4.33,0.5216,0.89,13.1009,1.1193
0,20240118,4.25,0.8341,1.36,12.8588,1.0986
0,20240119,4.21,0.4662,0.68,12.7378,1.0883
0,20240122,3.95,1.0538,1.67,11.9511,1.0211
0,20240123,3.96,0.9423,1.36,11.9814,1.0236
0,20240124,4.09,0.8145,1.07,12.3747,1.0573
0,20240125,4.37,1.1596,1.41,13.2219,1.1296
0,20240126,4.43,0.8906,1.0,13.4034,1.1451
0,20240129,4.37,0.9794,1.01,13.2219,1.1296
0,20240130,4.22,0.6992,0.73,12.768,1.0909
0,20240131,4.04,0.8898,0.98,12.2234,1.0443
0,20240201,3.93,1.1149,1.21,11.8906,1.0159
0,20240202,3.7,1.6394,1.79,11.1947,0.9564
0,20240205,3.39,1.7605,1.65,10.2568,0.8763
0,20240206,3.37,1.6333,1.34,10.1963,0.8711
0,20240207,3.25,1.9252,1.37,9.8332,0.8401
0,20240208,3.55,1.8916,1.17,10.7409,0.9177
0,20240219,3.71,1.3476,0.76,11.225,0.959
0,20240220,3.72,0.7701,0.45,11.2552,0.9616
0,20240221,3.78,0.9511,0.63,11.4368,0.9771
0,20240222,3.79,0.8506,0.62,11.467,0.9797
0,20240223,3.85,0.9023,0.78,11.6486,0.9952
0,20240226,3.99,1.5941,1.65,12.0721,1.0314
0,20240227,4.08,1.1108,1.1,12.3444,1.0547
0,20240228,3.88,1.5996,1.48,11.7393,1.003
0,20240229,3.99,1.1019,0.91,12.0721,1.0314
0,20240301,3.99,0.7028,0.56,12.0721,1.0314
0,20240304,3.97,0.7327,0.6,12.0116,1.0262
0,20240305,3.9,0.6596,0.63,11.7998,1.0081
0,20240306,3.9,0.5557,0.58,11.7998,1.0081
0,20240307,3.88,0.5071,0.68,11.7393,1.003
0,20240308,3.94,0.4969,0.79,11.9209,1.0185
0,20240311,4.07,1.0157,1.72,12.3142,1.0521
0,20240312,4.09,0.8435,1.3,12.3747,1.0573
0,20240313,4.04,0.5108,0.75,12.2234,1.0443
0,20240314,4.04,0.6292,0.93,12.2234,1.0443
0,20240315,4.11,0.9169,1.31,12.4352,1.0624
0,20240318,4.16,0.6489,0.83,12.5865,1.0753
0,20240319,4.14,0.605,0.85,12.526,1.0702
0,20240320,4.19,0.4803,0.73,12.6773,1.0831
0,20240321,4.2,0.4669,0.71,12.7075,1.0857
0,20240322,4.15,0.5349,0.86,12.5562,1.0728
0,20240325,4.09,0.5084,0.93,12.3747,1.0573
0,20240326,4.08,0.6766,1.3,12.3444,1.0547
0,20240327,3.98,0.4729,0.89,12.0419,1.0288
0,20240328,4.06,0.5188,0.98,12.2839,1.0495
0,20240329,4.13,0.4539,0.84,12.4957,1.0676
0,20240401,4.18,0.5588,1.06,12.647,1.0805
0,20240402,4.21,0.6457,1.2,12.7378,1.0883
0,20240403,4.22,0.459,0.87,12.768,1.0909
