,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,23.24,2.9461,0.39,43.5275,4.1291
0,20240103,23.29,2.5031,0.39,43.6211,4.138
0,20240104,23.04,1.5283,0.33,43.1529,4.0936
0,20240105,22.59,1.9807,0.6,42.3101,4.0136
0,20240108,22.38,1.0885,0.41,41.9167,3.9763
0,20240109,22.88,1.863,0.93,42.8532,4.0651
0,20240110,22.55,1.4378,0.8,42.2351,4.0065
0,20240111,23.09,1.769,1.12,43.2465,4.1024
0,20240112,22.68,1.48,0.91,42.4786,4.0296
0,20240115,22.5,1.1472,0.75,42.1415,3.9976
0,20240116,22.31,1.5883,1.03,41.7856,3.9639
0,20240117,21.8,1.5614,1.05,40.8304,3.8732
0,20240118,21.19,2.0385,1.35,39.6879,3.7649
0,20240119,20.82,1.3644,0.87,38.9949,3.6991
0,20240122,19.41,1.8817,1.22,36.3541,3.4486
0,20240123,18.89,2.0724,1.23,35.3801,3.3562
0,20240124,18.77,1.5849,0.89,35.1554,3.3349
0,20240125,19.81,1.791,1.0,37.1032,3.5197
0,20240126,20.0,1.9298,1.11,37.4591,3.5534
0,20240129,19.21,1.7174,0.93,35.9795,3.4131
0,20240130,18.52,1.1885,0.65,34.6871,3.2905
0,20240131,17.45,1.977,1.2,32.6831,3.1004
0,20240201,18.29,3.3895,1.97,34.2563,3.2496
0,20240202,17.11,3.428,1.68,32.0463,3.04
0,20240205,15.4,2.9231,1.25,28.8435,2.7361
0,20240206,14.85,2.6027,1.01,27.8134,2.6384
0,20240207,13.38,2.9816,1.04,25.0601,2.3772
0,20240208,14.47,3.0111,0.98,27.1017,2.5709
0,20240219,15.14,2.1691,0.73,28.3565,2.6899
0,20240220,15.33,1.3788,0.5,28.7124,2.7237
0,20240221,16.86,1.985,0.82,31.578,2.9955
0,20240222,18.49,4.8003,2.08,34.6309,3.2851
0,20240223,19.35,3.698,1.39,36.2417,3.4379
0,20240226,19.19,2.652,0.95,35.942,3.4095
0,20240227,19.75,1.8561,0.64,36.9909,3.509
0,20240228,18.5,2.7688,0.92,34.6497,3.2869
0,20240229,20.0,2.1661,0.69,37.4591,3.5534
0,20240301,19.88,1.3841,0.53,37.2343,3.5321
0,20240304,20.18,1.7928,0.83,37.7962,3.5854
0,20240305,20.02,2.2427,1.12,37.4966,3.557
0,20240306,20.75,1.803,0.87,38.8638,3.6867
0,20240307,21.12,1.927,1.03,39.5568,3.7524
0,20240308,21.42,1.1916,0.65,40.1187,3.8057
0,20240311,21.9,1.2921,0.72,41.0177,3.891
0,20240312,21.51,1.1916,0.7,40.2873,3.8217
0,20240313,21.79,1.2186,0.82,40.8117,3.8715
0,20240314,21.32,1.1558,0.85,39.9314,3.788
0,20240315,21.38,0.872,0.72,40.0438,3.7986
0,20240318,21.35,1.38,1.2,39.9876,3.7933
0,20240319,21.12,1.5617,1.34,39.5568,3.7524
0,20240320,21.25,1.1661,0.94,39.8003,3.7755
0,20240321,21.33,1.2233,1.0,39.9501,3.7897
0,20240322,20.84,1.1792,0.95,39.0324,3.7027
0,20240325,20.41,1.1713,0.9,38.227,3.6263
0,20240326,20.37,1.4075,1.12,38.1521,3.6192
0,20240327,20.35,2.0042,1.63,38.1146,3.6156
0,20240328,21.75,2.3924,1.71,40.7368,3.8644
0,20240329,21.74,1.5051,0.92,40.718,3.8626
0,20240401,22.97,2.6284,1.55,42.7113,4.1036
0,20240402,22.74,1.6967,0.85,42.2837,4.0625
0,20240403,22.77,1.0415,0.51,42.3395,4.0679
