,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.82,2.278,2.59,20.0065,1.6108
0,20240103,6.72,1.4637,1.21,19.7131,1.5872
0,20240104,6.71,0.7976,0.6,19.6838,1.5848
0,20240105,6.66,1.0729,0.81,19.5371,1.573
0,20240108,6.45,1.0564,0.78,18.9211,1.5234
0,20240109,6.47,0.7488,0.56,18.9798,1.5281
0,20240110,6.39,0.7692,0.75,18.7451,1.5093
0,20240111,6.53,1.0557,1.19,19.1558,1.5423
0,20240112,6.5,0.7196,0.77,19.0678,1.5352
0,20240115,6.49,0.7027,0.81,19.0384,1.5329
0,20240116,6.43,0.9584,1.2,18.8624,1.5187
0,20240117,6.26,0.9026,1.07,18.3637,1.4785
0,20240118,6.09,1.6181,1.86,17.865,1.4384
0,20240119,5.99,0.8228,0.84,17.5717,1.4148
0,20240122,5.66,1.4567,1.46,16.6036,1.3368
0,20240123,5.63,1.4316,1.24,16.5156,1.3297
0,20240124,5.77,1.3347,1.07,16.9263,1.3628
0,20240125,6.01,1.0689,0.8,17.6303,1.4195
0,20240126,6.04,0.804,0.66,17.7183,1.4266
0,20240129,5.88,1.1326,0.93,17.249,1.3888
0,20240130,5.75,0.9216,0.8,16.8676,1.3581
0,20240131,5.47,1.3696,1.3,16.0463,1.292
0,20240201,5.38,1.5522,1.47,15.7822,1.2707
0,20240202,5.03,2.246,1.94,14.7555,1.188
0,20240205,4.56,3.1658,2.19,13.3768,1.077
0,20240206,4.91,2.6841,1.45,14.4035,1.1597
0,20240207,5.04,2.4915,1.13,14.7848,1.1904
0,20240208,5.54,3.0246,1.25,16.2516,1.3085
0,20240219,5.42,2.95,1.08,15.8996,1.2801
0,20240220,5.4,1.2345,0.43,15.8409,1.2754
0,20240221,5.46,1.6053,0.65,16.0169,1.2896
0,20240222,5.55,1.1321,0.5,16.2809,1.3109
0,20240223,5.62,1.2646,0.64,16.4863,1.3274
0,20240226,5.88,2.3872,1.46,17.249,1.3888
0,20240227,5.97,1.3023,0.85,17.513,1.4101
0,20240228,5.64,1.9772,1.29,16.5449,1.3321
0,20240229,5.9,1.6973,1.05,17.3077,1.3935
0,20240301,5.91,1.227,0.71,17.337,1.3959
0,20240304,5.85,1.0463,0.61,17.161,1.3817
0,20240305,5.94,2.4103,1.66,17.425,1.403
0,20240306,5.98,2.3838,1.43,17.5423,1.4124
0,20240307,5.96,1.7371,0.99,17.4837,1.4077
0,20240308,5.93,1.0758,0.61,17.3957,1.4006
0,20240311,6.05,1.6445,0.95,17.7477,1.4289
0,20240312,6.66,4.5045,2.43,19.5371,1.573
0,20240313,6.52,6.3308,2.79,19.1264,1.54
0,20240314,6.4,2.9356,0.96,18.7744,1.5116
0,20240315,6.51,2.1291,0.65,19.0971,1.5376
0,20240318,6.79,4.2699,1.22,19.9185,1.6037
0,20240319,6.68,3.1416,0.78,19.5958,1.5777
0,20240320,7.0,4.7414,1.26,20.5345,1.6533
0,20240321,7.27,6.2925,1.83,21.3266,1.7171
0,20240322,7.22,5.622,1.37,21.1799,1.7053
0,20240325,6.84,4.4029,0.91,20.0651,1.6155
0,20240326,6.86,2.5768,0.53,20.1238,1.6203
0,20240327,6.71,2.9815,0.63,19.6838,1.5848
0,20240328,7.38,9.2877,2.12,21.6492,1.7431
0,20240329,8.12,11.4854,2.31,23.82,1.9179
0,20240401,8.26,19.2874,3.14,26.1279,1.9602
0,20240402,8.88,23.2272,2.55,28.0891,2.1073
0,20240403,8.79,22.6947,1.71,27.8044,2.086
