,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,14.83,0.2356,1.42,17.2556,2.9574
0,20240103,14.99,0.2673,1.43,17.4418,2.9894
0,20240104,14.73,0.2255,1.05,17.1393,2.9375
0,20240105,14.6,0.2015,0.89,16.988,2.9116
0,20240108,14.6,0.323,1.42,16.988,2.9116
0,20240109,14.55,0.2337,0.93,16.9298,2.9016
0,20240110,14.57,0.2021,0.81,16.9531,2.9056
0,20240111,14.25,0.375,1.58,16.5808,2.8418
0,20240112,14.53,0.1976,0.74,16.9066,2.8976
0,20240115,14.41,0.1329,0.5,16.7669,2.8737
0,20240116,14.5,0.1514,0.66,16.8717,2.8916
0,20240117,14.24,0.1419,0.67,16.5691,2.8398
0,20240118,14.11,0.3547,1.78,16.4179,2.8139
0,20240119,14.1,0.1701,0.87,16.4062,2.8119
0,20240122,13.6,0.2326,1.22,15.8245,2.7122
0,20240123,13.74,0.2276,1.08,15.9874,2.7401
0,20240124,13.8,0.2287,1.01,16.0572,2.752
0,20240125,14.16,0.2854,1.18,16.4761,2.8238
0,20240126,13.95,0.2206,0.96,16.2317,2.782
0,20240129,13.75,0.1963,0.82,15.999,2.7421
0,20240130,13.45,0.2157,0.93,15.6499,2.6822
0,20240131,13.34,0.2233,0.97,15.5219,2.6603
0,20240201,13.37,0.2755,1.21,15.5568,2.6663
0,20240202,13.26,0.323,1.43,15.4288,2.6443
0,20240205,13.16,0.3976,1.61,15.3125,2.6244
0,20240206,13.94,0.399,1.39,16.2201,2.78
0,20240207,13.96,0.4241,1.31,16.2433,2.7839
0,20240208,14.11,0.3428,0.94,16.4179,2.8139
0,20240219,14.5,0.3219,0.85,16.8717,2.8916
0,20240220,14.58,0.1889,0.5,16.9648,2.9076
0,20240221,14.51,0.2681,0.8,16.8833,2.8936
0,20240222,14.73,0.236,0.76,17.1393,2.9375
0,20240223,14.8,0.1904,0.7,17.2207,2.9515
0,20240226,14.84,0.2651,1.1,17.2673,2.9594
0,20240227,15.26,0.3471,1.51,17.756,3.0432
0,20240228,15.07,0.2553,0.98,17.5349,3.0053
0,20240229,15.27,0.1737,0.67,17.7676,3.0452
0,20240301,15.26,0.1474,0.6,17.756,3.0432
0,20240304,15.28,0.2395,1.01,17.7792,3.0472
0,20240305,15.37,0.2344,1.01,17.884,3.0651
0,20240306,15.32,0.1309,0.62,17.8258,3.0552
0,20240307,15.37,0.1859,1.0,17.884,3.0651
0,20240308,15.59,0.2772,1.48,18.14,3.109
0,20240311,15.12,0.2824,1.32,17.5931,3.0153
0,20240312,15.25,0.2871,1.29,17.7443,3.0412
0,20240313,15.25,0.1907,0.82,17.7443,3.0412
0,20240314,15.2,0.2272,0.93,17.6862,3.0312
0,20240315,15.32,0.2065,0.82,17.8258,3.0552
0,20240318,15.41,0.2472,1.04,17.9305,3.0731
0,20240319,15.6,0.3817,1.65,18.1516,3.111
0,20240320,15.84,0.1911,0.76,18.4308,3.1589
0,20240321,15.6,0.2069,0.83,18.1516,3.111
0,20240322,15.72,0.2706,1.1,20.4014,2.9914
0,20240325,15.74,0.2541,0.98,20.4273,2.9953
0,20240326,15.69,0.2403,0.92,20.3625,2.9857
0,20240327,15.51,0.1992,0.86,20.1289,2.9515
0,20240328,15.67,0.1867,0.8,20.3365,2.9819
0,20240329,16.35,0.5036,2.19,21.219,3.1113
0,20240401,16.84,0.6058,2.19,21.8549,3.2046
0,20240402,16.89,0.4009,1.16,21.9198,3.2141
0,20240403,16.93,0.2686,0.71,21.9717,3.2217
