,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.52,2.0316,1.74,53.6934,0.8277
0,20240103,4.65,2.4653,1.78,55.2376,0.8515
0,20240104,4.68,2.4977,1.46,55.594,0.857
0,20240105,4.65,3.3474,1.64,55.2376,0.8515
0,20240108,4.67,3.0873,1.3,55.4752,0.8551
0,20240109,4.72,1.9408,0.72,56.0692,0.8643
0,20240110,4.63,1.7754,0.67,55.0001,0.8478
0,20240111,4.62,1.2617,0.5,54.8813,0.846
0,20240112,4.64,1.2531,0.55,55.1188,0.8496
0,20240115,4.64,1.0123,0.54,55.1188,0.8496
0,20240116,4.63,1.0733,0.74,55.0001,0.8478
0,20240117,4.57,1.0075,0.79,54.2873,0.8368
0,20240118,4.63,1.9413,1.73,55.0001,0.8478
0,20240119,4.54,1.0246,0.81,53.9309,0.8313
0,20240122,4.41,1.2968,1.07,52.3867,0.8075
0,20240123,4.49,1.186,0.93,53.337,0.8222
0,20240124,4.53,1.3253,1.03,53.8122,0.8295
0,20240125,4.72,2.1053,1.55,56.0692,0.8643
0,20240126,4.72,1.2589,0.91,56.0692,0.8643
0,20240129,4.68,1.3352,0.93,55.594,0.857
0,20240130,4.86,4.3446,3.01,57.7322,0.8899
0,20240131,4.88,3.9,1.88,57.9698,0.8936
0,20240201,4.75,2.232,0.86,56.4255,0.8698
0,20240202,4.79,2.8062,1.07,56.9007,0.8771
0,20240205,4.52,2.7363,0.94,53.6934,0.8277
0,20240206,4.83,2.8322,0.88,57.3759,0.8844
0,20240207,4.89,2.6946,0.93,58.0886,0.8954
0,20240208,4.93,2.9554,1.11,58.5638,0.9028
0,20240219,4.95,2.3865,0.85,58.8014,0.9064
0,20240220,4.96,1.9344,0.71,58.9201,0.9082
0,20240221,4.96,3.2585,1.27,58.9201,0.9082
0,20240222,4.93,2.2312,0.84,58.5638,0.9028
0,20240223,5.15,4.8067,1.88,61.1772,0.943
0,20240226,5.05,3.192,1.09,59.9893,0.9247
0,20240227,5.12,2.6653,0.86,60.8208,0.9375
0,20240228,4.96,3.2004,0.99,58.9201,0.9082
0,20240229,5.03,2.2242,0.69,59.7517,0.9211
0,20240301,4.92,4.6655,1.45,58.445,0.9009
0,20240304,4.85,2.5444,0.8,57.6135,0.8881
0,20240305,4.94,2.6595,0.87,58.6826,0.9046
0,20240306,4.95,2.2013,0.72,58.8014,0.9064
0,20240307,4.88,2.1693,0.76,57.9698,0.8936
0,20240308,5.0,2.6775,0.94,59.3953,0.9156
0,20240311,5.03,3.0647,1.25,59.7517,0.9211
0,20240312,4.92,2.699,1.06,58.445,0.9009
0,20240313,4.94,2.2903,0.89,58.6826,0.9046
0,20240314,4.88,1.64,0.64,57.9698,0.8936
0,20240315,4.94,1.6447,0.66,58.6826,0.9046
0,20240318,5.07,5.0781,2.24,60.2268,0.9284
0,20240319,4.95,3.6408,1.36,58.8014,0.9064
0,20240320,4.95,1.7343,0.61,58.8014,0.9064
0,20240321,4.91,1.3527,0.49,58.3262,0.8991
0,20240322,4.83,1.649,0.61,57.3759,0.8844
0,20240325,4.82,1.8438,0.69,57.2571,0.8826
0,20240326,4.86,1.3801,0.68,57.7322,0.8899
0,20240327,4.83,1.6399,1.03,57.3759,0.8844
0,20240328,4.85,2.459,1.56,57.6135,0.8881
0,20240329,5.04,3.7377,2.08,59.8705,0.9229
0,20240401,5.09,2.7925,1.26,60.4644,0.9321
0,20240402,5.11,2.6542,1.11,60.702,0.9357
0,20240403,5.14,2.4464,0.92,61.0584,0.9412
