,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,14.03,6.0344,1.71,23.8623,2.8332
0,20240103,14.1,4.3083,1.03,23.9814,2.8474
0,20240104,13.88,4.1345,0.97,23.6072,2.8029
0,20240105,15.27,27.4583,6.04,25.9713,3.0836
0,20240108,16.8,50.2863,5.63,28.5736,3.3926
0,20240109,16.0,74.3873,4.03,27.2129,3.2311
0,20240110,15.06,59.2045,1.84,25.6142,3.0412
0,20240111,14.95,44.1984,1.03,25.4271,3.019
0,20240112,14.47,33.9788,0.66,24.6107,2.9221
0,20240115,14.1,24.4889,0.47,23.9814,2.8474
0,20240116,13.62,22.9712,0.49,23.165,2.7504
0,20240117,13.72,18.2984,0.49,23.3351,2.7706
0,20240118,13.02,20.7443,0.72,22.1445,2.6293
0,20240119,12.57,11.5403,0.48,21.3791,2.5384
0,20240122,11.74,12.0244,0.61,19.9675,2.3708
0,20240123,11.62,7.5929,0.44,19.7634,2.3466
0,20240124,12.0,9.6016,0.68,20.4097,2.4233
0,20240125,12.24,14.3109,1.16,20.8179,2.4718
0,20240126,12.04,10.033,0.91,20.4777,2.4314
0,20240129,12.29,15.0693,1.41,20.9029,2.4819
0,20240130,11.3,12.3686,1.09,19.2191,2.2819
0,20240131,10.62,9.0091,0.73,18.0626,2.1446
0,20240201,10.63,5.816,0.48,18.0796,2.1466
0,20240202,10.0,8.6312,0.83,17.0081,2.0194
0,20240205,9.0,11.2901,1.11,15.3073,1.8175
0,20240206,9.01,9.3016,0.99,15.3243,1.8195
0,20240207,8.85,10.1676,1.15,15.0521,1.7872
0,20240208,9.39,9.523,1.05,15.9706,1.8962
0,20240219,9.72,8.1303,0.83,16.5318,1.9629
0,20240220,9.93,5.4944,0.57,16.889,2.0053
0,20240221,10.08,7.0404,0.83,17.1441,2.0356
0,20240222,10.3,5.9767,0.74,17.5183,2.08
0,20240223,10.57,6.4336,0.89,17.9775,2.1345
0,20240226,10.73,7.0038,1.06,18.2497,2.1668
0,20240227,10.96,4.8692,0.76,18.6408,2.2133
0,20240228,9.95,11.4709,1.83,16.923,2.0093
0,20240229,10.4,7.4339,1.04,17.6884,2.1002
0,20240301,10.57,5.2888,0.71,17.9775,2.1345
0,20240304,10.44,5.4165,0.75,17.7564,2.1083
0,20240305,10.2,3.7923,0.55,17.3482,2.0598
0,20240306,10.35,5.5697,0.83,17.6034,2.0901
0,20240307,10.3,5.8566,1.06,17.5183,2.08
0,20240308,10.24,3.7854,0.73,17.4163,2.0679
0,20240311,10.69,7.8573,1.61,18.1816,2.1588
0,20240312,10.76,6.6795,1.24,18.3007,2.1729
0,20240313,10.71,5.1053,0.86,18.2156,2.1628
0,20240314,10.62,4.464,0.76,18.0626,2.1446
0,20240315,10.76,5.3866,0.97,18.3007,2.1729
0,20240318,11.02,6.8112,1.15,18.7429,2.2254
0,20240319,11.0,5.4771,0.96,18.7089,2.2214
0,20240320,11.13,5.5131,1.01,18.93,2.2476
0,20240321,11.03,7.7961,1.41,18.7599,2.2274
0,20240322,10.75,5.1747,0.84,18.2837,2.1709
0,20240325,10.48,1.2318,0.93,17.8245,2.1163
0,20240326,10.5,1.4276,1.12,17.8585,2.1204
0,20240327,10.0,1.1502,0.87,17.0081,2.0194
0,20240328,10.04,1.9751,1.5,17.0761,2.0275
0,20240329,10.16,1.0392,0.75,17.2802,2.0517
0,20240401,10.59,1.7642,1.29,18.0116,2.1386
0,20240402,10.71,1.3953,0.95,18.2156,2.1628
0,20240403,10.71,1.369,0.93,18.2156,2.1628
