,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,10.47,1.5679,1.37,332.2145,2.6524
0,20240103,10.27,1.022,0.84,325.8684,2.6018
0,20240104,10.32,1.0674,0.9,327.4549,2.6144
0,20240105,10.43,1.4065,1.13,330.9453,2.6423
0,20240108,10.23,1.8956,1.55,324.5992,2.5916
0,20240109,10.01,1.2739,0.92,317.6186,2.5359
0,20240110,10.01,1.3729,1.03,317.6186,2.5359
0,20240111,10.39,1.6058,1.14,329.6761,2.6322
0,20240112,11.12,4.3611,2.89,352.839,2.8171
0,20240115,11.04,2.9681,1.41,350.3006,2.7968
0,20240116,10.86,2.0606,0.89,344.5892,2.7512
0,20240117,10.65,1.1032,0.45,337.9259,2.698
0,20240118,10.67,1.8877,0.78,338.5605,2.7031
0,20240119,10.6,1.3815,0.56,336.3394,2.6854
0,20240122,9.54,3.0761,1.64,302.7054,2.4168
0,20240123,8.59,4.6358,2.44,272.5618,2.1762
0,20240124,9.29,4.8537,2.01,294.7729,2.3535
0,20240125,9.29,3.167,1.0,294.7729,2.3535
0,20240126,9.33,2.135,0.62,296.0421,2.3636
0,20240129,9.1,1.7905,0.5,288.7442,2.3054
0,20240130,8.6,3.2403,0.98,272.8791,2.1787
0,20240131,7.94,4.0618,1.34,251.9372,2.0115
0,20240201,7.46,3.9205,1.36,236.7068,1.8899
0,20240202,6.89,4.9132,1.62,218.6206,1.7455
0,20240205,6.2,2.0047,0.56,196.7268,1.5707
0,20240206,5.58,6.7341,1.86,177.0541,1.4136
0,20240207,5.08,6.964,1.61,161.1891,1.287
0,20240208,5.59,5.2369,1.07,177.3714,1.4162
0,20240219,6.04,4.6814,0.91,191.65,1.5302
0,20240220,6.19,2.8913,0.56,196.4095,1.5682
0,20240221,6.51,3.5292,0.67,206.5631,1.6492
0,20240222,7.06,3.4202,0.73,224.0147,1.7886
0,20240223,7.46,3.8455,0.97,236.7068,1.8899
0,20240226,7.8,4.2365,1.15,247.495,1.976
0,20240227,7.98,3.4992,0.98,253.2064,2.0216
0,20240228,7.43,10.3745,2.8,235.7549,1.8823
0,20240229,7.57,6.9839,1.38,240.1971,1.9178
0,20240301,7.59,3.6238,0.63,240.8317,1.9228
0,20240304,7.53,2.7434,0.48,238.9279,1.9076
0,20240305,7.16,3.4265,0.63,227.1877,1.8139
0,20240306,7.3,2.5144,0.46,231.6299,1.8494
0,20240307,7.72,4.956,1.28,244.9566,1.9558
0,20240308,8.16,3.9372,1.14,258.9179,2.0672
0,20240311,8.75,4.7992,1.37,277.6386,2.2167
0,20240312,8.5,3.191,0.81,269.7061,2.1534
0,20240313,8.81,3.6453,0.94,279.5424,2.2319
0,20240314,8.71,2.7507,0.67,276.3694,2.2066
0,20240315,9.0,2.8161,0.77,285.5712,2.28
0,20240318,8.91,2.568,0.75,282.7155,2.2572
0,20240319,9.0,1.7372,0.58,285.5712,2.28
0,20240320,9.13,2.0537,0.76,289.6961,2.313
0,20240321,8.83,2.8777,1.21,280.177,2.237
0,20240322,8.7,3.0792,1.28,276.0521,2.204
0,20240325,8.46,3.6062,1.46,268.4369,2.1432
0,20240326,8.64,2.5357,0.95,274.1483,2.1888
0,20240327,8.17,1.7107,0.6,259.2352,2.0698
0,20240328,8.46,1.7216,0.62,268.4369,2.1432
0,20240329,8.65,1.7327,0.68,274.4656,2.1914
0,20240401,8.89,1.652,0.73,282.0809,2.2522
0,20240402,8.78,1.7526,0.94,278.5905,2.2243
0,20240403,8.55,1.4868,0.87,271.2926,2.166
