,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.86,0.678,1.1,5.5417,1.2908
0,20240103,6.89,0.717,1.11,5.5659,1.2964
0,20240104,6.87,0.6982,1.04,5.5498,1.2927
0,20240105,6.8,0.6663,0.92,5.4932,1.2795
0,20240108,6.7,0.6548,0.95,5.4124,1.2607
0,20240109,6.71,0.5671,0.83,5.4205,1.2626
0,20240110,6.67,0.544,0.82,5.3882,1.2551
0,20240111,6.71,0.5888,0.94,5.4205,1.2626
0,20240112,6.73,0.5663,0.94,5.4367,1.2663
0,20240115,6.71,0.4773,0.82,5.4205,1.2626
0,20240116,6.67,0.7678,1.4,5.3882,1.2551
0,20240117,6.53,0.6011,1.02,5.2751,1.2287
0,20240118,6.38,1.3043,2.17,5.1539,1.2005
0,20240119,6.35,0.5835,0.79,5.1297,1.1948
0,20240122,6.02,1.2611,1.69,4.8631,1.1327
0,20240123,6.07,1.3119,1.45,4.9035,1.1422
0,20240124,6.16,1.0691,1.06,4.9762,1.1591
0,20240125,6.38,0.963,0.87,5.1539,1.2005
0,20240126,6.47,0.8457,0.81,5.2266,1.2174
0,20240129,6.34,0.6887,0.63,5.1216,1.193
0,20240130,6.19,0.6288,0.64,5.0005,1.1647
0,20240131,5.98,0.8902,1.06,4.8308,1.1252
0,20240201,5.87,1.1126,1.39,4.742,1.1045
0,20240202,5.55,1.6711,2.01,4.4834,1.0443
0,20240205,5.08,1.6315,1.63,4.1038,0.9559
0,20240206,5.33,1.8393,1.55,4.3057,1.0029
0,20240207,5.37,2.0804,1.46,4.338,1.0104
0,20240208,5.76,2.1566,1.29,4.6531,1.0838
0,20240219,5.93,2.0488,1.09,4.7904,1.1158
0,20240220,5.93,0.8862,0.45,4.7904,1.1158
0,20240221,5.95,1.1252,0.62,4.8066,1.1196
0,20240222,6.0,0.8339,0.5,4.847,1.129
0,20240223,6.04,0.9306,0.66,4.8793,1.1365
0,20240226,6.03,1.052,0.9,4.8712,1.1346
0,20240227,6.12,0.8888,0.92,4.9439,1.1516
0,20240228,5.93,1.3947,1.44,4.7904,1.1158
0,20240229,6.12,1.3895,1.36,4.9439,1.1516
0,20240301,6.18,1.5161,1.34,4.9924,1.1629
0,20240304,6.08,1.0872,0.87,4.9116,1.144
0,20240305,6.01,0.9099,0.72,4.855,1.1309
0,20240306,6.05,0.7284,0.58,4.8874,1.1384
0,20240307,6.09,1.0863,0.96,4.9197,1.1459
0,20240308,6.1,0.5693,0.53,4.9278,1.1478
0,20240311,6.15,0.8203,0.94,4.9681,1.1572
0,20240312,6.13,0.7748,0.94,4.952,1.1534
0,20240313,6.13,0.6677,0.84,4.952,1.1534
0,20240314,6.09,0.8171,1.04,4.9197,1.1459
0,20240315,6.18,0.904,1.24,4.9924,1.1629
0,20240318,6.23,1.0175,1.28,5.0328,1.1723
0,20240319,6.21,0.8556,1.02,5.0166,1.1685
0,20240320,6.28,0.9595,1.13,5.0732,1.1817
0,20240321,6.39,1.6391,1.8,5.162,1.2024
0,20240322,6.77,6.5883,6.13,5.8038,1.17
0,20240325,6.54,3.5933,1.62,5.6066,1.1302
0,20240326,6.54,2.3308,0.85,5.6066,1.1302
0,20240327,6.57,2.3077,0.76,5.6323,1.1354
0,20240328,6.6,1.728,0.52,5.6581,1.1406
0,20240329,6.65,1.7048,0.52,5.7009,1.1492
0,20240401,6.88,2.5422,1.09,5.8981,1.189
0,20240402,7.07,3.1856,1.5,6.061,1.2218
0,20240403,7.18,3.093,1.35,6.1553,1.2408
