,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,1.59,0.9493,1.25,,4.4119
0,20240103,1.57,1.0255,1.21,,4.3565
0,20240104,1.54,0.7691,0.83,,4.2732
0,20240105,1.52,0.8386,0.92,,4.2177
0,20240108,1.51,0.676,0.76,,4.19
0,20240109,1.5,0.7718,0.91,,4.1622
0,20240110,1.5,0.7838,0.96,,4.1622
0,20240111,1.54,1.0196,1.33,,4.2732
0,20240112,1.53,0.9266,1.13,,4.2455
0,20240115,1.51,0.3709,0.44,,4.19
0,20240116,1.5,0.6472,0.84,,4.1622
0,20240117,1.48,0.4045,0.54,,4.1067
0,20240118,1.49,0.7235,1.07,,4.1345
0,20240119,1.48,0.3861,0.63,,4.1067
0,20240122,1.43,0.6442,1.27,,3.968
0,20240123,1.42,0.4999,0.89,,3.9402
0,20240124,1.44,0.6632,1.25,,3.9957
0,20240125,1.46,0.6077,1.04,,4.0512
0,20240126,1.49,0.7337,1.31,,4.1345
0,20240129,1.42,0.6797,1.08,,3.9402
0,20240130,1.4,0.4531,0.71,,3.8847
0,20240131,1.36,0.6564,1.05,,3.7737
0,20240201,1.33,0.6902,1.1,,3.6905
0,20240202,1.26,1.2379,1.93,,3.4963
0,20240205,1.16,1.2443,1.67,,3.2188
0,20240206,1.23,1.2495,1.46,,3.413
0,20240207,1.17,1.138,1.12,,3.2465
0,20240208,1.22,1.0637,0.96,,3.3853
0,20240219,1.25,0.8061,0.68,,3.4685
0,20240220,1.24,0.5405,0.49,,3.4408
0,20240221,1.28,1.1244,1.17,,3.5518
0,20240222,1.3,0.9986,1.07,,3.6073
0,20240223,1.32,0.9218,1.02,,3.6627
0,20240226,1.36,1.5996,1.82,,3.7737
0,20240227,1.41,1.2136,1.17,,3.9125
0,20240228,1.32,1.4299,1.22,,3.6627
0,20240229,1.35,0.8333,0.68,,3.746
0,20240301,1.33,0.7628,0.64,,3.6905
0,20240304,1.29,0.9995,0.86,,3.5795
0,20240305,1.26,0.7858,0.75,,3.4963
0,20240306,1.28,0.5669,0.59,,3.5518
0,20240307,1.27,0.6898,0.87,,3.524
0,20240308,1.26,0.4112,0.54,,3.4963
0,20240311,1.3,0.7094,1.03,,3.6073
0,20240312,1.33,0.8031,1.27,,3.6905
0,20240313,1.46,1.0731,1.69,,4.0512
0,20240314,1.41,2.9928,4.06,,3.9125
0,20240315,1.55,2.58,2.15,,4.301
0,20240318,1.56,3.582,2.2,,4.3287
0,20240319,1.52,1.6575,0.75,,4.2177
0,20240320,1.51,1.1918,0.5,,4.19
0,20240321,1.6,2.2917,0.95,,4.4397
0,20240322,1.65,2.3117,1.02,,4.5784
0,20240325,1.61,1.6927,0.77,,4.4674
0,20240326,1.62,1.1864,0.65,,4.4952
0,20240327,1.54,1.0739,0.62,,4.2732
0,20240328,1.57,0.8076,0.47,,4.3565
0,20240329,1.61,0.7518,0.53,,4.4674
0,20240401,1.61,0.7404,0.67,,4.4674
0,20240402,1.58,0.9462,1.04,,4.3842
0,20240403,1.55,0.8181,0.95,,4.301
