,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,18.35,1.4653,1.19,5.211,2.3298
0,20240103,18.4,1.1395,0.86,5.2252,2.3362
0,20240104,18.29,1.4705,1.16,5.1939,2.3222
0,20240105,18.26,1.1826,0.9,5.1854,2.3184
0,20240108,18.17,0.9584,0.76,5.1598,2.307
0,20240109,18.3,1.1495,0.92,5.1968,2.3235
0,20240110,18.0,1.0422,0.88,5.1116,2.2854
0,20240111,17.59,1.1745,1.01,4.9951,2.2333
0,20240112,17.58,0.9178,0.83,4.9923,2.2321
0,20240115,17.55,0.9202,0.88,4.9838,2.2283
0,20240116,17.59,0.9649,0.93,4.9951,2.2333
0,20240117,17.18,0.8269,0.82,4.8787,2.1813
0,20240118,16.94,1.4762,1.54,4.8106,2.1508
0,20240119,16.62,1.4856,1.45,4.7197,2.1102
0,20240122,16.06,1.1786,1.04,4.5607,2.0391
0,20240123,16.38,1.1897,1.0,4.6515,2.0797
0,20240124,16.79,1.0582,0.86,4.768,2.1318
0,20240125,17.26,1.2872,1.01,4.9014,2.1914
0,20240126,17.19,0.9287,0.75,4.8816,2.1826
0,20240129,16.94,1.1602,1.03,4.8106,2.1508
0,20240130,16.84,1.0117,0.9,4.7822,2.1381
0,20240131,16.88,0.9215,0.85,4.7935,2.1432
0,20240201,16.7,0.841,0.79,4.7424,2.1203
0,20240202,16.5,1.1631,1.2,4.6856,2.0949
0,20240205,16.79,1.1929,1.17,4.768,2.1318
0,20240206,17.06,1.1761,1.15,4.8446,2.166
0,20240207,17.71,1.5479,1.46,5.0292,2.2486
0,20240208,17.83,1.3646,1.15,5.0633,2.2638
0,20240219,18.89,1.9676,1.53,5.3643,2.3984
0,20240220,20.11,2.4376,1.68,5.7108,2.5533
0,20240221,19.56,1.3627,0.8,5.5546,2.4835
0,20240222,20.28,1.5085,0.87,5.759,2.5749
0,20240223,19.68,1.4366,0.83,5.5887,2.4987
0,20240226,19.01,2.0837,1.2,5.3984,2.4136
0,20240227,18.74,2.106,1.19,5.3217,2.3794
0,20240228,18.36,2.2411,1.32,5.2138,2.3311
0,20240229,18.39,2.0713,1.1,5.2223,2.3349
0,20240301,18.94,2.6643,1.34,5.3785,2.4047
0,20240304,19.17,2.1613,0.97,5.4438,2.4339
0,20240305,19.2,1.3739,0.61,5.4523,2.4378
0,20240306,19.17,1.449,0.69,5.4438,2.4339
0,20240307,19.23,1.3463,0.69,5.4609,2.4416
0,20240308,19.12,1.2616,0.7,5.4296,2.4276
0,20240311,18.59,1.4618,0.96,5.2791,2.3603
0,20240312,17.72,2.4729,1.79,5.0321,2.2498
0,20240313,17.52,1.6003,1.0,4.9753,2.2245
0,20240314,17.5,1.5917,0.98,4.9696,2.2219
0,20240315,17.1,2.1947,1.31,4.856,2.1711
0,20240318,16.82,1.9225,1.03,4.7765,2.1356
0,20240319,17.27,3.0884,1.58,4.9043,2.1927
0,20240320,17.47,2.1663,1.04,4.9611,2.2181
0,20240321,17.19,1.6615,0.76,4.8816,2.1826
0,20240322,17.32,1.8162,0.82,4.9185,2.1991
0,20240325,17.2,1.8288,0.86,4.8844,2.1838
0,20240326,16.79,2.3027,1.09,4.768,2.1318
0,20240327,16.76,1.2363,0.63,4.7594,2.128
0,20240328,16.78,1.2937,0.73,4.7651,2.1305
0,20240329,17.16,1.559,0.92,4.873,2.1787
0,20240401,15.45,5.1769,3.15,7.1905,1.9536
0,20240402,15.07,3.9674,1.71,7.0137,1.9056
0,20240403,15.36,2.4326,0.92,7.1486,1.9422
