,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,14.2,0.6455,1.88,14.0534,2.124
0,20240103,13.88,0.4172,1.0,13.7367,2.0761
0,20240104,13.47,0.5201,1.13,13.3311,2.0148
0,20240105,13.3,0.3197,0.62,13.1629,1.9894
0,20240108,13.08,0.2939,0.62,12.9451,1.9565
0,20240109,13.19,0.447,1.02,13.054,1.9729
0,20240110,12.91,0.3487,0.87,12.7769,1.931
0,20240111,13.15,0.3714,0.96,13.013,1.9669
0,20240112,12.86,0.3006,0.84,12.726,1.9235
0,20240115,12.72,0.3002,0.85,12.5875,1.9026
0,20240116,12.91,0.5155,1.46,12.7755,1.931
0,20240117,12.68,0.386,1.05,12.5479,1.8966
0,20240118,13.71,1.1196,2.99,13.5671,2.0507
0,20240119,14.2,1.0042,1.92,14.052,2.124
0,20240122,14.4,1.0821,1.63,14.25,2.1539
0,20240123,14.5,0.8306,1.01,14.3489,2.1688
0,20240124,14.5,0.7142,0.81,14.3489,2.1688
0,20240125,15.08,0.8344,0.88,14.9229,2.2556
0,20240126,14.41,0.7087,0.79,14.2599,2.1554
0,20240129,13.59,0.6148,0.74,13.4484,2.0327
0,20240130,13.5,0.3812,0.51,13.3593,2.0193
0,20240131,13.31,0.446,0.69,13.1713,1.9908
0,20240201,14.56,0.9067,1.52,14.4083,2.1778
0,20240202,13.92,0.8034,1.31,13.775,2.0821
0,20240205,14.77,1.1223,1.78,14.6161,2.2092
0,20240206,15.53,1.1771,1.61,15.3682,2.3229
0,20240207,15.3,0.8762,0.98,15.1406,2.2885
0,20240208,15.7,0.9432,0.97,15.5364,2.3483
0,20240219,17.27,1.0025,1.02,17.0901,2.5831
0,20240220,18.49,1.5393,1.5,18.2973,2.7656
0,20240221,17.55,1.2533,1.13,17.3671,2.625
0,20240222,18.19,1.3073,1.16,18.0005,2.7208
0,20240223,18.17,1.128,0.93,17.9807,2.7178
0,20240226,17.67,0.8912,0.72,17.4859,2.643
0,20240227,19.33,1.4438,1.18,19.1286,2.8913
0,20240228,18.2,1.1062,0.92,18.0104,2.7223
0,20240229,18.69,0.9201,0.78,18.4953,2.7955
0,20240301,20.02,1.2509,1.14,19.8114,2.9945
0,20240304,22.02,1.3521,1.2,21.7906,3.2936
0,20240305,22.75,1.5617,1.29,22.513,3.4028
0,20240306,22.01,1.1609,0.94,21.7807,3.2921
0,20240307,22.61,1.3627,1.09,22.3744,3.3819
0,20240308,24.87,1.4405,1.08,24.6109,3.7199
0,20240311,25.82,1.6938,1.23,25.551,3.862
0,20240312,24.8,1.5756,1.09,24.5416,3.7094
0,20240313,24.35,2.4807,1.71,24.0963,3.6421
0,20240314,22.85,2.776,1.62,21.5726,3.238
0,20240315,23.08,1.8065,0.91,21.7897,3.2706
0,20240318,25.01,2.1417,1.04,23.6118,3.5441
0,20240319,25.51,1.9115,0.89,24.0839,3.615
0,20240320,25.08,1.507,0.68,23.6779,3.5541
0,20240321,24.99,1.3597,0.67,23.5929,3.5413
0,20240322,24.43,1.3127,0.75,23.0642,3.4619
0,20240325,23.91,1.1796,0.72,22.5733,3.3883
0,20240326,23.73,1.242,0.85,22.4034,3.3627
0,20240327,22.41,1.1981,0.91,21.1572,3.1757
0,20240328,23.45,1.3897,1.1,22.139,3.3231
0,20240329,22.77,0.8538,0.68,21.497,3.2267
0,20240401,23.31,0.8568,0.73,22.0069,3.3032
0,20240402,22.9,0.7757,0.7,21.6198,3.2451
0,20240403,21.92,0.8918,0.88,20.6947,3.106
