,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.62,0.5481,1.01,110.5157,1.325
0,20240103,4.65,0.5928,1.16,111.2333,1.3336
0,20240104,4.6,0.5695,1.07,110.0372,1.3193
0,20240105,4.57,0.5271,0.91,109.3196,1.3107
0,20240108,4.49,0.5516,0.99,107.4059,1.2877
0,20240109,4.48,0.4,0.72,107.1667,1.2849
0,20240110,4.69,1.6806,3.18,112.1901,1.3451
0,20240111,4.68,1.1121,1.49,111.9509,1.3422
0,20240112,4.65,0.6226,0.73,111.2333,1.3336
0,20240115,4.65,0.4041,0.46,111.2333,1.3336
0,20240116,4.6,0.4513,0.53,110.0372,1.3193
0,20240117,4.52,0.4218,0.49,108.1235,1.2963
0,20240118,4.52,0.6207,1.03,108.1235,1.2963
0,20240119,4.47,0.2945,0.58,106.9275,1.282
0,20240122,4.19,0.7256,1.65,100.2296,1.2017
0,20240123,4.34,0.5486,1.09,103.8177,1.2447
0,20240124,4.73,2.5619,4.91,113.147,1.3566
0,20240125,4.86,2.664,2.8,116.2567,1.3938
0,20240126,4.94,2.917,2.15,118.1704,1.4168
0,20240129,4.79,1.7193,0.91,114.5822,1.3738
0,20240130,4.6,1.2103,0.58,110.0372,1.3193
0,20240131,4.27,1.2504,0.56,102.1433,1.2246
0,20240201,4.12,1.2711,0.65,98.5551,1.1816
0,20240202,4.03,1.239,0.74,96.4022,1.1558
0,20240205,3.67,1.3288,0.99,87.7906,1.0526
0,20240206,3.89,1.1026,0.88,93.0532,1.1156
0,20240207,4.06,0.903,0.73,97.1198,1.1644
0,20240208,4.23,1.3233,1.13,101.1864,1.2132
0,20240219,4.16,0.9491,0.8,99.5119,1.1931
0,20240220,4.2,0.5781,0.52,100.4688,1.2046
0,20240221,4.21,0.9043,0.93,100.708,1.2074
0,20240222,4.27,0.7047,0.76,102.1433,1.2246
0,20240223,4.29,0.6269,0.7,102.6217,1.2304
0,20240226,4.25,0.7447,0.99,101.6648,1.2189
0,20240227,4.35,0.7314,1.03,104.0569,1.2476
0,20240228,4.21,1.1516,1.55,100.708,1.2074
0,20240229,4.28,0.6686,0.84,102.3825,1.2275
0,20240301,4.29,0.4989,0.64,102.6217,1.2304
0,20240304,4.21,0.7073,0.93,100.708,1.2074
0,20240305,4.15,0.4764,0.63,99.2727,1.1902
0,20240306,4.2,0.554,0.79,100.4688,1.2046
0,20240307,4.15,0.5125,0.88,99.2727,1.1902
0,20240308,4.13,0.4529,0.82,98.7943,1.1845
0,20240311,4.19,0.4452,0.82,100.2296,1.2017
0,20240312,4.3,1.0241,2.1,102.8609,1.2332
0,20240313,4.21,0.6971,1.17,100.708,1.2074
0,20240314,4.17,0.6158,0.98,99.7511,1.196
0,20240315,4.21,0.5871,0.91,100.708,1.2074
0,20240318,4.22,0.5756,0.85,100.9472,1.2103
0,20240319,4.19,0.4991,0.71,100.2296,1.2017
0,20240320,4.2,0.4412,0.74,100.4688,1.2046
0,20240321,4.22,0.8028,1.48,100.9472,1.2103
0,20240322,4.17,0.5723,0.98,99.7511,1.196
0,20240325,4.12,0.6331,1.09,98.5551,1.1816
0,20240326,4.16,0.6275,1.06,99.5119,1.1931
0,20240327,4.02,0.7189,1.17,96.163,1.1529
0,20240328,4.06,0.5176,0.77,97.1198,1.1644
0,20240329,4.06,0.3737,0.61,97.1198,1.1644
0,20240401,4.12,0.3884,0.68,98.5551,1.1816
0,20240402,4.12,0.4487,0.85,98.5551,1.1816
0,20240403,4.08,0.3833,0.78,97.5982,1.1701
