,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.53,1.5518,1.13,24.1758,0.6694
0,20240103,3.56,1.8357,1.35,24.3813,0.6751
0,20240104,3.6,2.0055,1.37,24.6552,0.6827
0,20240105,3.6,1.9335,1.18,24.6552,0.6827
0,20240108,3.56,1.725,0.98,24.3813,0.6751
0,20240109,3.58,1.3868,0.77,24.5183,0.6789
0,20240110,3.55,1.4492,0.82,24.3128,0.6732
0,20240111,3.61,1.4922,0.88,24.7237,0.6846
0,20240112,3.62,1.7937,1.12,24.7922,0.6865
0,20240115,3.66,1.5699,1.0,25.0661,0.694
0,20240116,3.66,2.3351,1.52,25.0661,0.694
0,20240117,3.56,1.8118,1.05,24.3813,0.6751
0,20240118,3.49,2.4084,1.34,23.9019,0.6618
0,20240119,3.43,1.5154,0.76,23.4909,0.6504
0,20240122,3.23,1.6991,0.88,22.1212,0.6125
0,20240123,3.24,2.612,1.34,22.1897,0.6144
0,20240124,3.41,3.1034,1.54,23.354,0.6466
0,20240125,3.63,2.7328,1.21,24.8607,0.6884
0,20240126,3.77,3.5603,1.53,25.8195,0.7149
0,20240129,3.65,2.7681,1.01,24.9977,0.6922
0,20240130,3.46,2.7171,0.92,23.6964,0.6561
0,20240131,3.16,4.4258,1.49,21.6418,0.5992
0,20240201,3.01,4.7512,1.47,20.6145,0.5708
0,20240202,2.89,3.9864,1.09,19.7927,0.548
0,20240205,2.6,3.324,0.89,17.8066,0.493
0,20240206,2.41,7.2714,1.89,16.5053,0.457
0,20240207,2.18,8.2654,1.74,14.9301,0.4134
0,20240208,2.35,6.188,1.12,16.0944,0.4456
0,20240219,2.48,4.2916,0.74,16.9847,0.4703
0,20240220,2.49,3.0141,0.51,17.0532,0.4722
0,20240221,2.56,4.1185,0.71,17.5326,0.4855
0,20240222,2.63,2.8632,0.55,18.012,0.4987
0,20240223,2.71,2.9316,0.72,18.5599,0.5139
0,20240226,2.75,3.1447,0.91,18.8339,0.5215
0,20240227,2.84,2.4427,0.76,19.4502,0.5385
0,20240228,2.6,5.178,1.67,17.8066,0.493
0,20240229,2.68,3.1567,0.95,18.3544,0.5082
0,20240301,2.71,2.3316,0.69,18.5599,0.5139
0,20240304,2.64,2.6547,0.82,18.0805,0.5006
0,20240305,2.57,1.7439,0.55,17.6011,0.4873
0,20240306,2.59,1.7004,0.56,17.7381,0.4911
0,20240307,2.66,3.7629,1.62,18.2175,0.5044
0,20240308,2.63,2.3982,0.98,18.012,0.4987
0,20240311,2.67,2.0366,0.83,18.286,0.5063
0,20240312,2.76,2.9835,1.28,18.9023,0.5234
0,20240313,2.72,2.0282,0.79,18.6284,0.5158
0,20240314,2.72,1.9846,0.75,18.6284,0.5158
0,20240315,2.75,1.5454,0.68,18.8339,0.5215
0,20240318,2.79,1.6657,0.79,19.1078,0.5291
0,20240319,2.79,1.8145,0.89,19.1078,0.5291
0,20240320,2.83,1.74,0.96,19.3817,0.5367
0,20240321,2.86,1.752,1.0,19.5872,0.5423
0,20240322,2.8,1.9408,1.14,19.1763,0.531
0,20240325,2.77,1.9488,1.09,18.9708,0.5253
0,20240326,2.85,2.4093,1.31,19.5187,0.5404
0,20240327,2.77,2.6944,1.38,18.9708,0.5253
0,20240328,2.8,2.714,1.26,19.1763,0.531
0,20240329,2.79,1.7453,0.75,19.1078,0.5291
0,20240401,2.83,2.1386,0.93,19.3817,0.5367
0,20240402,2.85,2.4431,1.04,19.5187,0.5404
0,20240403,2.86,2.1225,0.9,19.5872,0.5423
