,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.61,2.8761,1.83,26.3319,1.0293
0,20240103,3.64,1.9423,1.03,26.5507,1.0379
0,20240104,3.64,1.7113,0.84,26.5507,1.0379
0,20240105,3.61,1.8749,0.93,26.3319,1.0293
0,20240108,3.55,1.5914,0.79,25.8943,1.0122
0,20240109,3.54,1.765,0.88,25.8213,1.0094
0,20240110,3.49,1.0449,0.59,25.4566,0.9951
0,20240111,3.51,1.1293,0.71,25.6025,1.0008
0,20240112,3.56,1.6977,1.15,25.9672,1.0151
0,20240115,3.54,1.3958,0.97,25.8213,1.0094
0,20240116,3.48,1.9801,1.41,25.3837,0.9923
0,20240117,3.39,1.1252,0.78,24.7272,0.9666
0,20240118,3.33,1.9383,1.32,24.2895,0.9495
0,20240119,3.29,1.1717,0.72,23.9978,0.9381
0,20240122,3.1,1.8619,1.22,22.6119,0.8839
0,20240123,3.07,2.6625,1.65,22.3931,0.8754
0,20240124,3.17,2.2417,1.28,23.1225,0.9039
0,20240125,3.32,1.8733,0.95,24.2166,0.9466
0,20240126,3.41,1.7702,0.9,24.8731,0.9723
0,20240129,3.33,1.6569,0.8,24.2895,0.9495
0,20240130,3.25,1.4261,0.7,23.706,0.9267
0,20240131,3.14,2.013,1.12,22.9036,0.8953
0,20240201,3.07,2.7201,1.56,22.3931,0.8754
0,20240202,2.95,3.4337,1.79,21.5178,0.8411
0,20240205,2.66,4.2022,1.87,19.4025,0.7585
0,20240206,2.7,4.371,1.58,19.6942,0.7699
0,20240207,2.69,4.4979,1.34,19.6213,0.767
0,20240208,2.85,4.4851,1.17,20.7883,0.8126
0,20240219,2.91,2.7963,0.67,21.226,0.8297
0,20240220,2.9,1.6903,0.42,21.1531,0.8269
0,20240221,2.96,2.1049,0.59,21.5907,0.844
0,20240222,2.99,1.3478,0.43,21.8095,0.8525
0,20240223,3.04,1.6729,0.67,22.1742,0.8668
0,20240226,3.06,1.642,0.85,22.3201,0.8725
0,20240227,3.1,1.4538,0.86,22.6119,0.8839
0,20240228,2.95,2.8204,1.72,21.5178,0.8411
0,20240229,3.01,1.9461,1.09,21.9554,0.8583
0,20240301,3.06,1.9789,1.04,22.3201,0.8725
0,20240304,3.05,1.5335,0.78,22.2472,0.8697
0,20240305,3.36,2.8996,1.49,24.5084,0.958
0,20240306,3.48,18.2308,8.15,25.3837,0.9923
0,20240307,3.31,14.3229,2.69,24.1437,0.9438
0,20240308,3.27,7.0121,0.9,23.8519,0.9324
0,20240311,3.38,7.6114,0.86,24.6542,0.9637
0,20240312,3.34,6.0676,0.61,24.3625,0.9523
0,20240313,3.32,3.714,0.35,24.2166,0.9466
0,20240314,3.28,3.082,0.4,23.9248,0.9352
0,20240315,3.32,2.3488,0.43,24.2166,0.9466
0,20240318,3.34,3.2055,0.7,24.3625,0.9523
0,20240319,3.31,2.7835,0.76,24.1437,0.9438
0,20240320,3.33,2.0174,0.67,24.2895,0.9495
0,20240321,3.33,2.1378,0.8,24.2895,0.9495
0,20240322,3.28,2.2184,0.89,23.9248,0.9352
0,20240325,3.3,3.8245,1.55,24.645,0.9498
0,20240326,3.3,2.8286,1.09,24.645,0.9498
0,20240327,3.2,1.8662,0.72,23.8981,0.921
0,20240328,3.26,2.2455,0.87,24.3462,0.9383
0,20240329,3.3,2.0687,0.8,24.645,0.9498
0,20240401,3.3,2.8828,1.12,24.645,0.9498
0,20240402,3.35,3.0291,1.27,25.0184,0.9642
0,20240403,3.33,1.8881,0.78,24.869,0.9585
