,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,27.14,2.0399,1.27,,7.6927
0,20240103,27.14,1.4127,0.74,,7.6927
0,20240104,27.0,0.7955,0.39,,7.653
0,20240105,26.55,0.9651,0.46,,7.5255
0,20240108,25.43,1.3331,0.62,,7.208
0,20240109,25.08,1.0956,0.84,,7.1088
0,20240110,24.31,1.4053,1.25,,6.8906
0,20240111,25.24,1.3933,1.25,,7.1542
0,20240112,24.98,0.7519,0.61,,7.0805
0,20240115,24.64,0.8048,0.67,,6.9841
0,20240116,24.38,1.0592,0.97,,6.9104
0,20240117,23.31,1.2347,1.14,,6.6071
0,20240118,22.73,2.8747,2.74,,6.4427
0,20240119,22.77,1.0668,0.79,,6.454
0,20240122,21.15,1.8134,1.29,,5.9949
0,20240123,21.69,1.486,0.92,,6.1479
0,20240124,21.74,1.2204,0.72,,6.1621
0,20240125,22.42,1.4217,0.84,,6.3548
0,20240126,22.28,1.1128,0.79,,6.3152
0,20240129,22.14,1.0409,0.74,,6.2755
0,20240130,24.35,3.3347,2.65,,7.9122
0,20240131,23.57,3.9211,2.41,,7.6588
0,20240201,24.06,3.1785,1.47,,7.818
0,20240202,23.08,2.5413,1.01,,7.4996
0,20240205,22.74,2.745,0.98,,7.3891
0,20240206,24.0,2.4733,0.79,,7.7985
0,20240207,25.22,2.7448,0.92,,8.1949
0,20240208,25.21,2.8497,1.04,,8.1917
0,20240219,25.05,1.8929,0.71,,8.1397
0,20240220,25.35,1.3986,0.55,,8.2372
0,20240221,25.22,1.8569,0.82,,8.1949
0,20240222,25.41,1.2604,0.59,,8.2567
0,20240223,25.95,2.1157,1.14,,8.4321
0,20240226,25.76,1.2868,0.75,,8.3704
0,20240227,25.88,1.1717,0.74,,8.4094
0,20240228,25.52,2.7542,1.79,,8.2924
0,20240229,26.34,1.5045,0.88,,8.5589
0,20240301,26.44,1.4052,0.8,,8.5913
0,20240304,26.58,1.5856,0.98,,8.6368
0,20240305,26.27,1.0794,0.64,,8.5361
0,20240306,26.02,0.9015,0.54,,8.4549
0,20240307,25.43,1.0429,0.81,,8.2632
0,20240308,25.24,1.0316,0.86,,8.2014
0,20240311,25.59,1.0546,0.93,,8.3151
0,20240312,26.33,2.2218,2.17,,8.5556
0,20240313,26.11,1.0623,0.85,,8.4841
0,20240314,25.85,1.2323,0.96,,8.3996
0,20240315,25.66,1.4119,1.07,,8.3379
0,20240318,26.16,1.3055,0.93,,8.5004
0,20240319,25.7,0.9192,0.64,,8.3509
0,20240320,25.67,0.8245,0.7,,8.3411
0,20240321,25.44,0.8766,0.77,,8.2664
0,20240322,24.92,1.1136,1.04,,8.0974
0,20240325,24.23,0.963,0.96,,7.8732
0,20240326,24.76,2.1966,2.34,,8.0455
0,20240327,25.16,2.4292,2.03,,8.1754
0,20240328,24.84,1.4528,0.96,,8.0714
0,20240329,24.63,1.0731,0.66,,8.0032
0,20240401,25.5,1.5865,0.98,,8.2859
0,20240402,25.24,0.8783,0.5,,8.2014
0,20240403,25.27,0.8868,0.6,,8.2112
