,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.92,1.5858,2.11,64.3006,2.2503
0,20240103,10.09,2.6723,3.02,65.4025,2.2889
0,20240104,10.25,3.2803,2.49,66.4396,2.3252
0,20240105,10.02,2.4323,1.31,64.9487,2.273
0,20240108,9.84,1.8822,0.87,63.782,2.2322
0,20240109,10.82,7.7627,3.27,70.1343,2.4545
0,20240110,11.9,11.3698,3.15,77.1347,2.6995
0,20240111,11.34,19.6039,3.67,73.5049,2.5725
0,20240112,11.7,17.52,2.03,75.8384,2.6541
0,20240115,12.0,16.9118,1.45,77.7829,2.7222
0,20240116,11.46,12.8442,0.88,74.2827,2.5997
0,20240117,10.43,11.897,0.76,67.6063,2.366
0,20240118,9.8,9.8932,0.63,63.5227,2.2231
0,20240119,10.78,8.828,0.64,69.875,2.4454
0,20240122,10.19,10.0269,0.83,66.0507,2.3116
0,20240123,10.6,9.0505,0.85,68.7083,2.4046
0,20240124,10.7,10.532,1.06,69.3564,2.4273
0,20240125,10.95,10.1452,1.05,70.9769,2.484
0,20240126,10.53,6.5405,0.67,68.2545,2.3887
0,20240129,10.47,9.3094,1.01,67.8656,2.3751
0,20240130,9.42,7.2697,0.8,61.0596,2.1369
0,20240131,8.94,6.5705,0.75,57.9483,2.028
0,20240201,8.43,4.335,0.54,54.6425,1.9123
0,20240202,8.28,4.8478,0.71,53.6702,1.8783
0,20240205,7.45,3.5886,0.55,48.2902,1.69
0,20240206,6.73,5.9994,1.13,43.6233,1.5267
0,20240207,6.1,7.2299,1.43,39.5397,1.3838
0,20240208,6.71,5.5583,1.07,43.4936,1.5222
0,20240219,7.09,5.1102,0.94,45.9568,1.6084
0,20240220,7.12,3.5417,0.64,46.1512,1.6152
0,20240221,7.45,5.0138,0.91,48.2902,1.69
0,20240222,7.78,4.2226,0.8,50.4293,1.7649
0,20240223,7.93,3.8139,0.81,51.4016,1.7989
0,20240226,8.17,4.0371,0.93,52.9572,1.8534
0,20240227,8.31,3.39,0.82,53.8647,1.8851
0,20240228,9.14,14.7863,3.61,59.2447,2.0734
0,20240229,10.05,2.7517,0.45,65.1432,2.2798
0,20240301,11.06,0.5849,0.1,71.6899,2.509
0,20240304,10.48,23.764,4.65,67.9304,2.3774
0,20240305,9.43,13.2689,1.47,61.1244,2.1392
0,20240306,9.19,9.5642,0.87,59.5688,2.0847
0,20240307,9.39,8.5899,0.86,60.8651,2.1301
0,20240308,9.04,6.3802,0.57,58.5965,2.0507
0,20240311,9.07,5.1475,0.42,58.7909,2.0575
0,20240312,9.38,7.573,0.88,60.8003,2.1278
0,20240313,9.17,4.5933,0.62,59.4391,2.0802
0,20240314,9.15,3.7965,0.59,59.3095,2.0757
0,20240315,9.15,2.9832,0.54,59.3095,2.0757
0,20240318,9.34,5.1331,1.07,60.5411,2.1188
0,20240319,10.27,5.7903,1.2,66.5692,2.3297
0,20240320,10.14,12.6735,2.84,65.7266,2.3003
0,20240321,10.46,10.4632,1.72,67.8008,2.3728
0,20240322,10.4,9.9158,1.34,67.4119,2.3592
0,20240325,10.02,6.3141,0.72,64.9487,2.273
0,20240326,10.16,4.4734,0.5,65.8562,2.3048
0,20240327,9.55,4.9653,0.57,61.9023,2.1664
0,20240328,9.79,4.6558,0.64,63.4579,2.2209
0,20240329,10.77,3.5162,0.58,69.8102,2.4432
0,20240401,10.78,10.2325,2.14,69.875,2.4454
0,20240402,10.88,8.4294,1.51,70.5232,2.4681
0,20240403,11.13,8.5871,1.35,72.1437,2.5248
