,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,12.08,1.4072,1.27,76.9985,1.2362
0,20240103,11.93,1.6234,1.37,76.0424,1.2208
0,20240104,11.89,0.9317,0.73,75.7875,1.2167
0,20240105,11.63,0.9942,0.76,74.1302,1.1901
0,20240108,11.32,1.1664,0.94,72.1543,1.1584
0,20240109,11.31,1.1202,0.91,72.0905,1.1574
0,20240110,11.25,1.1112,0.95,71.7081,1.1512
0,20240111,11.41,1.2431,1.17,72.7279,1.1676
0,20240112,11.33,1.3851,1.23,72.218,1.1594
0,20240115,11.12,1.7169,1.42,70.8795,1.1379
0,20240116,11.03,1.5265,1.16,70.3058,1.1287
0,20240117,10.8,1.1834,0.85,68.8398,1.1052
0,20240118,10.47,2.0241,1.43,66.7363,1.0714
0,20240119,10.33,1.3656,0.87,65.844,1.0571
0,20240122,9.65,2.1963,1.4,61.5096,0.9875
0,20240123,9.53,2.232,1.35,60.7447,0.9752
0,20240124,9.69,2.0755,1.15,61.7646,0.9916
0,20240125,10.1,2.6256,1.33,64.3779,1.0336
0,20240126,10.17,2.1942,1.05,64.8241,1.0407
0,20240129,9.73,1.8636,0.82,62.0195,0.9957
0,20240130,9.39,1.4983,0.68,59.8523,0.9609
0,20240131,8.88,1.9406,0.95,56.6016,0.9087
0,20240201,8.72,1.863,0.92,55.5817,0.8923
0,20240202,8.3,2.3345,1.25,52.9046,0.8494
0,20240205,7.47,3.0059,1.58,47.6142,0.7644
0,20240206,7.42,3.6528,1.72,47.2955,0.7593
0,20240207,7.16,2.8599,1.12,45.6382,0.7327
0,20240208,7.88,1.926,0.7,50.2275,0.8064
0,20240219,8.33,4.6847,1.78,53.0958,0.8524
0,20240220,8.55,2.7223,0.87,54.4981,0.8749
0,20240221,8.53,3.4199,1.1,54.3707,0.8729
0,20240222,8.68,2.5452,0.83,55.3268,0.8882
0,20240223,9.07,2.8866,0.95,57.8126,0.9281
0,20240226,9.26,3.1881,0.98,59.0237,0.9476
0,20240227,10.19,3.8458,1.3,64.9516,1.0428
0,20240228,9.66,10.747,3.38,61.5733,0.9885
0,20240229,9.97,7.0508,1.52,63.5493,1.0202
0,20240301,9.68,4.9904,0.9,61.7008,0.9906
0,20240304,9.6,3.0844,0.52,61.1909,0.9824
0,20240305,9.38,2.4154,0.41,59.7886,0.9599
0,20240306,9.42,2.0783,0.37,60.0436,0.964
0,20240307,9.25,2.1982,0.56,58.96,0.9466
0,20240308,9.3,1.4166,0.48,59.2787,0.9517
0,20240311,9.46,1.6387,0.73,60.2985,0.9681
0,20240312,9.65,2.5012,1.28,61.5096,0.9875
0,20240313,9.63,2.0579,1.05,61.3821,0.9855
0,20240314,9.45,2.0566,1.05,60.2348,0.967
0,20240315,9.55,1.5072,0.78,60.8722,0.9773
0,20240318,9.93,2.9202,1.5,63.2943,1.0162
0,20240319,10.04,3.9018,1.77,63.9955,1.0274
0,20240320,10.23,3.5802,1.44,65.2065,1.0469
0,20240321,10.39,3.873,1.39,66.2264,1.0632
0,20240322,11.43,6.441,2.04,72.8554,1.1697
0,20240325,12.57,16.4868,3.98,80.1218,1.2863
0,20240326,11.53,23.4739,3.42,73.4928,1.1799
0,20240327,10.38,14.6415,1.36,66.1627,1.0622
0,20240328,10.89,11.4097,0.88,69.4134,1.1144
0,20240329,11.03,8.5957,0.59,70.3058,1.1287
0,20240401,11.06,7.3536,0.49,70.497,1.1318
0,20240402,11.23,9.5157,0.73,71.5806,1.1492
0,20240403,10.76,5.623,0.55,68.5848,1.1011
