,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.11,2.8035,1.02,,8.3466
0,20240103,5.13,2.7365,0.94,,8.3792
0,20240104,5.64,5.4023,1.78,,9.2122
0,20240105,6.2,11.5951,3.19,,10.1269
0,20240108,6.11,31.0337,5.72,,9.9799
0,20240109,6.25,25.405,2.37,,10.2086
0,20240110,5.63,18.3514,1.2,,9.1959
0,20240111,6.19,16.5477,0.9,,10.1106
0,20240112,6.23,26.0853,1.27,,10.1759
0,20240115,6.06,14.0027,0.6,,9.8983
0,20240116,6.3,18.8265,0.94,,10.2903
0,20240117,6.42,22.7661,1.21,,10.4863
0,20240118,6.42,19.0851,0.97,,10.4863
0,20240119,5.78,15.0963,0.75,,9.4409
0,20240122,6.36,17.5528,0.98,,10.3883
0,20240123,6.5,25.1859,1.35,,10.6169
0,20240124,6.38,18.2617,0.92,,10.4209
0,20240125,6.7,23.1833,1.22,,10.9436
0,20240126,6.5,23.4286,1.18,,10.6169
0,20240129,6.03,15.9017,0.74,,9.8493
0,20240130,5.43,10.8372,0.51,,8.8692
0,20240131,5.06,9.2145,0.5,,8.2649
0,20240201,5.19,9.5818,0.58,,8.4772
0,20240202,4.76,9.5167,0.69,,7.7749
0,20240205,4.28,6.4026,0.58,,6.9908
0,20240206,4.3,7.8125,0.86,,7.0235
0,20240207,4.0,7.9016,0.93,,6.5335
0,20240208,4.4,8.6143,1.05,,7.1869
0,20240219,4.66,10.1923,1.27,,7.6115
0,20240220,4.85,9.9559,1.22,,7.9219
0,20240221,4.81,10.2103,1.15,,7.8565
0,20240222,5.07,11.4677,1.22,,8.2812
0,20240223,5.28,11.3582,1.13,,8.6242
0,20240226,5.33,11.0798,1.04,,8.7059
0,20240227,5.46,9.3813,0.87,,8.9182
0,20240228,4.91,12.9042,1.21,,8.0199
0,20240229,5.11,7.5836,0.67,,8.3466
0,20240301,5.27,7.6145,0.73,,8.6079
0,20240304,5.22,6.6162,0.68,,8.5262
0,20240305,5.1,5.0865,0.58,,8.3302
0,20240306,5.19,5.0238,0.63,,8.4772
0,20240307,5.09,5.8781,0.92,,8.3139
0,20240308,5.12,4.1157,0.68,,8.3629
0,20240311,5.18,4.5777,0.86,,8.4609
0,20240312,5.29,6.1278,1.24,,8.6406
0,20240313,5.32,6.0634,1.18,,8.6896
0,20240314,5.22,4.8188,0.9,,8.5262
0,20240315,5.23,3.1899,0.62,,8.5426
0,20240318,5.59,11.7123,2.36,,9.1306
0,20240319,5.61,10.2568,1.61,,9.1632
0,20240320,5.7,9.8757,1.37,,9.3102
0,20240321,5.6,7.9884,1.0,,9.1469
0,20240322,5.48,6.4247,0.75,,8.9509
0,20240325,5.25,4.7012,0.51,,8.5752
0,20240326,5.11,4.8591,0.62,,8.3466
0,20240327,4.78,4.9661,0.73,,7.8075
0,20240328,4.99,4.301,0.74,,8.1505
0,20240329,5.08,3.2202,0.64,,8.2976
0,20240401,5.18,3.0641,0.69,,8.4609
0,20240402,5.04,3.5054,0.86,,8.2322
0,20240403,4.9,2.5793,0.68,,8.0035
