,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,11.54,0.2936,0.83,53.0555,3.1479
0,20240103,11.53,0.2987,0.87,53.0095,3.1452
0,20240104,11.61,0.2927,0.86,53.3773,3.167
0,20240105,11.42,0.3074,0.95,52.5038,3.1152
0,20240108,11.31,0.3801,1.22,51.9981,3.0852
0,20240109,11.33,0.3752,1.19,52.09,3.0906
0,20240110,11.11,0.5058,1.53,51.0786,3.0306
0,20240111,11.34,0.3725,1.0,52.136,3.0933
0,20240112,11.22,0.4,1.03,51.5843,3.0606
0,20240115,11.3,0.4235,1.04,51.9521,3.0824
0,20240116,11.23,0.4265,1.03,51.6303,3.0633
0,20240117,11.08,0.4698,1.1,50.9406,3.0224
0,20240118,11.2,0.6751,1.61,51.4923,3.0552
0,20240119,10.75,0.7555,1.58,49.4234,2.9324
0,20240122,10.36,0.8802,1.6,47.6304,2.826
0,20240123,9.87,1.4199,2.21,45.3776,2.6924
0,20240124,10.12,0.5681,0.68,46.527,2.7606
0,20240125,10.7,0.6765,0.79,49.1936,2.9188
0,20240126,10.78,0.4895,0.57,49.5614,2.9406
0,20240129,10.45,0.5948,0.74,48.0442,2.8506
0,20240130,10.24,0.5478,0.73,47.0787,2.7933
0,20240131,10.13,0.8578,1.49,46.573,2.7633
0,20240201,10.23,1.1589,1.83,47.0327,2.7906
0,20240202,11.25,2.7365,3.75,51.7222,3.0688
0,20240205,10.13,1.0833,0.92,46.573,2.7633
0,20240206,9.12,2.3876,1.87,41.9295,2.4878
0,20240207,8.21,2.3327,1.42,37.7457,2.2395
0,20240208,8.61,1.406,0.72,39.5847,2.3487
0,20240219,8.76,1.0456,0.53,40.2744,2.3896
0,20240220,8.8,0.5018,0.3,40.4583,2.4005
0,20240221,9.19,0.8954,0.58,42.2513,2.5069
0,20240222,9.21,0.4891,0.4,42.3432,2.5123
0,20240223,9.52,0.5703,0.66,43.7685,2.5969
0,20240226,9.62,0.6043,0.86,44.2282,2.6242
0,20240227,9.8,0.4879,0.8,45.0558,2.6733
0,20240228,9.46,0.901,1.48,43.4926,2.5805
0,20240229,9.8,0.6463,1.06,45.0558,2.6733
0,20240301,9.96,0.4493,0.7,45.7914,2.7169
0,20240304,9.85,0.4165,0.67,45.2857,2.6869
0,20240305,9.51,0.3416,0.59,43.7225,2.5942
0,20240306,9.44,0.5228,0.95,43.4007,2.5751
0,20240307,9.27,0.6997,1.47,42.6191,2.5287
0,20240308,9.25,0.5287,1.09,42.5271,2.5232
0,20240311,9.44,0.5924,1.18,43.4007,2.5751
0,20240312,9.74,0.5861,1.09,44.7799,2.6569
0,20240313,9.67,0.3893,0.66,44.4581,2.6378
0,20240314,9.7,0.3656,0.65,44.596,2.646
0,20240315,9.87,0.4724,0.96,45.3776,2.6924
0,20240318,10.03,0.5717,1.19,46.1132,2.736
0,20240319,10.04,0.5024,1.05,46.1592,2.7387
0,20240320,10.26,1.123,2.44,40.5696,2.6916
0,20240321,10.07,0.9848,1.62,39.8183,2.6417
0,20240322,9.96,0.5878,0.8,39.3833,2.6129
0,20240325,9.9,0.4905,0.65,39.1461,2.5971
0,20240326,9.79,0.6326,0.86,38.7111,2.5683
0,20240327,9.61,0.5607,0.73,37.9994,2.521
0,20240328,9.82,0.5126,0.79,38.8297,2.5761
0,20240329,9.94,0.3593,0.65,39.3042,2.6076
0,20240401,10.18,0.5329,1.04,40.2532,2.6706
0,20240402,10.16,0.4185,0.81,40.1741,2.6653
0,20240403,10.22,0.3965,0.83,40.4114,2.6811
