,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.76,0.71,0.75,,0.8355
0,20240103,3.71,0.7551,0.94,,0.8244
0,20240104,3.67,0.65,0.87,,0.8155
0,20240105,3.62,0.7651,1.06,,0.8044
0,20240108,3.52,1.0142,1.49,,0.7822
0,20240109,3.56,0.8898,1.14,,0.7911
0,20240110,3.57,0.8586,1.05,,0.7933
0,20240111,3.61,0.8111,0.97,,0.8022
0,20240112,3.59,0.6864,0.79,,0.7977
0,20240115,3.55,0.6359,0.75,,0.7889
0,20240116,3.51,0.8606,1.11,,0.78
0,20240117,3.39,0.6719,0.87,,0.7533
0,20240118,3.33,1.1131,1.52,,0.74
0,20240119,3.3,0.8699,1.1,,0.7333
0,20240122,3.08,1.4817,1.78,,0.6844
0,20240123,3.06,1.198,1.2,,0.68
0,20240124,3.19,1.4043,1.32,,0.7089
0,20240125,3.33,1.1881,0.98,,0.74
0,20240126,3.37,1.0522,0.86,,0.7489
0,20240129,3.2,1.2017,0.95,,0.7111
0,20240130,3.12,1.1052,0.91,,0.6933
0,20240131,2.92,1.4744,1.24,,0.6489
0,20240201,2.78,2.6705,2.22,,0.6177
0,20240202,2.66,1.9146,1.28,,0.5911
0,20240205,2.39,1.7672,1.06,,0.5311
0,20240206,2.19,3.7857,2.12,,0.4866
0,20240207,2.0,3.9207,1.69,,0.4444
0,20240208,2.2,3.3599,1.19,,0.4889
0,20240219,2.3,2.8253,0.96,,0.5111
0,20240220,2.38,1.8022,0.58,,0.5289
0,20240221,2.49,1.9834,0.63,,0.5533
0,20240222,2.55,1.3353,0.48,,0.5666
0,20240223,2.7,2.0065,0.89,,0.6
0,20240226,2.82,2.841,1.43,,0.6266
0,20240227,2.82,2.3453,1.18,,0.6751
0,20240228,2.57,3.2825,1.56,,0.6152
0,20240229,2.67,2.2019,0.93,,0.6391
0,20240301,2.69,1.615,0.64,,0.6439
0,20240304,2.63,1.7681,0.72,,0.6296
0,20240305,2.51,1.6389,0.73,,0.6008
0,20240306,2.57,1.4059,0.67,,0.6152
0,20240307,2.58,1.5181,0.88,,0.6176
0,20240308,2.53,1.0744,0.68,,0.6056
0,20240311,2.78,1.3476,0.91,,0.6655
0,20240312,2.8,5.0692,3.63,,0.6703
0,20240313,2.71,2.6412,1.27,,0.6487
0,20240314,2.73,2.2173,0.95,,0.6535
0,20240315,2.79,1.9491,0.79,,0.6679
0,20240318,2.89,3.0274,1.14,,0.6918
0,20240319,2.82,1.8166,0.61,,0.6751
0,20240320,2.88,2.0454,0.88,,0.6894
0,20240321,2.87,1.5536,0.7,,0.687
0,20240322,2.81,1.4197,0.68,,0.6727
0,20240325,3.09,1.974,1.0,,0.7397
0,20240326,3.4,4.8899,2.78,,0.8139
0,20240327,3.06,9.2115,3.88,,0.7325
0,20240328,3.09,5.1156,1.34,,0.7397
0,20240329,3.21,6.8193,1.51,,0.7684
0,20240401,3.16,3.7694,0.67,,0.7564
0,20240402,3.14,3.8607,0.65,,0.7517
0,20240403,3.04,2.5384,0.44,,0.7277
