,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,11.68,3.8728,1.81,71.0458,4.9248
0,20240103,12.85,9.9088,4.2,78.1626,5.4181
0,20240104,13.18,28.6066,7.4,80.1699,5.5573
0,20240105,12.55,16.9868,1.84,76.3378,5.2916
0,20240108,12.21,8.782,0.72,74.2697,5.1483
0,20240109,12.16,9.9258,0.73,73.9655,5.1272
0,20240110,11.97,12.1013,0.82,72.8098,5.0471
0,20240111,12.06,8.5459,0.56,73.3573,5.085
0,20240112,11.44,9.0687,0.8,69.586,4.8236
0,20240115,11.65,6.8366,0.71,70.8634,4.9122
0,20240116,11.32,5.0703,0.55,68.8561,4.773
0,20240117,10.96,3.5381,0.43,66.6663,4.6212
0,20240118,10.54,6.0597,0.92,64.1116,4.4441
0,20240119,10.41,3.1866,0.52,63.3208,4.3893
0,20240122,9.83,3.8733,0.78,59.7929,4.1448
0,20240123,10.81,4.4296,1.02,65.7539,4.558
0,20240124,11.89,3.9323,0.93,72.3232,5.0133
0,20240125,13.08,3.9688,0.92,79.5616,5.5151
0,20240126,14.39,16.9114,4.36,87.5299,6.0675
0,20240129,12.95,29.7521,4.49,78.7709,5.4603
0,20240130,11.66,9.3078,0.79,70.9242,4.9164
0,20240131,10.49,20.0523,1.57,63.8074,4.423
0,20240201,9.85,14.3739,0.9,59.9145,4.1532
0,20240202,10.84,22.3687,1.24,65.9364,4.5706
0,20240205,9.76,11.4223,0.6,59.3671,4.1152
0,20240206,8.8,17.2906,1.12,53.5277,3.7105
0,20240207,7.96,15.4836,0.91,48.4182,3.3563
0,20240208,8.39,9.8398,0.61,51.0338,3.5376
0,20240219,8.81,10.1356,0.66,53.5885,3.7147
0,20240220,9.13,12.6252,0.98,55.535,3.8496
0,20240221,9.14,13.4517,1.03,55.5958,3.8538
0,20240222,9.74,16.7693,1.36,59.2454,4.1068
0,20240223,9.93,16.3894,1.3,60.4011,4.1869
0,20240226,10.51,17.4646,1.26,63.9291,4.4315
0,20240227,10.5,12.4901,0.81,63.8683,4.4273
0,20240228,9.45,15.5512,1.02,57.4814,3.9845
0,20240229,9.69,9.4897,0.6,58.9413,4.0857
0,20240301,9.72,7.6041,0.53,59.1238,4.0984
0,20240304,9.9,8.6872,0.69,60.2187,4.1743
0,20240305,9.56,7.7895,0.72,58.1505,4.0309
0,20240306,9.6,4.9634,0.51,58.3938,4.0478
0,20240307,9.66,7.1752,0.93,58.7588,4.0731
0,20240308,10.05,13.1781,1.82,61.1311,4.2375
0,20240311,10.05,8.0188,0.96,61.1311,4.2375
0,20240312,10.35,12.1615,1.48,62.9559,4.364
0,20240313,10.37,11.7596,1.29,63.0775,4.3724
0,20240314,10.85,18.5225,1.77,65.9972,4.5748
0,20240315,11.09,15.3271,1.2,67.4571,4.676
0,20240318,11.39,15.6746,1.19,69.2819,4.8025
0,20240319,11.04,12.6565,0.86,67.1529,4.655
0,20240320,11.68,19.0578,1.29,71.0458,4.9248
0,20240321,11.82,17.5322,1.08,71.8974,4.9838
0,20240322,11.17,13.5717,0.85,67.9437,4.7098
0,20240325,10.54,10.7864,0.69,64.1116,4.4441
0,20240326,10.63,7.154,0.49,64.659,4.4821
0,20240327,10.1,6.2024,0.46,61.4352,4.2586
0,20240328,10.48,6.224,0.56,63.7466,4.4188
0,20240329,10.67,4.8886,0.56,64.9023,4.4989
0,20240401,11.09,7.1449,1.01,68.5716,4.5229
0,20240402,11.02,6.7287,1.06,68.1387,4.4944
0,20240403,10.9,4.3369,0.7,67.3968,4.4454
