,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,32.9,0.4755,0.82,66.1893,5.8372
0,20240103,32.76,0.5865,0.96,65.9077,5.8124
0,20240104,31.58,0.7835,1.28,63.5337,5.603
0,20240105,30.85,0.7579,1.17,62.0651,5.4735
0,20240108,30.26,0.6763,1.04,60.8781,5.3688
0,20240109,30.22,0.5681,0.87,60.7976,5.3617
0,20240110,29.98,0.4757,0.71,60.3148,5.3191
0,20240111,30.3,0.5107,0.78,60.9585,5.3759
0,20240112,29.8,0.5303,0.89,59.9526,5.2872
0,20240115,29.59,0.5272,0.95,59.5301,5.2499
0,20240116,29.47,0.4623,0.88,59.2887,5.2286
0,20240117,28.53,0.4545,0.91,57.3976,5.0619
0,20240118,28.55,0.7976,1.6,57.4378,5.0654
0,20240119,28.26,0.396,0.71,56.8544,5.014
0,20240122,26.34,0.8179,1.55,52.9917,4.6733
0,20240123,27.11,0.7717,1.32,54.5408,4.8099
0,20240124,26.97,0.7048,1.09,54.2591,4.7851
0,20240125,27.57,0.8127,1.17,55.4662,4.8915
0,20240126,26.5,1.1853,1.69,53.3136,4.7017
0,20240129,25.94,0.7019,0.82,52.187,4.6023
0,20240130,24.98,0.9524,1.14,50.2556,4.432
0,20240131,23.9,0.7616,0.87,48.0828,4.2404
0,20240201,23.85,0.767,0.87,47.9822,4.2315
0,20240202,22.81,0.8906,1.02,45.8899,4.047
0,20240205,20.82,1.109,1.36,41.8864,3.6939
0,20240206,22.9,1.2797,1.43,46.071,4.063
0,20240207,25.07,2.1296,2.21,50.4367,4.448
0,20240208,26.36,1.6968,1.37,53.0319,4.6769
0,20240219,26.44,1.4835,1.04,53.1929,4.6911
0,20240220,26.22,0.8756,0.57,52.7503,4.652
0,20240221,26.3,0.821,0.55,52.9112,4.6662
0,20240222,26.88,0.8907,0.64,54.0781,4.7691
0,20240223,26.78,1.0471,0.91,53.8769,4.7514
0,20240226,27.03,1.0823,1.06,54.3799,4.7957
0,20240227,27.8,1.339,1.42,55.929,4.9324
0,20240228,25.99,1.432,1.38,52.2875,4.6112
0,20240229,28.38,2.2716,1.96,57.0958,5.0353
0,20240301,28.55,1.661,1.16,57.4378,5.0654
0,20240304,28.7,1.5378,0.99,57.7396,5.092
0,20240305,27.95,1.127,0.68,56.2307,4.959
0,20240306,27.84,1.0412,0.65,56.0094,4.9394
0,20240307,27.42,0.9784,0.64,55.1645,4.8649
0,20240308,27.9,0.8218,0.65,56.1301,4.9501
0,20240311,28.27,0.9731,0.88,56.8745,5.0157
0,20240312,28.1,1.0303,1.04,56.5325,4.9856
0,20240313,28.06,0.9932,1.03,56.452,4.9785
0,20240314,27.65,0.8969,0.93,55.6272,4.9057
0,20240315,27.86,0.8308,0.88,56.0497,4.943
0,20240318,28.32,1.0757,1.14,56.9751,5.0246
0,20240319,28.36,1.1449,1.19,57.0556,5.0317
0,20240320,28.66,2.6795,2.71,57.6591,5.0849
0,20240321,28.04,1.7695,1.33,56.4118,4.9749
0,20240322,27.74,1.4032,0.94,55.8083,4.9217
0,20240325,27.11,1.5511,0.96,54.5408,4.8099
0,20240326,26.89,1.0752,0.63,54.0982,4.7709
0,20240327,25.75,1.0029,0.59,51.8047,4.5686
0,20240328,26.3,0.8271,0.61,52.9112,4.6662
0,20240329,26.38,0.611,0.52,53.0722,4.6804
0,20240401,26.86,0.6823,0.67,54.0378,4.7656
0,20240402,26.76,0.68,0.81,53.8367,4.7478
0,20240403,26.91,0.9819,1.29,54.1384,4.7744
