,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,17.41,6.4871,3.04,12.1921,1.3117
0,20240103,17.31,13.6309,4.4,12.122,1.3041
0,20240104,17.06,8.0827,1.46,11.947,1.2853
0,20240105,17.0,5.7902,0.85,11.9049,1.2808
0,20240108,18.7,10.2669,1.37,13.0954,1.4088
0,20240109,17.9,19.4094,2.19,12.5352,1.3486
0,20240110,17.85,11.5428,1.01,12.5002,1.3448
0,20240111,17.67,8.7025,0.79,12.3741,1.3312
0,20240112,17.23,10.1333,0.91,12.066,1.2981
0,20240115,17.1,8.0065,0.67,11.975,1.2883
0,20240116,16.66,6.1046,0.53,11.6668,1.2551
0,20240117,16.13,4.1204,0.46,11.2957,1.2152
0,20240118,16.32,5.0164,0.68,11.4287,1.2295
0,20240119,16.09,2.9619,0.44,11.2677,1.2122
0,20240122,14.85,4.804,0.92,10.3993,1.1188
0,20240123,14.61,3.305,0.72,10.2312,1.1007
0,20240124,14.97,4.6341,1.15,10.4834,1.1278
0,20240125,15.54,3.9049,0.94,10.8825,1.1708
0,20240126,15.71,3.7088,0.95,11.0016,1.1836
0,20240129,15.26,2.4607,0.6,10.6864,1.1497
0,20240130,14.69,2.127,0.59,10.2873,1.1067
0,20240131,13.6,3.2744,0.97,9.524,1.0246
0,20240201,13.11,3.2754,1.06,9.1808,0.9877
0,20240202,12.27,3.5761,1.2,8.5926,0.9244
0,20240205,11.04,4.7781,1.62,7.7312,0.8317
0,20240206,10.98,4.7631,1.4,7.6892,0.8272
0,20240207,10.42,4.5205,1.15,7.297,0.785
0,20240208,11.46,3.901,0.93,8.0253,0.8634
0,20240219,12.2,4.5413,1.05,8.5435,0.9191
0,20240220,12.28,2.679,0.6,8.5996,0.9252
0,20240221,12.58,2.7948,0.68,8.8097,0.9478
0,20240222,12.77,3.3068,0.9,8.9427,0.9621
0,20240223,13.15,2.761,0.8,9.2088,0.9907
0,20240226,13.26,3.1931,0.99,9.2859,0.999
0,20240227,13.64,2.5448,0.86,9.552,1.0276
0,20240228,12.72,5.4983,1.88,8.9077,0.9583
0,20240229,13.17,2.8407,0.82,9.2228,0.9922
0,20240301,13.23,1.9943,0.59,9.2648,0.9967
0,20240304,13.17,1.8708,0.58,9.2228,0.9922
0,20240305,12.87,1.8281,0.62,9.0127,0.9696
0,20240306,13.01,1.6447,0.59,9.1108,0.9802
0,20240307,13.05,2.3767,1.17,9.1388,0.9832
0,20240308,13.22,1.4979,0.77,9.2578,0.996
0,20240311,13.53,2.0639,1.12,9.4749,1.0193
0,20240312,13.6,2.1268,1.13,9.524,1.0246
0,20240313,13.51,1.5696,0.81,9.4609,1.0178
0,20240314,13.53,1.9672,1.02,9.4749,1.0193
0,20240315,13.67,1.4654,0.79,9.573,1.0299
0,20240318,14.01,2.0958,1.14,9.8111,1.0555
0,20240319,13.92,1.9702,1.07,9.748,1.0487
0,20240320,14.04,1.662,0.92,9.8321,1.0578
0,20240321,14.06,1.5011,0.82,9.8461,1.0593
0,20240322,13.83,1.6151,0.93,9.685,1.0419
0,20240325,13.57,1.4722,0.83,9.5029,1.0223
0,20240326,13.57,1.2655,0.77,9.5029,1.0223
0,20240327,13.16,1.4741,0.98,9.2158,0.9915
0,20240328,13.47,1.599,1.09,9.4329,1.0148
0,20240329,13.67,1.6767,1.13,9.573,1.0299
0,20240401,13.95,2.0779,1.39,9.7691,1.051
0,20240402,13.98,1.5927,0.98,9.7901,1.0532
0,20240403,13.97,1.4729,0.87,9.7831,1.0525
