,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,19.97,5.5342,1.23,28.8602,3.7128
0,20240103,19.81,3.7987,0.73,28.6289,3.683
0,20240104,19.42,2.9326,0.52,28.0653,3.6105
0,20240105,19.05,2.8559,0.49,27.5306,3.5417
0,20240108,18.97,2.8033,0.55,27.415,3.5268
0,20240109,20.87,4.076,1.14,30.1608,3.8801
0,20240110,22.96,11.5826,3.52,33.1813,4.2687
0,20240111,22.65,18.4584,3.81,32.7332,4.211
0,20240112,21.94,12.5373,1.58,31.7072,4.079
0,20240115,21.5,7.677,0.78,31.0713,3.9972
0,20240116,21.64,7.1253,0.66,31.2736,4.0232
0,20240117,22.73,14.8816,1.3,32.8489,4.2259
0,20240118,23.7,13.3494,1.1,34.2507,4.4062
0,20240119,21.33,9.917,0.89,30.8256,3.9656
0,20240122,19.2,7.7333,0.73,27.7474,3.5696
0,20240123,19.29,6.525,0.62,27.8775,3.5863
0,20240124,18.72,7.2734,0.69,27.0537,3.4804
0,20240125,18.89,5.6322,0.63,27.2994,3.512
0,20240126,18.27,4.4331,0.6,26.4034,3.3967
0,20240129,16.79,4.8363,0.77,24.2645,3.1215
0,20240130,16.82,4.3795,0.76,24.3079,3.1271
0,20240131,15.44,5.6198,1.06,22.3135,2.8706
0,20240201,15.21,4.4457,0.89,21.9811,2.8278
0,20240202,16.73,7.2127,1.52,24.1778,3.1104
0,20240205,18.4,10.3789,1.96,26.5912,3.4209
0,20240206,18.39,14.8692,2.32,26.5768,3.419
0,20240207,17.2,9.9047,1.16,24.857,3.1978
0,20240208,17.9,7.6286,0.81,25.8687,3.3279
0,20240219,18.42,7.974,0.8,26.6202,3.4246
0,20240220,18.51,6.7061,0.66,26.7502,3.4413
0,20240221,18.36,8.0981,0.86,26.5334,3.4134
0,20240222,18.66,6.0227,0.75,26.967,3.4692
0,20240223,19.24,6.6816,0.92,27.8052,3.577
0,20240226,19.63,7.1601,1.01,28.3688,3.6495
0,20240227,20.99,7.8964,1.14,30.3343,3.9024
0,20240228,18.89,9.5235,1.33,27.2994,3.512
0,20240229,19.75,6.5135,0.87,28.5422,3.6719
0,20240301,19.95,5.2765,0.7,28.8313,3.709
0,20240304,19.67,4.6748,0.64,28.4266,3.657
0,20240305,18.9,3.9604,0.58,27.3138,3.5138
0,20240306,19.37,4.2702,0.71,27.9931,3.6012
0,20240307,18.46,4.1681,0.84,26.678,3.432
0,20240308,19.1,4.4933,1.01,27.4926,3.5582
0,20240311,21.01,6.9496,1.61,30.2418,3.914
0,20240312,21.48,12.8497,2.69,30.9184,4.0015
0,20240313,22.16,9.975,1.52,31.8971,4.1282
0,20240314,21.52,6.9982,0.91,30.9759,4.009
0,20240315,21.38,4.0208,0.49,30.7744,3.9829
0,20240318,22.29,7.1387,0.87,32.0843,4.1524
0,20240319,21.64,5.9034,0.72,31.1487,4.0313
0,20240320,21.74,3.8968,0.57,31.2926,4.05
0,20240321,22.17,5.5111,0.99,31.9115,4.1301
0,20240322,21.45,5.5126,1.04,30.8752,3.9959
0,20240325,21.4,4.1829,0.75,30.8032,3.9866
0,20240326,22.58,9.7261,1.94,32.5017,4.2064
0,20240327,20.94,6.3838,1.11,30.1411,3.9009
0,20240328,21.06,4.0141,0.64,30.3138,3.9233
0,20240329,22.6,14.4224,2.42,32.5305,4.2102
0,20240401,23.63,13.2316,1.71,34.0131,4.4021
0,20240402,23.6,8.6632,0.91,33.9699,4.3965
0,20240403,23.11,6.696,0.72,33.2646,4.3052
