,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,88.77,4.1505,2.2,149.6171,10.0256
0,20240103,88.8,1.5478,0.61,149.6677,10.029
0,20240104,88.38,2.1188,0.79,148.9598,9.9816
0,20240105,85.98,2.1936,0.77,144.9147,9.7105
0,20240108,79.79,2.2641,0.78,134.4818,9.0114
0,20240109,78.68,2.4239,0.99,132.611,8.8861
0,20240110,75.4,2.81,1.33,127.0827,8.5156
0,20240111,77.8,2.6903,1.14,131.1278,8.7867
0,20240112,75.95,2.0583,0.83,128.0097,8.5778
0,20240115,76.4,1.6835,0.69,128.7682,8.6286
0,20240116,75.95,1.2013,0.51,128.0097,8.5778
0,20240117,75.2,2.2645,1.08,126.7456,8.4931
0,20240118,74.05,2.3171,1.17,124.8074,8.3632
0,20240119,73.4,1.3328,0.7,123.7118,8.2898
0,20240122,68.77,2.8421,1.61,115.9082,7.7669
0,20240123,69.45,1.7987,0.9,117.0543,7.8437
0,20240124,68.53,1.8791,0.89,115.5037,7.7397
0,20240125,72.35,2.3522,1.16,121.9421,8.1712
0,20240126,72.68,2.6587,1.3,122.4983,8.2084
0,20240129,73.64,2.9006,1.26,124.1163,8.3169
0,20240130,75.17,3.8359,1.65,126.6951,8.4897
0,20240131,70.09,3.2636,1.2,118.133,7.9159
0,20240201,70.69,4.146,1.38,119.1442,7.9837
0,20240202,65.02,4.1355,1.23,109.5878,7.3433
0,20240205,58.52,4.684,1.28,98.6324,6.6092
0,20240206,60.17,4.3539,1.08,101.4133,6.7956
0,20240207,59.37,4.021,0.98,100.065,6.7052
0,20240208,64.71,4.4588,1.04,109.0653,7.3083
0,20240219,70.87,3.8574,0.89,119.4476,8.004
0,20240220,74.38,3.687,0.86,125.3635,8.4004
0,20240221,71.65,3.9031,0.96,120.7623,8.0921
0,20240222,75.49,3.7888,0.95,127.2344,8.5258
0,20240223,78.22,3.1525,0.8,131.8357,8.8341
0,20240226,84.03,4.1292,1.12,141.6281,9.4903
0,20240227,86.23,4.2833,1.15,390.6383,8.7033
0,20240228,79.68,4.5466,1.18,360.9655,8.0422
0,20240229,84.85,3.9991,1.0,384.3866,8.564
0,20240301,87.68,4.3068,1.07,397.2071,8.8496
0,20240304,92.22,5.2858,1.24,417.7741,9.3078
0,20240305,89.19,5.853,1.31,404.0477,9.002
0,20240306,87.78,4.97,1.04,397.6601,8.8597
0,20240307,86.65,3.6317,0.74,392.541,8.7457
0,20240308,90.87,5.0335,1.05,411.6584,9.1716
0,20240311,95.02,6.7034,1.35,430.4587,9.5904
0,20240312,93.83,4.659,0.89,425.0677,9.4703
0,20240313,95.5,4.6724,0.93,432.6332,9.6389
0,20240314,96.15,3.142,0.64,435.5778,9.7045
0,20240315,101.1,5.6193,1.16,458.0022,10.2041
0,20240318,111.21,5.2963,1.07,503.8024,11.2245
0,20240319,115.48,9.3792,2.01,523.1464,11.6555
0,20240320,127.03,9.9605,1.77,575.47,12.8212
0,20240321,139.73,10.581,1.58,633.0035,14.1031
0,20240322,130.0,13.5017,1.65,588.9247,13.121
0,20240325,127.66,8.1766,0.84,578.3241,12.8848
0,20240326,130.71,8.8425,0.86,592.1411,13.1927
0,20240327,124.07,9.0963,0.89,562.0607,12.5225
0,20240328,129.32,7.7328,0.77,585.8442,13.0524
0,20240329,135.51,7.2256,0.76,613.8861,13.6771
0,20240401,136.19,6.7291,0.82,616.9666,13.7458
0,20240402,138.5,8.7577,1.11,627.4313,13.9789
0,20240403,134.0,9.3744,1.19,607.0455,13.5247
