,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,13.17,0.148,0.94,39.9883,1.5787
0,20240103,13.19,0.135,0.87,40.049,1.5811
0,20240104,13.18,0.123,0.8,40.0186,1.5799
0,20240105,13.07,0.127,0.82,39.6846,1.5667
0,20240108,12.92,0.1426,1.02,39.2292,1.5487
0,20240109,12.97,0.1216,0.9,39.381,1.5547
0,20240110,13.02,0.1301,1.0,39.5328,1.5607
0,20240111,12.71,0.2645,2.05,38.5916,1.5235
0,20240112,12.37,0.3027,1.93,37.5592,1.4828
0,20240115,12.07,0.3221,1.67,36.6483,1.4468
0,20240116,12.32,0.3786,1.66,37.4074,1.4768
0,20240117,12.19,0.2076,0.74,37.0127,1.4612
0,20240118,12.18,0.3114,1.06,36.9823,1.46
0,20240119,12.24,0.1701,0.56,37.1645,1.4672
0,20240122,11.91,0.2399,0.86,36.1625,1.4276
0,20240123,11.89,0.2003,0.77,36.1018,1.4252
0,20240124,12.0,0.1782,0.79,36.4358,1.4384
0,20240125,12.4,0.2008,0.91,37.6503,1.4864
0,20240126,12.62,0.194,0.98,38.3183,1.5127
0,20240129,12.38,0.1673,0.83,37.5896,1.484
0,20240130,12.04,0.2349,1.25,36.5572,1.4432
0,20240131,11.76,0.2807,1.44,35.7071,1.4096
0,20240201,11.79,0.2519,1.17,35.7982,1.4132
0,20240202,11.47,0.3623,1.6,34.8265,1.3749
0,20240205,11.45,0.3943,1.52,34.7658,1.3725
0,20240206,12.05,0.4498,1.48,36.5876,1.4444
0,20240207,12.22,0.471,1.35,37.1038,1.4648
0,20240208,12.38,0.3963,1.03,37.5896,1.484
0,20240219,12.57,0.2527,0.61,38.1665,1.5067
0,20240220,12.73,0.1939,0.49,38.6523,1.5259
0,20240221,12.73,0.2461,0.7,38.6523,1.5259
0,20240222,12.78,0.1942,0.62,38.8041,1.5319
0,20240223,12.73,0.1704,0.66,38.6523,1.5259
0,20240226,12.66,0.1766,0.84,38.4398,1.5175
0,20240227,12.72,0.1818,0.93,38.6219,1.5247
0,20240228,12.51,0.2815,1.45,37.9843,1.4995
0,20240229,12.73,0.2663,1.33,38.6523,1.5259
0,20240301,12.76,0.2337,1.09,38.7434,1.5295
0,20240304,12.61,0.2174,0.95,38.2879,1.5115
0,20240305,12.54,0.2829,1.2,38.0754,1.5031
0,20240306,12.58,0.1534,0.6,38.1968,1.5079
0,20240307,12.79,0.2653,1.15,38.8345,1.5331
0,20240308,12.72,0.2349,1.02,38.6219,1.5247
0,20240311,12.74,0.2174,0.94,38.6827,1.5271
0,20240312,13.04,0.3042,1.32,39.5936,1.5631
0,20240313,12.82,0.2495,1.06,38.9256,1.5367
0,20240314,12.89,0.2127,0.84,39.1381,1.5451
0,20240315,12.93,0.3019,1.24,39.2596,1.5499
0,20240318,13.06,0.2593,1.01,39.6543,1.5655
0,20240319,13.11,0.3602,1.36,39.8061,1.5715
0,20240320,13.42,0.3937,1.42,40.7474,1.6086
0,20240321,13.29,0.2643,0.87,40.3526,1.593
0,20240322,13.34,0.2848,0.9,40.5044,1.599
0,20240325,13.23,0.2089,0.67,40.1705,1.5859
0,20240326,13.43,0.288,0.95,40.7777,1.6098
0,20240327,13.33,0.2162,0.75,40.4741,1.5978
0,20240328,13.7,0.3345,1.33,41.5975,1.6422
0,20240329,13.95,0.3048,1.14,42.3566,1.6722
0,20240401,14.27,0.3726,1.38,43.3282,1.7105
0,20240402,14.7,0.5018,1.66,44.6338,1.7621
0,20240403,14.71,0.4068,1.18,44.6642,1.7633
