,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.38,2.3264,2.44,,3.8709
0,20240103,4.51,4.327,3.47,,3.9858
0,20240104,4.55,3.5624,1.81,,4.0212
0,20240105,4.52,4.3959,1.74,,3.9946
0,20240108,4.37,3.5959,1.15,,3.8621
0,20240109,4.43,2.0773,0.57,,3.9151
0,20240110,4.87,7.9298,2.21,,4.304
0,20240111,4.74,13.4915,3.13,,4.1891
0,20240112,4.7,7.7722,1.23,,4.1537
0,20240115,4.8,8.345,1.2,,4.2421
0,20240116,4.9,15.9526,2.01,,4.3305
0,20240117,5.01,14.1923,1.33,,4.4277
0,20240118,4.65,9.6959,0.81,,4.1095
0,20240119,4.47,6.5049,0.58,,3.9505
0,20240122,4.13,6.3773,0.58,,3.65
0,20240123,4.1,3.7785,0.36,,3.6235
0,20240124,4.31,5.9887,0.74,,3.809
0,20240125,4.34,4.2645,0.66,,3.8356
0,20240126,4.34,3.225,0.6,,3.8356
0,20240129,4.31,4.2517,0.9,,3.809
0,20240130,4.13,2.7506,0.64,,3.65
0,20240131,3.94,3.0133,0.74,,3.4821
0,20240201,3.84,2.4415,0.7,,3.3937
0,20240202,3.65,3.2294,1.03,,3.2258
0,20240205,3.29,2.9235,0.93,,2.9076
0,20240206,3.31,3.0834,1.07,,2.9253
0,20240207,3.19,2.9105,0.99,,2.8192
0,20240208,3.43,2.8865,0.99,,3.0313
0,20240219,3.57,2.7208,0.9,,3.1551
0,20240220,3.58,1.7634,0.61,,3.1639
0,20240221,3.63,2.1801,0.82,,3.2081
0,20240222,3.76,2.7142,1.09,,3.323
0,20240223,3.83,2.357,0.96,,3.3848
0,20240226,3.9,2.7571,1.17,,3.4467
0,20240227,4.08,5.4088,2.3,,3.6058
0,20240228,3.99,6.7763,2.2,,3.5262
0,20240229,4.08,4.4478,1.11,,3.6058
0,20240301,4.32,7.4471,1.71,,3.8179
0,20240304,4.5,8.4208,1.57,,3.977
0,20240305,4.14,6.3837,0.98,,3.6588
0,20240306,4.21,3.9679,0.59,,3.7207
0,20240307,4.02,4.5442,0.74,,3.5528
0,20240308,4.01,3.1119,0.51,,3.5439
0,20240311,4.02,2.2414,0.42,,3.5528
0,20240312,4.05,2.3918,0.59,,3.5793
0,20240313,4.01,1.9677,0.61,,3.5439
0,20240314,3.99,1.9047,0.67,,3.5262
0,20240315,4.01,1.342,0.58,,3.5439
0,20240318,4.05,1.8591,0.94,,3.5793
0,20240319,4.07,2.68,1.42,,3.5969
0,20240320,4.09,1.8903,0.97,,3.6146
0,20240321,4.08,1.8994,0.98,,3.6058
0,20240322,3.97,2.217,1.15,,3.5086
0,20240325,3.89,1.2019,0.57,,3.4379
0,20240326,3.91,1.1325,0.57,,3.4555
0,20240327,3.82,1.1169,0.67,,3.376
0,20240328,3.86,1.5138,1.0,,3.4114
0,20240329,3.88,1.0626,0.74,,3.429
0,20240401,3.96,1.3531,1.12,73.2853,3.6968
0,20240402,3.94,1.1629,0.94,72.9151,3.6781
0,20240403,4.0,2.3978,1.93,74.0255,3.7341
