,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.08,0.2593,0.86,249.0561,2.8238
0,20240103,9.35,0.3067,1.03,256.462,2.9078
0,20240104,9.39,0.2986,1.12,257.5592,2.9202
0,20240105,9.28,0.544,1.99,254.542,2.886
0,20240108,9.41,0.5174,1.61,258.1077,2.9265
0,20240109,9.8,0.678,1.76,268.8051,3.0477
0,20240110,9.5,0.5682,1.21,260.5764,2.9544
0,20240111,9.48,0.3443,0.66,260.0278,2.9482
0,20240112,9.47,0.3534,0.67,259.7535,2.9451
0,20240115,9.68,0.3737,0.76,265.5136,3.0104
0,20240116,9.55,0.2989,0.64,261.9478,2.97
0,20240117,9.61,0.4149,1.07,263.5936,2.9887
0,20240118,9.59,0.6321,1.77,263.045,2.9824
0,20240119,9.42,0.2475,0.6,258.382,2.9296
0,20240122,8.66,0.6066,1.54,237.5359,2.6932
0,20240123,8.49,0.3939,0.9,232.873,2.6403
0,20240124,8.57,0.2951,0.64,235.0673,2.6652
0,20240125,8.56,0.3244,0.75,234.793,2.6621
0,20240126,8.88,0.4929,1.32,243.5703,2.7616
0,20240129,8.45,0.291,0.69,231.7758,2.6279
0,20240130,8.36,0.2684,0.75,229.3072,2.5999
0,20240131,8.09,0.3759,1.12,221.9013,2.5159
0,20240201,7.98,0.3876,1.11,218.8841,2.4817
0,20240202,7.6,0.3485,0.96,208.4611,2.3636
0,20240205,6.92,0.4662,1.39,189.8093,2.1521
0,20240206,6.84,0.5841,1.58,187.615,2.1272
0,20240207,6.27,0.79,1.83,171.9804,1.9499
0,20240208,6.77,0.5891,1.14,185.6949,2.1054
0,20240219,7.08,0.4287,0.77,194.198,2.2018
0,20240220,7.23,0.2993,0.52,198.3123,2.2485
0,20240221,7.6,0.3895,0.72,208.4611,2.3636
0,20240222,7.61,0.2427,0.49,208.7354,2.3667
0,20240223,7.84,0.2996,0.77,215.0441,2.4382
0,20240226,8.08,0.4962,1.49,221.6271,2.5128
0,20240227,8.15,0.2586,0.75,223.5471,2.5346
0,20240228,7.62,0.4651,1.38,209.0097,2.3698
0,20240229,7.95,0.3284,0.93,218.0613,2.4724
0,20240301,8.02,0.2196,0.59,219.9813,2.4942
0,20240304,8.06,0.2269,0.64,221.0785,2.5066
0,20240305,7.83,0.2157,0.72,214.7698,2.4351
0,20240306,7.82,0.1667,0.57,214.4955,2.432
0,20240307,7.89,0.1855,0.8,216.4155,2.4537
0,20240308,7.9,0.1031,0.51,216.6898,2.4569
0,20240311,8.03,0.1402,0.78,220.2556,2.4973
0,20240312,8.03,0.1833,1.13,220.2556,2.4973
0,20240313,8.16,0.2287,1.47,223.8214,2.5377
0,20240314,8.41,0.3406,2.03,230.6787,2.6155
0,20240315,8.35,0.2977,1.49,229.0329,2.5968
0,20240318,8.25,0.2817,1.18,226.29,2.5657
0,20240319,8.22,0.1723,0.65,225.4671,2.5564
0,20240320,8.27,0.1857,0.7,226.8386,2.5719
0,20240321,8.35,0.1898,0.74,229.0329,2.5968
0,20240322,8.28,0.2559,1.14,227.1129,2.575
0,20240325,8.17,0.1899,0.87,224.0957,2.5408
0,20240326,8.2,0.211,1.06,224.9185,2.5502
0,20240327,8.05,0.21,1.02,220.8042,2.5035
0,20240328,8.19,0.1996,0.94,224.6443,2.547
0,20240329,8.37,0.191,0.9,229.5815,2.603
0,20240401,8.64,0.2099,1.05,236.9873,2.687
0,20240402,8.65,0.1749,0.86,237.2616,2.6901
0,20240403,8.77,0.178,0.9,240.5531,2.7274
