,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.82,1.1828,1.12,18.5131,2.023
0,20240103,5.77,1.3583,1.16,18.354,2.0056
0,20240104,5.82,1.1558,0.87,18.5131,2.023
0,20240105,5.82,1.2924,0.95,18.5131,2.023
0,20240108,5.76,0.9275,0.7,18.3222,2.0021
0,20240109,5.78,0.733,0.62,18.3858,2.009
0,20240110,5.85,1.2936,1.18,18.6085,2.0334
0,20240111,6.0,1.3762,1.27,19.0857,2.0855
0,20240112,5.94,1.0355,0.92,18.8948,2.0647
0,20240115,6.15,1.9526,1.82,19.5628,2.1377
0,20240116,6.28,2.541,1.99,19.9763,2.1828
0,20240117,6.37,2.787,1.7,20.2626,2.2141
0,20240118,6.25,2.6394,1.36,19.8809,2.1724
0,20240119,6.24,1.9804,0.9,19.8491,2.1689
0,20240122,5.89,2.134,0.9,18.7357,2.0473
0,20240123,6.03,1.7259,0.71,19.1811,2.0959
0,20240124,6.22,2.2655,1.01,19.7855,2.162
0,20240125,6.21,2.4977,1.16,19.7536,2.1585
0,20240126,6.42,3.6644,1.73,20.4216,2.2315
0,20240129,6.32,1.4217,0.58,20.1036,2.1967
0,20240130,6.27,1.2865,0.56,19.9445,2.1794
0,20240131,6.15,1.2891,0.58,19.5628,2.1377
0,20240201,6.11,1.291,0.64,19.4356,2.1238
0,20240202,6.1,1.705,0.95,19.4037,2.1203
0,20240205,6.04,2.1905,1.57,19.2129,2.0994
0,20240206,6.28,2.029,1.31,19.9763,2.1828
0,20240207,6.28,1.9926,1.17,19.9763,2.1828
0,20240208,6.45,3.2946,1.79,20.5171,2.2419
0,20240219,6.83,3.1205,1.39,21.7258,2.374
0,20240220,6.81,1.4457,0.57,21.6622,2.3671
0,20240221,6.62,2.0611,0.87,21.0578,2.301
0,20240222,6.63,1.8199,0.76,21.0896,2.3045
0,20240223,6.58,1.5756,0.67,20.9306,2.2871
0,20240226,6.56,0.9167,0.46,20.867,2.2802
0,20240227,6.72,1.6748,1.07,21.3759,2.3358
0,20240228,6.47,1.5134,0.94,20.5807,2.2489
0,20240229,6.55,1.0041,0.67,20.8352,2.2767
0,20240301,6.59,0.8379,0.63,20.9624,2.2906
0,20240304,6.58,1.8974,1.6,20.9306,2.2871
0,20240305,6.58,0.8521,0.61,20.9306,2.2871
0,20240306,6.68,1.2266,1.0,21.2487,2.3219
0,20240307,6.6,1.1517,0.99,20.9942,2.2941
0,20240308,6.7,0.9267,0.78,21.3123,2.3288
0,20240311,6.59,1.3871,1.15,20.9624,2.2906
0,20240312,6.45,1.7421,1.57,20.5171,2.2419
0,20240313,6.33,1.6535,1.28,20.1354,2.2002
0,20240314,6.29,1.2745,0.93,20.0081,2.1863
0,20240315,6.35,1.3288,0.95,20.199,2.2072
0,20240318,6.24,1.5463,1.05,19.8491,2.1689
0,20240319,6.04,2.7196,1.8,19.2129,2.0994
0,20240320,6.17,2.2521,1.32,19.6264,2.1446
0,20240321,6.01,1.9743,1.08,19.1175,2.089
0,20240322,5.95,1.616,0.82,18.9266,2.0681
0,20240325,5.9,1.4615,0.72,18.7676,2.0508
0,20240326,5.85,1.0765,0.54,18.6085,2.0334
0,20240327,5.84,1.4815,0.88,18.5767,2.0299
0,20240328,5.79,1.6045,1.05,18.4177,2.0125
0,20240329,5.95,2.1003,1.45,18.9266,2.0681
0,20240401,5.93,1.4775,0.96,18.863,2.0612
0,20240402,6.13,3.0879,1.99,19.4992,2.1307
0,20240403,6.18,1.4551,0.75,19.6582,2.1481
