,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,34.7,14.9989,0.75,44.0376,3.5708
0,20240103,35.14,11.6989,0.61,44.596,3.6161
0,20240104,35.0,13.4004,0.84,44.4184,3.6017
0,20240105,34.65,28.9424,1.84,43.9742,3.5657
0,20240108,36.61,26.0748,1.34,46.4616,3.7674
0,20240109,36.68,21.2721,1.12,46.5505,3.7746
0,20240110,35.62,10.4753,0.52,45.2052,3.6655
0,20240111,38.91,50.1187,2.5,49.3805,4.0041
0,20240112,37.89,44.3625,1.62,48.0861,3.8991
0,20240115,36.35,26.3073,0.86,46.1317,3.7406
0,20240116,35.25,13.7743,0.45,44.7356,3.6274
0,20240117,35.45,16.4057,0.57,44.9895,3.648
0,20240118,36.6,33.4527,1.11,46.4489,3.7664
0,20240119,35.26,14.1203,0.53,44.7483,3.6285
0,20240122,33.36,11.3427,0.55,42.3371,3.4329
0,20240123,30.02,13.6248,0.76,38.0983,3.0892
0,20240124,33.02,22.533,1.27,41.9056,3.398
0,20240125,36.32,7.9827,0.42,46.0936,3.7375
0,20240126,39.68,43.7164,3.14,50.3577,4.0833
0,20240129,41.95,41.003,2.07,53.2386,4.3169
0,20240130,37.76,19.5761,0.76,47.9211,3.8857
0,20240131,33.98,17.176,0.64,43.1239,3.4967
0,20240201,34.0,14.0298,0.54,43.1493,3.4988
0,20240202,35.12,37.0864,1.37,44.5707,3.6141
0,20240205,31.99,22.9403,0.89,40.5984,3.292
0,20240206,30.0,22.17,1.0,38.0729,3.0872
0,20240207,27.0,8.6882,0.38,34.2656,2.7785
0,20240208,25.8,16.431,0.78,32.7427,2.655
0,20240219,27.3,16.8048,0.78,34.6463,2.8093
0,20240220,26.72,10.7248,0.62,33.9103,2.7496
0,20240221,28.0,14.4745,0.97,35.5347,2.8814
0,20240222,28.33,12.052,0.9,35.9535,2.9153
0,20240223,28.78,11.8206,0.84,36.5246,2.9616
0,20240226,29.8,19.3242,1.47,37.8191,3.0666
0,20240227,29.99,16.5546,1.21,38.0602,3.0861
0,20240228,27.98,19.17,1.29,35.5093,2.8793
0,20240229,28.28,13.8529,0.88,35.89,2.9102
0,20240301,29.11,13.7576,0.85,36.9434,2.9956
0,20240304,29.37,16.8739,1.02,37.2734,3.0223
0,20240305,28.31,9.0734,0.57,35.9281,2.9133
0,20240306,28.31,5.189,0.36,35.9281,2.9133
0,20240307,28.36,6.9611,0.59,35.9916,2.9184
0,20240308,29.35,10.9821,1.06,37.248,3.0203
0,20240311,29.39,8.306,0.85,37.2987,3.0244
0,20240312,29.69,14.1139,1.74,37.6795,3.0553
0,20240313,31.48,20.9641,2.3,39.9512,3.2395
0,20240314,31.57,26.9544,2.2,40.0654,3.2487
0,20240315,31.5,19.1378,1.18,39.9765,3.2415
0,20240318,31.35,20.9159,1.17,39.7862,3.2261
0,20240319,30.91,10.0682,0.49,39.2278,3.1808
0,20240320,31.96,11.6277,0.59,40.5603,3.2889
0,20240321,32.49,9.7677,0.55,41.2329,3.3434
0,20240322,31.98,9.7296,0.68,40.5857,3.2909
0,20240325,33.94,25.7817,2.08,43.0731,3.4926
0,20240326,35.9,28.1566,2.1,45.5606,3.6943
0,20240327,36.39,22.2636,1.31,46.1824,3.7447
0,20240328,35.2,22.0302,1.15,44.6722,3.6223
0,20240329,35.4,15.1318,0.7,44.926,3.6429
0,20240401,35.84,13.0839,0.58,45.4844,3.6881
0,20240402,35.0,9.1423,0.45,44.4184,3.6017
0,20240403,36.71,17.9987,1.1,46.5885,3.7777
