,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,13.56,0.1623,1.05,14.6086,1.1279
0,20240103,13.6,0.142,0.84,14.6516,1.1312
0,20240104,13.48,0.1491,0.82,14.5224,1.1212
0,20240105,13.47,0.1436,0.81,14.5116,1.1204
0,20240108,13.18,0.1919,1.21,14.1992,1.0963
0,20240109,13.17,0.1554,0.98,14.1884,1.0955
0,20240110,13.13,0.1075,0.69,14.1453,1.0921
0,20240111,13.14,0.1801,1.2,14.1561,1.093
0,20240112,12.95,0.165,1.06,13.9514,1.0772
0,20240115,12.91,0.1364,0.85,13.9083,1.0738
0,20240116,13.1,0.1706,1.15,14.113,1.0896
0,20240117,13.0,0.177,1.16,14.0053,1.0813
0,20240118,13.13,0.3019,1.82,14.1453,1.0921
0,20240119,13.03,0.2027,1.07,14.0376,1.0838
0,20240122,12.88,0.2982,1.51,13.876,1.0713
0,20240123,12.83,0.3189,1.39,13.8221,1.0672
0,20240124,13.24,0.4131,1.59,14.2638,1.1013
0,20240125,13.43,0.3529,1.15,14.4685,1.1171
0,20240126,13.52,0.307,0.97,14.5655,1.1246
0,20240129,13.48,0.2931,0.87,14.5224,1.1212
0,20240130,13.43,0.2212,0.66,14.4685,1.1171
0,20240131,13.37,0.2407,0.76,14.4039,1.1121
0,20240201,13.36,0.2289,0.81,14.3931,1.1113
0,20240202,13.22,0.3015,1.17,14.2423,1.0996
0,20240205,13.56,0.4838,1.88,14.6086,1.1279
0,20240206,13.99,0.486,1.65,15.0718,1.1637
0,20240207,13.88,0.4186,1.2,14.9533,1.1545
0,20240208,13.94,0.3834,1.0,15.0179,1.1595
0,20240219,13.81,0.3481,0.84,14.8779,1.1231
0,20240220,14.14,0.3487,0.82,15.2334,1.1499
0,20240221,14.1,0.4222,1.06,15.1903,1.1467
0,20240222,14.17,0.2779,0.72,15.2657,1.1523
0,20240223,14.12,0.2209,0.62,15.2119,1.1483
0,20240226,13.94,0.2245,0.69,15.0179,1.1336
0,20240227,14.05,0.1917,0.64,15.1364,1.1426
0,20240228,13.93,0.3096,1.16,15.0072,1.1328
0,20240229,14.1,0.2932,1.2,15.1903,1.1467
0,20240301,14.06,0.2975,1.2,15.1472,1.1434
0,20240304,14.03,0.2091,0.79,15.1149,1.141
0,20240305,14.14,0.2801,1.08,15.2334,1.1499
0,20240306,14.07,0.2292,0.82,15.158,1.1442
0,20240307,13.96,0.2025,0.77,15.0395,1.1353
0,20240308,13.97,0.1688,0.69,15.0503,1.1361
0,20240311,14.17,0.2166,0.99,15.2657,1.1523
0,20240312,14.19,0.2047,0.93,15.2873,1.154
0,20240313,14.04,0.1632,0.8,15.1257,1.1418
0,20240314,13.92,0.1588,0.83,14.9964,1.132
0,20240315,14.03,0.1422,0.78,15.1149,1.141
0,20240318,14.24,0.272,1.54,15.3411,1.158
0,20240319,14.04,0.148,0.79,15.1257,1.1418
0,20240320,14.05,0.1249,0.71,15.1364,1.1426
0,20240321,14.16,0.1796,1.06,15.255,1.1515
0,20240322,14.0,0.1658,0.96,15.0826,1.1385
0,20240325,13.87,0.1754,0.99,14.9425,1.128
0,20240326,13.86,0.116,0.73,14.9318,1.1271
0,20240327,13.82,0.137,0.9,14.8887,1.1239
0,20240328,13.84,0.1692,1.09,14.9102,1.1255
0,20240329,13.96,0.1661,1.09,13.8526,1.135
0,20240401,14.13,0.2158,1.41,14.0213,1.1488
0,20240402,14.14,0.1852,1.15,14.0312,1.1497
0,20240403,14.15,0.1507,0.86,14.0411,1.1505
