,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.35,0.4883,1.25,47.4515,1.1746
0,20240103,3.36,0.5581,1.31,47.5932,1.1781
0,20240104,3.35,0.3835,0.8,47.4515,1.1746
0,20240105,3.32,0.3625,0.8,47.0266,1.1641
0,20240108,3.24,0.4864,1.11,45.8934,1.1361
0,20240109,3.26,0.3938,0.86,46.1767,1.1431
0,20240110,3.25,0.357,0.82,46.035,1.1396
0,20240111,3.26,0.3885,0.98,46.1767,1.1431
0,20240112,3.27,0.4394,1.11,46.3183,1.1466
0,20240115,3.27,0.3671,0.89,46.3183,1.1466
0,20240116,3.25,0.3649,0.94,46.035,1.1396
0,20240117,3.19,0.3487,0.91,45.1852,1.1185
0,20240118,3.09,1.204,3.15,43.7687,1.0835
0,20240119,3.05,0.5121,0.94,43.2021,1.0694
0,20240122,2.93,0.7072,1.26,41.5024,1.0274
0,20240123,2.98,0.6244,1.0,42.2106,1.0449
0,20240124,3.11,0.9817,1.45,44.052,1.0905
0,20240125,3.27,1.181,1.47,46.3183,1.1466
0,20240126,3.31,0.9509,1.19,46.8849,1.1606
0,20240129,3.27,0.8499,0.96,46.3183,1.1466
0,20240130,3.21,0.6639,0.72,45.4685,1.1255
0,20240131,3.12,0.7264,0.78,44.1936,1.094
0,20240201,3.07,0.6634,0.76,43.4854,1.0765
0,20240202,3.01,0.9443,1.22,42.6355,1.0554
0,20240205,2.93,1.2156,1.58,41.5024,1.0274
0,20240206,3.08,1.2819,1.52,43.6271,1.08
0,20240207,3.3,1.7766,1.84,46.7433,1.1571
0,20240208,3.28,1.6549,1.41,46.46,1.1501
0,20240219,3.3,0.9808,0.71,46.7433,1.1571
0,20240220,3.29,0.7483,0.54,46.6016,1.1536
0,20240221,3.3,0.7825,0.61,46.7433,1.1571
0,20240222,3.32,0.5479,0.46,47.0266,1.1641
0,20240223,3.24,1.8611,1.97,45.8934,1.1361
0,20240226,3.21,1.5983,1.62,45.4685,1.1255
0,20240227,3.25,1.0208,0.92,46.035,1.1396
0,20240228,3.23,1.8694,1.61,45.7518,1.1326
0,20240229,3.3,1.1668,0.85,46.7433,1.1571
0,20240301,3.29,0.8461,0.56,46.6016,1.1536
0,20240304,3.27,0.6717,0.52,46.3183,1.1466
0,20240305,3.23,0.8068,0.72,45.7518,1.1326
0,20240306,3.25,0.7389,0.69,46.035,1.1396
0,20240307,3.28,1.2331,1.46,46.46,1.1501
0,20240308,3.35,1.0933,1.27,47.4515,1.1746
0,20240311,3.39,1.44,1.58,48.0181,1.1887
0,20240312,3.34,0.9925,0.93,47.3099,1.1711
0,20240313,3.31,0.7366,0.67,46.8849,1.1606
0,20240314,3.3,0.6233,0.57,46.7433,1.1571
0,20240315,3.36,0.7753,0.79,47.5932,1.1781
0,20240318,3.38,0.8689,0.95,47.8765,1.1851
0,20240319,3.33,0.6178,0.77,47.1682,1.1676
0,20240320,3.33,0.4842,0.67,47.1682,1.1676
0,20240321,3.37,0.781,1.16,47.7348,1.1816
0,20240322,3.31,0.6815,0.97,46.8849,1.1606
0,20240325,3.31,0.7,1.02,46.8849,1.1606
0,20240326,3.32,0.7123,1.09,47.0266,1.1641
0,20240327,3.25,0.7321,1.09,46.035,1.1396
0,20240328,3.29,0.5849,0.81,46.6016,1.1536
0,20240329,3.38,1.2172,1.78,34.2457,1.1672
0,20240401,3.44,1.3466,1.71,34.8536,1.1879
0,20240402,3.47,1.1918,1.3,35.1576,1.1983
0,20240403,3.48,0.8743,0.86,35.2589,1.2017
