,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,24.75,18.8885,0.77,149.2868,11.3763
0,20240103,23.52,18.6611,0.72,141.8677,10.8109
0,20240104,23.65,11.1243,0.45,142.6519,10.8707
0,20240105,22.56,11.0516,0.49,136.0772,10.3697
0,20240108,22.55,8.7983,0.51,136.0169,10.3651
0,20240109,23.26,18.2094,1.33,140.2995,10.6914
0,20240110,22.68,13.2591,0.98,136.801,10.4248
0,20240111,23.55,14.1513,1.13,142.0487,10.8247
0,20240112,22.7,12.6648,0.97,136.9217,10.434
0,20240115,23.1,12.1423,0.91,139.3344,10.6179
0,20240116,22.75,9.1745,0.65,137.2233,10.457
0,20240117,22.42,6.7112,0.55,135.2328,10.3053
0,20240118,22.08,8.5517,0.78,133.182,10.1491
0,20240119,22.93,31.3718,3.19,138.309,10.5398
0,20240122,20.64,23.4613,1.73,124.4962,9.4872
0,20240123,20.7,11.7591,0.74,124.8581,9.5147
0,20240124,20.74,9.8618,0.6,125.0994,9.5331
0,20240125,21.41,12.6379,0.74,129.1407,9.8411
0,20240126,20.84,10.0862,0.57,125.7025,9.5791
0,20240129,19.81,8.2901,0.61,119.4898,9.1056
0,20240130,19.36,6.2746,0.6,116.7755,8.8988
0,20240131,18.17,7.5695,0.8,109.5977,8.3518
0,20240201,19.0,18.1734,2.03,114.604,8.7333
0,20240202,17.54,14.8037,1.47,105.7976,8.0622
0,20240205,15.79,8.6794,0.79,95.242,7.2579
0,20240206,14.36,17.4464,1.57,86.6165,6.6006
0,20240207,12.99,18.3826,1.38,78.353,5.9708
0,20240208,13.74,17.2764,1.11,82.8768,6.3156
0,20240219,15.11,19.0868,1.25,91.1404,6.9453
0,20240220,15.94,21.3931,1.32,96.1468,7.3268
0,20240221,17.2,27.3975,1.46,103.7468,7.906
0,20240222,18.92,34.1227,1.65,114.1215,8.6966
0,20240223,19.4,33.7128,1.41,117.0168,8.9172
0,20240226,20.56,30.1677,1.11,124.0136,9.4504
0,20240227,22.11,28.9196,0.99,133.3629,10.1628
0,20240228,19.9,26.3136,0.85,120.0326,9.147
0,20240229,21.89,39.3388,1.28,132.0359,10.0617
0,20240301,22.75,40.4271,1.28,137.2233,10.457
0,20240304,25.03,36.5231,1.11,150.9757,11.505
0,20240305,24.88,37.8008,1.1,150.071,11.4361
0,20240306,25.12,30.1963,0.84,151.5186,11.5464
0,20240307,24.0,21.4253,0.58,144.763,11.0316
0,20240308,24.73,21.9124,0.66,149.1662,11.3671
0,20240311,24.49,18.4149,0.62,147.7186,11.2568
0,20240312,25.65,29.5043,1.14,154.7154,11.79
0,20240313,26.24,33.5085,1.38,158.2742,12.0612
0,20240314,25.08,19.7148,0.79,151.2773,11.528
0,20240315,24.39,14.5057,0.59,147.1154,11.2108
0,20240318,24.9,14.8079,0.64,150.1916,11.4453
0,20240319,26.06,24.8459,1.11,157.1885,11.9785
0,20240320,26.26,23.8221,1.11,158.3948,12.0704
0,20240321,27.16,29.3185,1.5,163.8235,12.4841
0,20240322,25.87,21.5108,1.0,156.0424,11.8911
0,20240325,24.73,14.9253,0.65,149.1662,11.3671
0,20240326,22.81,17.9763,0.79,137.5852,10.4846
0,20240327,20.93,15.5249,0.72,126.2454,9.6205
0,20240328,21.49,13.076,0.66,129.6232,9.8779
0,20240329,21.54,9.2013,0.55,129.9248,9.9008
0,20240401,22.04,10.1796,0.72,132.9407,10.1307
0,20240402,21.15,9.4819,0.72,127.5724,9.7216
0,20240403,20.32,9.4041,0.82,122.566,9.3401
