,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,175.26,0.9038,0.83,36.6391,4.8502
0,20240103,175.26,0.6407,0.6,36.6439,4.8485
0,20240104,167.25,1.0638,1.0,34.9691,4.6269
0,20240105,166.19,0.7931,0.72,34.7475,4.5976
0,20240108,159.78,0.8687,0.98,33.4073,4.4203
0,20240109,163.18,0.9048,1.06,34.1182,4.5143
0,20240110,164.12,0.8283,0.97,34.3147,4.5403
0,20240111,165.78,1.1025,1.24,34.6618,4.5863
0,20240112,162.66,0.7551,0.84,34.0094,4.4999
0,20240115,173.85,2.2602,2.53,36.3491,4.8095
0,20240116,171.91,1.0902,0.93,35.9435,4.7558
0,20240117,166.18,0.9103,0.75,34.7454,4.5973
0,20240118,171.98,1.3018,1.06,35.9581,4.7578
0,20240119,169.08,0.9028,0.71,35.3518,4.6775
0,20240122,163.29,1.1563,0.89,34.1412,4.5174
0,20240123,167.0,1.4808,1.38,34.9169,4.62
0,20240124,163.06,1.6186,1.41,34.0931,4.511
0,20240125,163.21,1.5554,1.2,34.1244,4.5152
0,20240126,151.04,2.6796,2.0,31.5799,4.1785
0,20240129,139.4,2.2191,1.31,29.1462,3.8565
0,20240130,133.57,1.4155,0.74,27.9272,3.6952
0,20240131,127.4,1.5758,0.83,26.6372,3.5245
0,20240201,132.03,1.7987,0.95,27.6052,3.6526
0,20240202,125.56,1.6253,0.84,26.2525,3.4736
0,20240205,123.01,1.9382,1.12,25.7193,3.403
0,20240206,131.77,1.8596,1.11,27.5509,3.6454
0,20240207,134.02,1.7807,1.01,28.0213,3.7076
0,20240208,138.85,1.6855,0.94,29.0312,3.8412
0,20240219,138.46,1.3467,0.76,28.9496,3.8305
0,20240220,138.58,1.1677,0.68,28.9747,3.8338
0,20240221,140.05,1.3906,0.89,29.2821,3.8744
0,20240222,140.46,1.0795,0.73,29.3678,3.8858
0,20240223,140.8,1.031,0.77,29.4389,3.8952
0,20240226,142.94,1.4526,1.21,29.8863,3.9544
0,20240227,149.86,1.6866,1.38,31.3332,4.1458
0,20240228,142.38,1.9033,1.43,29.7692,3.9389
0,20240229,151.55,1.9907,1.39,31.6865,4.1926
0,20240301,154.94,2.0033,1.24,32.3953,4.2864
0,20240304,152.5,1.5565,0.86,31.8852,4.2189
0,20240305,149.99,1.1358,0.62,31.3604,4.1494
0,20240306,149.8,1.5687,0.91,31.3206,4.1442
0,20240307,146.59,1.0739,0.65,30.6495,4.0554
0,20240308,147.76,0.9026,0.61,30.8941,4.0877
0,20240311,154.43,1.6655,1.34,32.2887,4.2723
0,20240312,154.38,1.5141,1.19,32.2782,4.2709
0,20240313,161.0,2.4494,1.82,33.6624,4.454
0,20240314,160.47,2.0216,1.33,33.5516,4.4394
0,20240315,160.9,1.2713,0.74,33.6415,4.4513
0,20240318,165.33,1.453,0.81,34.5677,4.5738
0,20240319,163.01,1.0052,0.58,34.0826,4.5096
0,20240320,160.92,1.1677,0.71,33.6456,4.4518
0,20240321,159.74,0.8201,0.59,33.3989,4.4192
0,20240322,156.0,1.0359,0.91,32.617,4.3157
0,20240325,149.8,1.3224,1.21,31.3206,4.1442
0,20240326,147.81,1.2128,1.13,30.9046,4.0891
0,20240327,141.16,1.1199,1.01,29.5142,3.9051
0,20240328,144.96,1.0368,0.94,30.3087,4.0103
0,20240329,143.17,0.8534,0.74,29.9344,3.9608
0,20240401,144.39,1.111,1.0,30.1895,3.9945
0,20240402,142.38,0.9139,0.86,29.7721,3.9379
0,20240403,139.25,1.0366,1.03,29.1176,3.8513
