,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,7.51,1.119,1.28,44.6902,4.4973
0,20240103,7.53,0.8367,0.89,44.8092,4.5092
0,20240104,7.48,0.6968,0.69,44.5117,4.4793
0,20240105,7.37,1.0896,1.21,43.8571,4.4134
0,20240108,7.19,0.7316,0.76,42.786,4.3056
0,20240109,7.26,0.6214,0.69,43.2025,4.3476
0,20240110,7.26,0.5758,0.72,43.2025,4.3476
0,20240111,7.3,0.484,0.65,43.4406,4.3715
0,20240112,7.29,0.7299,1.04,43.3811,4.3655
0,20240115,7.27,0.5575,0.89,43.262,4.3535
0,20240116,7.29,0.7702,1.3,43.3811,4.3655
0,20240117,7.17,0.5877,0.94,42.667,4.2937
0,20240118,7.0,1.4089,2.25,41.6553,4.1919
0,20240119,6.97,0.5858,0.72,41.4768,4.1739
0,20240122,6.47,1.1928,1.53,38.5014,3.8745
0,20240123,6.44,0.9217,1.01,38.3229,3.8565
0,20240124,6.6,0.9264,0.99,39.275,3.9523
0,20240125,6.9,0.9413,0.93,41.0603,4.132
0,20240126,6.97,1.035,1.13,41.4768,4.1739
0,20240129,6.88,0.9253,0.92,40.9413,4.12
0,20240130,6.76,1.0364,1.09,40.2272,4.0481
0,20240131,6.45,1.0323,1.06,38.3824,3.8625
0,20240201,6.41,1.3433,1.35,38.1444,3.8385
0,20240202,6.48,2.5434,2.37,38.5609,3.8805
0,20240205,5.83,2.8614,2.08,34.693,3.4912
0,20240206,5.61,2.866,1.63,33.3838,3.3595
0,20240207,5.85,4.2624,2.0,34.812,3.5032
0,20240208,6.01,4.259,1.53,35.7641,3.599
0,20240219,6.05,2.461,0.73,36.0021,3.623
0,20240220,6.01,1.2897,0.39,35.7641,3.599
0,20240221,6.09,2.1478,0.71,36.2401,3.6469
0,20240222,6.24,2.4906,0.86,37.1328,3.7367
0,20240223,6.26,1.8796,0.74,37.2518,3.7487
0,20240226,6.3,1.9638,0.96,37.4898,3.7727
0,20240227,6.43,1.8231,0.93,38.2634,3.8505
0,20240228,6.48,4.1673,2.02,38.5609,3.8805
0,20240229,6.65,3.8212,1.55,39.5726,3.9823
0,20240301,6.57,2.2152,0.81,39.0965,3.9344
0,20240304,6.58,1.8508,0.66,39.156,3.9403
0,20240305,6.35,2.5099,0.9,37.7873,3.8026
0,20240306,6.31,1.6852,0.58,37.5493,3.7787
0,20240307,6.33,1.2549,0.52,37.6683,3.7906
0,20240308,6.31,0.8413,0.44,37.5493,3.7787
0,20240311,6.45,1.7051,1.05,38.3824,3.8625
0,20240312,6.5,1.3816,0.86,38.68,3.8924
0,20240313,6.46,1.3952,1.02,38.4419,3.8685
0,20240314,6.39,1.1335,0.86,38.0254,3.8266
0,20240315,6.49,1.1319,0.88,38.6205,3.8864
0,20240318,6.54,1.4195,1.05,38.918,3.9164
0,20240319,6.53,1.4976,1.16,38.8585,3.9104
0,20240320,6.57,1.1992,0.91,39.0965,3.9344
0,20240321,6.64,2.2139,1.73,39.5131,3.9763
0,20240322,6.44,1.9068,1.28,38.3229,3.8565
0,20240325,6.29,1.1932,0.72,37.4303,3.7667
0,20240326,6.33,0.9599,0.6,37.6683,3.7906
0,20240327,6.25,0.9418,0.63,37.1923,3.7427
0,20240328,6.3,0.8067,0.56,37.4898,3.7727
0,20240329,6.4,1.1287,0.97,35.4326,3.7952
0,20240401,6.49,1.2754,1.27,35.9309,3.8485
0,20240402,6.51,1.0694,1.05,36.0416,3.8604
0,20240403,6.55,1.3826,1.32,36.2631,3.8841
