,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,27.3,9.0034,4.06,23.6802,3.093
0,20240103,28.4,8.1062,2.2,24.6344,3.2176
0,20240104,28.55,8.4753,1.68,24.7645,3.2346
0,20240105,27.64,7.4899,1.15,23.9751,3.1315
0,20240108,26.52,4.0943,0.53,23.0037,3.0046
0,20240109,26.37,3.6296,0.49,22.8735,2.9876
0,20240110,25.65,3.3279,0.52,22.249,2.9061
0,20240111,25.53,2.5023,0.46,22.1449,2.8925
0,20240112,25.16,1.7394,0.41,21.824,2.8506
0,20240115,24.38,2.263,0.74,21.1474,2.7622
0,20240116,24.37,1.6768,0.62,21.1387,2.761
0,20240117,23.52,3.1269,1.36,20.4014,2.6647
0,20240118,23.43,2.9563,1.31,20.3234,2.6545
0,20240119,22.82,1.6609,0.71,19.7942,2.5854
0,20240122,21.7,2.9909,1.28,18.8227,2.4585
0,20240123,21.29,2.6768,1.08,18.4671,2.4121
0,20240124,20.77,2.2963,0.86,18.0161,2.3532
0,20240125,21.01,3.1521,1.25,18.2242,2.3804
0,20240126,20.57,2.0439,0.8,17.8426,2.3305
0,20240129,19.8,2.5554,0.97,17.1747,2.2433
0,20240130,19.19,1.3869,0.54,16.6456,2.1742
0,20240131,18.64,1.9306,0.84,16.1685,2.1119
0,20240201,19.02,2.1632,0.98,16.4981,2.1549
0,20240202,17.8,2.4653,1.22,15.4399,2.0167
0,20240205,16.71,2.3869,1.14,14.4944,1.8932
0,20240206,17.88,2.1614,1.05,15.5092,2.0257
0,20240207,17.9,2.9339,1.32,15.5266,2.028
0,20240208,19.69,2.4208,1.0,17.0793,2.2308
0,20240219,20.27,2.6149,1.06,17.5824,2.2965
0,20240220,19.81,1.6205,0.65,17.1833,2.2444
0,20240221,21.15,3.1153,1.33,18.3457,2.3962
0,20240222,21.3,2.0157,0.79,18.4758,2.4132
0,20240223,21.59,2.1758,0.92,18.7273,2.4461
0,20240226,21.63,1.7641,0.76,18.762,2.4506
0,20240227,22.21,2.0702,0.97,19.2651,2.5163
0,20240228,21.0,2.887,1.3,18.2156,2.3792
0,20240229,21.1,1.7788,0.82,18.3023,2.3906
0,20240301,21.18,1.0991,0.51,18.3717,2.3996
0,20240304,21.47,1.082,0.56,18.6232,2.4325
0,20240305,21.04,0.8588,0.48,18.2503,2.3838
0,20240306,21.54,1.7539,1.14,18.684,2.4404
0,20240307,21.96,2.4501,1.86,19.0483,2.488
0,20240308,21.84,1.1883,0.82,18.9442,2.4744
0,20240311,21.89,0.8661,0.59,18.9876,2.4801
0,20240312,22.3,1.327,0.93,19.3432,2.5265
0,20240313,22.34,1.1771,0.78,19.3779,2.5311
0,20240314,21.95,1.1802,0.84,19.0396,2.4869
0,20240315,22.12,0.8794,0.77,19.1871,2.5061
0,20240318,22.65,1.6533,1.52,19.6468,2.5662
0,20240319,22.3,0.7914,0.64,19.3432,2.5265
0,20240320,22.53,0.9197,0.81,19.5427,2.5526
0,20240321,22.48,0.9441,0.87,19.4993,2.5469
0,20240322,21.84,1.227,1.18,18.9442,2.4744
0,20240325,21.0,1.0677,0.96,18.2156,2.3792
0,20240326,21.28,1.16,1.17,18.4584,2.411
0,20240327,20.74,1.0097,0.95,17.99,2.3498
0,20240328,20.64,0.9162,0.85,17.9033,2.3384
0,20240329,21.07,0.8163,0.76,18.2763,2.3872
0,20240401,21.57,0.8815,0.89,18.71,2.4438
0,20240402,21.49,1.0364,1.08,18.6406,2.4348
0,20240403,21.23,0.7735,0.83,18.4151,2.4053
