,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,29.59,2.598,1.02,60.5605,3.3216
0,20240103,29.82,3.4872,1.39,61.0312,3.3474
0,20240104,29.94,2.4526,0.88,61.2768,3.3609
0,20240105,29.12,2.6414,0.95,59.5985,3.2688
0,20240108,28.51,2.6109,0.93,58.3501,3.2003
0,20240109,27.93,3.2863,1.19,57.163,3.1352
0,20240110,27.37,2.3731,0.82,56.0169,3.0724
0,20240111,28.74,3.8926,1.46,58.8208,3.2262
0,20240112,27.86,2.3845,0.81,57.0198,3.1274
0,20240115,27.7,1.8945,0.65,56.6923,3.1094
0,20240116,27.44,2.5454,0.92,56.1602,3.0802
0,20240117,26.84,1.862,0.71,54.9322,3.0129
0,20240118,26.8,2.8842,1.15,54.8503,3.0084
0,20240119,26.17,2.0642,0.89,53.5609,2.9377
0,20240122,24.7,1.0128,1.39,50.5523,2.7726
0,20240123,24.62,1.09,1.35,50.3886,2.7637
0,20240124,24.79,1.1416,1.32,50.7365,2.7828
0,20240125,25.88,1.1432,1.18,52.9674,2.9051
0,20240126,25.6,0.783,0.77,52.3943,2.8737
0,20240129,24.42,0.7253,0.7,49.9793,2.7412
0,20240130,23.45,0.6104,0.62,47.994,2.6323
0,20240131,21.62,1.37,1.56,44.2486,2.4269
0,20240201,21.54,1.3879,1.5,44.0849,2.4179
0,20240202,20.17,1.2277,1.26,41.281,2.2641
0,20240205,18.15,0.9547,0.9,37.1468,2.0374
0,20240206,16.8,3.0901,2.78,34.3838,1.8859
0,20240207,15.13,3.9712,2.47,30.9659,1.6984
0,20240208,16.64,3.4114,1.6,34.0563,1.8679
0,20240219,18.3,2.084,0.82,37.4538,2.0542
0,20240220,20.13,0.1686,0.06,41.1991,2.2597
0,20240221,20.06,6.1112,2.4,41.0559,2.2518
0,20240222,22.07,4.2721,1.36,45.1696,2.4774
0,20240223,23.86,6.6765,2.08,48.8332,2.6784
0,20240226,23.77,5.3772,1.39,48.649,2.6683
0,20240227,24.92,4.6074,1.02,51.0026,2.7973
0,20240228,22.62,4.7009,0.87,46.2953,2.5392
0,20240229,23.2,3.9002,0.76,47.4824,2.6043
0,20240301,23.64,2.9919,0.59,48.3829,2.6537
0,20240304,24.12,3.0394,0.7,49.3653,2.7075
0,20240305,23.74,2.3148,0.6,48.5876,2.6649
0,20240306,24.45,3.0553,0.9,50.0407,2.7446
0,20240307,23.55,2.4131,0.79,48.1987,2.6436
0,20240308,24.13,1.7175,0.62,49.3857,2.7087
0,20240311,24.22,1.7273,0.69,49.5699,2.7188
0,20240312,24.75,2.0255,0.9,50.6547,2.7783
0,20240313,24.98,2.1481,0.98,51.1254,2.8041
0,20240314,24.64,1.9608,0.98,50.4295,2.7659
0,20240315,26.1,4.027,2.1,53.4177,2.9298
0,20240318,26.05,3.4987,1.47,53.3153,2.9242
0,20240319,25.93,1.9534,0.72,53.0697,2.9107
0,20240320,26.54,3.6713,1.35,54.3182,2.9792
0,20240321,27.77,4.9189,1.63,56.8356,3.1173
0,20240322,26.91,4.3395,1.2,55.0754,3.0207
0,20240325,25.58,2.9196,0.79,52.3534,2.8714
0,20240326,25.36,2.4043,0.68,51.9031,2.8467
0,20240327,24.14,2.1493,0.59,49.4062,2.7098
0,20240328,25.08,2.058,0.62,51.3301,2.8153
0,20240329,25.11,1.6006,0.58,51.3915,2.8187
0,20240401,25.46,1.5369,0.69,52.1078,2.858
0,20240402,24.11,2.5262,1.3,49.3448,2.7064
0,20240403,23.29,1.4433,0.73,47.6666,2.6144
