,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,2.99,0.5005,0.88,65.5317,4.691
0,20240103,2.99,0.5913,0.97,65.5317,4.691
0,20240104,2.97,0.3135,0.5,65.0933,4.6596
0,20240105,2.92,0.3436,0.65,63.9975,4.5812
0,20240108,2.82,0.5539,1.21,61.8058,4.4243
0,20240109,2.82,0.4625,1.0,61.8058,4.4243
0,20240110,2.83,0.4597,1.01,62.025,4.44
0,20240111,2.91,0.4185,0.98,63.7783,4.5655
0,20240112,2.85,0.3582,0.8,62.4633,4.4714
0,20240115,2.83,0.393,0.87,62.025,4.44
0,20240116,2.82,0.469,1.12,61.8058,4.4243
0,20240117,2.72,0.528,1.26,59.6141,4.2674
0,20240118,2.7,0.6992,1.61,59.1758,4.236
0,20240119,2.74,0.4437,0.91,60.0524,4.2988
0,20240122,2.55,0.7612,1.5,55.8882,4.0007
0,20240123,2.57,0.6966,1.2,56.3266,4.0321
0,20240124,2.57,0.8441,1.35,56.3266,4.0321
0,20240125,2.7,0.6539,0.95,59.1758,4.236
0,20240126,2.69,0.5457,0.8,58.9566,4.2203
0,20240129,2.58,0.5235,0.75,56.5457,4.0478
0,20240130,2.49,0.6308,0.97,54.5732,3.9066
0,20240131,2.4,0.8423,1.32,52.6007,3.7654
0,20240201,2.34,0.8239,1.29,51.2857,3.6712
0,20240202,2.23,0.902,1.34,48.8748,3.4986
0,20240205,2.03,1.4939,2.01,44.4914,3.1849
0,20240206,2.23,0.9369,1.0,48.8748,3.4986
0,20240207,2.45,1.0353,1.04,53.6965,3.8438
0,20240208,2.7,0.8588,0.83,59.1758,4.236
0,20240219,2.65,3.4203,3.27,58.0799,4.1576
0,20240220,2.59,1.9763,1.28,56.7649,4.0635
0,20240221,2.58,1.5286,0.93,56.5457,4.0478
0,20240222,2.59,0.9986,0.57,56.7649,4.0635
0,20240223,2.65,0.9417,0.54,58.0799,4.1576
0,20240226,2.69,1.0479,0.59,58.9566,4.2203
0,20240227,2.77,0.9323,0.72,60.71,4.3459
0,20240228,2.61,1.2202,1.12,57.2032,4.0948
0,20240229,2.64,0.705,0.69,57.8607,4.1419
0,20240301,2.63,0.5868,0.61,57.6416,4.1262
0,20240304,2.67,0.7569,0.84,58.5183,4.189
0,20240305,2.63,0.7062,0.84,57.6416,4.1262
0,20240306,2.65,0.8633,1.09,58.0799,4.1576
0,20240307,2.61,0.8675,1.2,57.2032,4.0948
0,20240308,2.57,0.5175,0.68,56.3266,4.0321
0,20240311,2.66,0.6664,0.9,58.2991,4.1733
0,20240312,2.67,0.5957,0.82,58.5183,4.189
0,20240313,2.69,0.5119,0.73,58.9566,4.2203
0,20240314,2.67,0.56,0.89,58.5183,4.189
0,20240315,2.75,0.8003,1.4,60.2716,4.3145
0,20240318,2.81,0.9803,1.56,61.5866,4.4086
0,20240319,2.79,0.5366,0.78,61.1483,4.3772
0,20240320,2.77,0.5744,0.85,60.71,4.3459
0,20240321,2.74,0.5206,0.75,60.0524,4.2988
0,20240322,2.66,0.6705,0.98,58.2991,4.1733
0,20240325,2.54,0.6341,0.97,55.6691,3.985
0,20240326,2.52,0.5839,0.99,55.2307,3.9536
0,20240327,2.47,0.587,0.98,54.1349,3.8752
0,20240328,2.51,0.5814,0.97,55.0115,3.9379
0,20240329,2.5,0.4,0.65,54.7924,3.9223
0,20240401,2.53,0.5806,1.04,55.4499,3.9693
0,20240402,2.5,0.5645,1.03,54.7924,3.9223
0,20240403,2.47,0.5569,1.03,54.1349,3.8752
