,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,2.89,0.5153,1.03,,3.1698
0,20240103,2.87,0.452,0.85,,3.1479
0,20240104,2.85,0.4538,0.9,,3.1259
0,20240105,2.88,1.2876,2.54,,3.1588
0,20240108,2.99,2.0107,3.18,,3.2795
0,20240109,2.85,1.5856,1.68,,3.1259
0,20240110,2.75,0.9212,0.8,,3.0162
0,20240111,2.77,0.7568,0.6,,3.0382
0,20240112,2.73,0.6609,0.5,,2.9943
0,20240115,2.72,0.4716,0.4,,2.9833
0,20240116,2.69,0.7765,0.88,,2.9504
0,20240117,2.63,0.4529,0.63,,2.8846
0,20240118,2.61,0.7443,1.19,,2.8627
0,20240119,2.65,0.6904,1.11,,2.9066
0,20240122,2.51,0.663,1.06,,2.753
0,20240123,2.5,0.742,1.12,,2.742
0,20240124,2.55,0.9596,1.46,,2.7969
0,20240125,2.65,1.0927,1.44,,2.9066
0,20240126,2.64,1.0821,1.3,,2.8956
0,20240129,2.5,1.3023,1.43,,2.742
0,20240130,2.44,0.7804,0.75,,2.6762
0,20240131,2.31,1.1029,1.06,,2.5336
0,20240201,2.28,0.8361,0.78,,2.5007
0,20240202,2.17,1.1502,1.13,,2.3801
0,20240205,2.01,1.768,1.71,,2.2046
0,20240206,2.15,1.301,1.15,,2.3582
0,20240207,2.28,1.4045,1.14,,2.5007
0,20240208,2.38,1.4068,1.09,,2.6104
0,20240219,2.44,1.3431,0.96,,2.6762
0,20240220,2.42,0.8073,0.56,,2.6543
0,20240221,2.41,1.4405,1.15,,2.6433
0,20240222,2.52,1.9695,1.54,,2.764
0,20240223,2.61,2.1048,1.51,,2.8627
0,20240226,2.56,1.3316,0.87,,2.8078
0,20240227,2.67,1.7858,1.17,,2.9285
0,20240228,2.52,1.7064,0.99,,2.764
0,20240229,2.6,1.5391,0.86,,2.8517
0,20240301,2.67,1.446,0.85,,2.9285
0,20240304,2.71,1.4488,0.93,,2.9724
0,20240305,2.67,1.2157,0.77,,2.9285
0,20240306,2.65,0.8356,0.57,,2.9066
0,20240307,2.59,1.358,1.05,,2.8407
0,20240308,2.7,1.6554,1.31,,2.9614
0,20240311,2.83,4.1982,3.22,,3.104
0,20240312,2.72,2.8175,1.52,,2.9833
0,20240313,2.69,1.4785,0.68,,2.9504
0,20240314,2.67,1.2939,0.56,,2.9285
0,20240315,2.71,1.2492,0.55,,2.9724
0,20240318,2.75,1.3788,0.62,,3.0162
0,20240319,2.69,1.0204,0.62,,2.9504
0,20240320,2.72,0.7329,0.57,,2.9833
0,20240321,2.69,1.1045,0.97,,2.9504
0,20240322,2.63,1.4717,1.34,,2.8846
0,20240325,2.57,1.2784,1.12,,2.8188
0,20240326,2.55,0.9202,0.82,,2.7969
0,20240327,2.43,0.9451,0.86,,2.6653
0,20240328,2.53,1.2386,1.08,,2.7749
0,20240329,2.54,0.7331,0.63,,2.7859
0,20240401,2.57,0.9627,0.94,79.3446,2.7842
0,20240402,2.53,0.7542,0.79,78.1097,2.7408
0,20240403,2.51,0.8006,0.86,77.4922,2.7192
