,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.13,5.8146,1.25,52.443,2.4065
0,20240103,9.32,5.6052,1.1,53.5343,2.4566
0,20240104,9.05,3.6498,0.69,51.9835,2.3854
0,20240105,9.02,3.3932,0.61,51.8111,2.3775
0,20240108,8.82,2.8614,0.54,50.6623,2.3248
0,20240109,8.86,2.5676,0.6,50.8921,2.3353
0,20240110,8.74,2.1883,0.61,50.2028,2.3037
0,20240111,8.93,2.0661,0.7,51.2942,2.3538
0,20240112,8.8,1.8332,0.7,50.5474,2.3195
0,20240115,8.75,1.6426,0.71,50.2602,2.3063
0,20240116,8.69,1.8437,0.9,49.9156,2.2905
0,20240117,8.38,1.5237,0.8,48.135,2.2088
0,20240118,8.25,2.6376,1.48,47.3882,2.1745
0,20240119,8.04,1.5531,0.82,46.182,2.1192
0,20240122,7.51,2.3171,1.26,43.1377,1.9795
0,20240123,7.29,2.2689,1.15,41.874,1.9215
0,20240124,7.32,1.811,0.88,42.0463,1.9294
0,20240125,7.61,1.662,0.78,43.7121,2.0058
0,20240126,7.73,1.8132,0.94,44.4013,2.0375
0,20240129,7.3,1.6732,0.85,41.9314,1.9241
0,20240130,6.99,1.6165,0.88,40.1508,1.8424
0,20240131,6.51,1.9375,1.13,37.3936,1.7159
0,20240201,6.41,2.2585,1.3,36.8192,1.6896
0,20240202,6.01,1.9878,1.07,34.5216,1.5841
0,20240205,5.41,1.7027,0.9,31.0752,1.426
0,20240206,5.04,4.4104,2.32,28.9499,1.3284
0,20240207,4.54,4.4544,1.81,26.0779,1.1967
0,20240208,4.84,4.7195,1.59,27.8011,1.2757
0,20240219,5.25,3.7195,1.08,30.1561,1.3838
0,20240220,5.47,2.6084,0.69,31.4198,1.4418
0,20240221,6.02,1.996,0.5,34.579,1.5868
0,20240222,6.04,4.0247,1.15,34.6939,1.592
0,20240223,6.22,3.0387,0.89,35.7279,1.6395
0,20240226,6.27,2.9448,0.96,36.0151,1.6527
0,20240227,6.52,1.9762,0.68,37.4511,1.7185
0,20240228,5.89,3.5423,1.27,33.8323,1.5525
0,20240229,6.12,2.3853,0.77,35.1535,1.6131
0,20240301,6.14,1.4739,0.53,35.2683,1.6184
0,20240304,6.09,1.773,0.72,34.9811,1.6052
0,20240305,5.88,1.7296,0.78,33.7749,1.5499
0,20240306,5.97,1.2609,0.58,34.2918,1.5736
0,20240307,5.93,1.4366,0.83,34.0621,1.563
0,20240308,5.96,0.9479,0.62,34.2344,1.5709
0,20240311,6.56,2.9403,2.06,37.6808,1.7291
0,20240312,7.22,5.1511,3.1,41.4719,1.9031
0,20240313,6.82,9.1468,3.9,39.1743,1.7976
0,20240314,7.5,6.0129,1.53,43.0802,1.9769
0,20240315,7.66,13.2909,2.75,43.9993,2.019
0,20240318,7.91,9.8131,1.34,45.4353,2.0849
0,20240319,7.52,6.1602,0.71,43.1951,1.9821
0,20240320,7.41,4.905,0.55,42.5632,1.9531
0,20240321,7.27,3.6718,0.46,41.7591,1.9162
0,20240322,7.07,3.5346,0.47,40.6103,1.8635
0,20240325,6.87,2.4672,0.44,39.4615,1.8108
0,20240326,7.56,6.2017,1.5,43.4249,1.9927
0,20240327,7.38,8.7006,2.09,42.3909,1.9452
0,20240328,7.37,4.9987,1.02,42.3335,1.9426
0,20240329,7.65,6.0619,1.17,43.9418,2.0164
0,20240401,7.67,4.813,0.85,44.0567,2.0217
0,20240402,7.95,8.3518,1.36,45.665,2.0955
0,20240403,7.64,6.3252,0.96,43.8844,2.0138
