,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,10.52,5.4118,1.12,17.9963,13.2707
0,20240103,10.81,10.5666,2.11,18.4924,13.6366
0,20240104,11.11,10.5076,1.64,19.0056,14.015
0,20240105,10.46,7.2653,0.93,17.8937,13.195
0,20240108,10.36,4.0152,0.48,17.7226,13.0689
0,20240109,10.31,3.7248,0.49,17.6371,13.0058
0,20240110,10.06,3.9248,0.54,17.2094,12.6905
0,20240111,10.46,4.9657,0.84,17.8937,13.195
0,20240112,10.0,4.1095,0.86,17.1068,12.6148
0,20240115,10.06,3.1208,0.75,17.2094,12.6905
0,20240116,9.99,2.1612,0.54,17.0897,12.6021
0,20240117,9.71,2.0463,0.56,16.6107,12.2489
0,20240118,9.61,2.5025,0.76,16.4396,12.1228
0,20240119,9.49,1.7687,0.63,16.2343,11.9714
0,20240122,8.9,2.5008,1.08,15.225,11.2271
0,20240123,8.79,3.1657,1.44,15.0369,11.0884
0,20240124,9.03,2.7748,1.16,15.4474,11.3911
0,20240125,9.51,3.1179,1.23,16.2686,11.9966
0,20240126,9.5,3.4606,1.3,16.2515,11.984
0,20240129,9.19,2.5065,0.83,15.7211,11.593
0,20240130,8.67,2.5815,0.86,14.8316,10.937
0,20240131,8.11,3.273,1.13,13.8736,10.2306
0,20240201,7.58,4.6018,1.54,12.967,9.562
0,20240202,7.32,4.3578,1.33,12.5222,9.234
0,20240205,6.65,3.5166,1.02,11.376,8.3888
0,20240206,6.64,8.5133,2.32,11.3589,8.3762
0,20240207,7.0,13.1965,2.72,11.9748,8.8303
0,20240208,7.57,11.1437,1.63,12.9498,9.5494
0,20240219,8.33,1.5334,0.19,14.25,10.5081
0,20240220,9.16,0.5584,0.07,15.6698,11.5551
0,20240221,9.69,16.433,2.35,16.5765,12.2237
0,20240222,10.2,12.5687,1.47,17.4489,12.8671
0,20240223,9.88,9.4969,1.12,16.9015,12.4634
0,20240226,10.87,9.6622,1.19,18.5951,13.7122
0,20240227,11.25,13.5018,1.39,19.2451,14.1916
0,20240228,12.25,15.8107,1.28,20.9558,15.4531
0,20240229,12.8,11.9493,0.98,21.8967,16.1469
0,20240301,12.26,7.1591,0.59,20.9729,15.4657
0,20240304,12.68,9.769,0.84,21.6914,15.9955
0,20240305,12.22,5.5947,0.48,20.9045,15.4152
0,20240306,12.29,5.6192,0.56,21.0243,15.5035
0,20240307,12.17,5.5809,0.7,20.819,15.3522
0,20240308,12.65,5.6531,0.84,21.6401,15.9577
0,20240311,13.35,7.1807,1.11,22.8376,16.8407
0,20240312,13.03,5.6974,0.96,22.2902,16.437
0,20240313,12.94,3.8393,0.65,22.1362,16.3235
0,20240314,13.37,5.3147,0.95,22.8718,16.8659
0,20240315,13.27,3.3344,0.6,22.7007,16.7398
0,20240318,13.02,7.9355,1.56,22.273,16.4244
0,20240319,12.94,3.494,0.67,22.1362,16.3235
0,20240320,13.01,3.3069,0.69,22.2559,16.4118
0,20240321,12.85,3.3762,0.72,21.9822,16.21
0,20240322,12.38,3.9448,0.92,21.1782,15.6171
0,20240325,11.14,7.1149,1.61,19.057,14.0528
0,20240326,10.7,4.876,1.15,18.3043,13.4978
0,20240327,10.35,3.3195,0.73,17.7055,13.0563
0,20240328,10.64,4.2286,0.93,18.2016,13.4221
0,20240329,10.96,3.7787,0.8,18.749,13.8258
0,20240401,10.8,3.7823,0.81,18.4753,13.6239
0,20240402,10.63,2.6856,0.67,18.1845,13.4095
0,20240403,10.28,3.4657,0.97,17.5858,12.968
