,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,22.71,1.5094,1.69,1.2548,0.8684
0,20240103,22.61,1.1765,1.16,1.2492,0.8645
0,20240104,22.94,2.2308,2.01,1.2675,0.8772
0,20240105,22.9,2.5616,1.81,1.2653,0.8756
0,20240108,22.05,2.2519,1.34,1.2183,0.8431
0,20240109,22.39,1.786,0.92,1.2371,0.8561
0,20240110,22.26,1.124,0.56,1.2299,0.8512
0,20240111,22.4,1.0064,0.51,1.2376,0.8565
0,20240112,22.11,0.8959,0.51,1.2216,0.8454
0,20240115,22.32,1.5022,1.06,1.2332,0.8534
0,20240116,22.0,1.2811,1.01,1.2155,0.8412
0,20240117,21.46,0.8512,0.73,1.1857,0.8206
0,20240118,21.11,1.864,1.68,1.1664,0.8072
0,20240119,20.89,0.7872,0.62,1.1542,0.7988
0,20240122,19.5,1.4551,1.16,1.0774,0.7456
0,20240123,19.45,1.4564,1.17,1.0746,0.7437
0,20240124,19.65,1.2801,1.0,1.0857,0.7514
0,20240125,20.17,1.5408,1.13,1.1144,0.7712
0,20240126,19.98,1.264,0.97,1.1039,0.764
0,20240129,19.26,1.3697,0.98,1.0641,0.7364
0,20240130,18.81,1.1349,0.82,1.0393,0.7192
0,20240131,17.02,3.1273,2.37,0.9404,0.6508
0,20240201,17.29,2.336,1.38,0.9553,0.6611
0,20240202,16.46,2.2106,1.2,0.9094,0.6294
0,20240205,15.08,2.6413,1.3,0.8332,0.5766
0,20240206,16.34,3.4758,1.52,0.9028,0.6248
0,20240207,16.92,3.0316,1.1,0.9349,0.647
0,20240208,18.61,2.9034,1.06,1.0282,0.7116
0,20240219,18.32,4.1331,1.45,1.0122,0.7005
0,20240220,18.33,2.0309,0.63,1.0128,0.7009
0,20240221,18.52,2.2026,0.71,1.0233,0.7081
0,20240222,18.64,1.399,0.49,1.0299,0.7127
0,20240223,18.8,1.6959,0.67,1.0387,0.7189
0,20240226,18.89,2.3064,1.01,1.0437,0.7223
0,20240227,19.19,1.5168,0.79,1.0603,0.7338
0,20240228,18.3,2.8108,1.54,1.0111,0.6997
0,20240229,18.82,1.9691,1.01,1.0398,0.7196
0,20240301,18.74,1.8427,0.89,1.0354,0.7166
0,20240304,19.74,4.4503,2.13,1.0907,0.7548
0,20240305,19.13,2.5712,1.02,1.057,0.7315
0,20240306,18.99,1.7123,0.63,1.0492,0.7261
0,20240307,18.85,1.5597,0.62,1.0415,0.7208
0,20240308,18.88,1.071,0.44,1.0431,0.7219
0,20240311,19.06,1.5193,0.67,1.0531,0.7288
0,20240312,19.29,1.751,1.04,1.0658,0.7376
0,20240313,19.18,1.211,0.8,1.0597,0.7334
0,20240314,19.38,2.2151,1.56,1.0708,0.741
0,20240315,19.65,1.5758,1.01,1.0857,0.7514
0,20240318,19.88,2.4742,1.5,1.0984,0.7601
0,20240319,19.68,1.7351,0.94,1.0873,0.7525
0,20240320,21.13,6.2158,3.37,1.1675,0.8079
0,20240321,22.3,7.449,2.62,1.2321,0.8527
0,20240322,21.5,4.3983,1.13,1.1879,0.8221
0,20240325,20.5,2.8323,0.64,1.1326,0.7839
0,20240326,20.07,3.0379,0.67,1.1089,0.7674
0,20240327,19.66,2.3596,0.49,1.0862,0.7517
0,20240328,21.63,8.3734,2.09,1.1951,0.8271
0,20240329,21.78,6.7584,1.61,1.2034,0.8328
0,20240401,22.07,4.9057,1.05,1.2194,0.8439
0,20240402,21.3,3.4212,0.67,1.1769,0.8144
0,20240403,21.88,4.3609,0.84,1.2089,0.8366
