,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240320,35.0,66.7152,,34.3875,3.6221
0,20240321,39.05,69.5676,,38.3667,4.0412
0,20240322,34.79,53.8793,,34.1812,3.6004
0,20240325,31.21,39.8581,,30.6639,3.2299
0,20240326,30.04,33.1305,,29.5143,3.1088
0,20240327,27.78,31.6467,0.6,27.2939,2.8749
0,20240328,28.18,27.3769,0.6,27.6869,2.9163
0,20240329,27.99,23.6595,0.64,27.5002,2.8967
0,20240401,29.03,28.1354,0.9,28.522,3.0043
0,20240402,28.2,20.1171,0.7,27.7065,2.9184
0,20240403,27.87,17.1048,0.65,27.3823,2.8842
