,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,16.36,1.8508,1.79,22.8959,2.3007
0,20240103,16.35,1.1325,0.95,22.8819,2.2993
0,20240104,16.4,0.7869,0.62,22.9519,2.3063
0,20240105,16.31,0.8046,0.64,22.8259,2.2937
0,20240108,16.15,0.7959,0.63,22.602,2.2712
0,20240109,16.29,0.8143,0.76,22.7979,2.2909
0,20240110,16.19,0.6225,0.72,22.658,2.2768
0,20240111,16.19,0.6963,0.91,22.658,2.2768
0,20240112,16.18,0.5406,0.72,22.644,2.2754
0,20240115,16.19,0.8022,1.16,22.658,2.2768
0,20240116,16.16,0.872,1.25,22.616,2.2726
0,20240117,15.92,0.5813,0.82,22.2801,2.2388
0,20240118,15.74,1.1769,1.68,22.0282,2.2135
0,20240119,15.66,0.8274,1.04,21.9162,2.2023
0,20240122,14.09,8.1489,9.56,19.719,1.9815
0,20240123,12.68,4.9779,2.14,17.7457,1.7832
0,20240124,12.66,6.6854,2.13,17.7177,1.7804
0,20240125,13.4,3.7527,0.86,18.7533,1.8844
0,20240126,13.2,2.0379,0.42,18.4734,1.8563
0,20240129,12.88,2.1821,0.43,18.0256,1.8113
0,20240130,12.2,1.6833,0.43,17.0739,1.7157
0,20240131,11.36,2.2529,0.69,15.8984,1.5976
0,20240201,11.26,2.3609,0.99,15.7584,1.5835
0,20240202,10.58,2.2529,1.07,14.8067,1.4879
0,20240205,9.53,2.6495,1.23,13.3373,1.3402
0,20240206,8.83,3.4797,1.55,12.3576,1.2418
0,20240207,8.26,3.4852,1.34,11.5599,1.1616
0,20240208,9.09,3.5606,1.25,12.7215,1.2783
0,20240219,9.53,2.5687,0.83,13.3373,1.3402
0,20240220,9.71,1.6437,0.52,13.5892,1.3655
0,20240221,10.16,1.9892,0.67,14.219,1.4288
0,20240222,10.5,1.7099,0.65,14.6948,1.4766
0,20240223,10.8,1.5398,0.67,15.1146,1.5188
0,20240226,11.09,2.2722,1.2,15.5205,1.5596
0,20240227,11.55,1.3306,0.73,16.1643,1.6243
0,20240228,10.4,3.3024,1.87,14.5548,1.4626
0,20240229,10.62,2.8754,1.42,14.8627,1.4935
0,20240301,10.53,1.5978,0.71,14.7368,1.4808
0,20240304,10.51,1.512,0.66,14.7088,1.478
0,20240305,10.23,1.3164,0.62,14.3169,1.4386
0,20240306,10.43,1.0713,0.51,14.5968,1.4668
0,20240307,10.42,1.1474,0.69,14.5828,1.4654
0,20240308,10.52,0.9107,0.69,14.7228,1.4794
0,20240311,10.84,1.5872,1.33,15.1706,1.5244
0,20240312,11.14,1.4181,1.18,15.5905,1.5666
0,20240313,11.1,1.2525,1.02,15.5345,1.561
0,20240314,10.98,1.0857,0.86,15.3665,1.5441
0,20240315,11.2,0.9824,0.79,15.6744,1.5751
0,20240318,11.6,1.7233,1.36,16.2342,1.6313
0,20240319,11.58,1.3817,1.07,16.2063,1.6285
0,20240320,11.83,1.3508,1.05,16.5561,1.6637
0,20240321,11.88,1.45,1.11,16.6261,1.6707
0,20240322,11.65,1.1077,0.8,16.3042,1.6383
0,20240325,11.4,1.4452,1.03,15.9543,1.6032
0,20240326,11.45,1.1492,0.85,16.0243,1.6102
0,20240327,11.11,1.0774,0.83,15.5485,1.5624
0,20240328,11.4,1.5064,1.21,15.9543,1.6032
0,20240329,12.0,5.7552,4.58,16.794,1.6876
0,20240401,13.2,8.0601,3.69,18.4734,1.8563
0,20240402,12.56,7.3064,2.08,17.5778,1.7663
0,20240403,12.66,4.6708,0.99,17.7177,1.7804
