,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.38,1.8133,1.47,22.7463,1.2042
0,20240103,5.39,1.417,1.14,22.7886,1.2065
0,20240104,5.41,1.0554,0.8,22.8732,1.211
0,20240105,5.34,1.1321,0.86,22.5772,1.1953
0,20240108,5.29,1.2272,0.92,22.3658,1.1841
0,20240109,5.39,1.4941,1.12,22.7886,1.2065
0,20240110,5.35,0.9752,0.77,22.6195,1.1975
0,20240111,5.37,0.8574,0.73,22.7041,1.202
0,20240112,5.35,1.5346,1.35,22.6195,1.1975
0,20240115,5.4,0.967,0.79,22.8309,1.2087
0,20240116,5.39,1.096,0.94,22.7886,1.2065
0,20240117,5.32,1.3834,1.27,22.4927,1.1908
0,20240118,5.26,2.1851,1.87,22.239,1.1774
0,20240119,5.2,1.2099,0.84,21.9853,1.1639
0,20240122,4.85,1.6489,1.21,20.5055,1.0856
0,20240123,4.72,2.4781,1.65,19.9559,1.0565
0,20240124,4.82,2.1171,1.19,20.3787,1.0789
0,20240125,5.0,1.8606,0.97,21.1397,1.1192
0,20240126,5.09,1.639,0.88,21.5202,1.1393
0,20240129,4.89,1.7325,0.89,20.6747,1.0946
0,20240130,4.71,1.5032,0.76,19.9136,1.0543
0,20240131,4.37,2.4236,1.37,18.4761,0.9782
0,20240201,4.27,2.8156,1.54,18.0533,0.9558
0,20240202,4.04,2.6637,1.32,17.0809,0.9043
0,20240205,3.64,3.5241,1.58,15.3897,0.8148
0,20240206,3.44,5.1922,2.01,14.5441,0.77
0,20240207,3.26,5.2728,1.59,13.7831,0.7297
0,20240208,3.55,4.855,1.25,15.0092,0.7946
0,20240219,3.76,3.7698,0.88,15.8971,0.8416
0,20240220,3.81,2.4128,0.53,16.1085,0.8528
0,20240221,3.82,2.7034,0.63,16.1508,0.8551
0,20240222,3.9,1.6844,0.44,16.489,0.873
0,20240223,4.05,2.1539,0.7,17.1232,0.9065
0,20240226,4.25,3.0761,1.21,17.9688,0.9513
0,20240227,4.29,1.4528,0.6,18.1379,0.9603
0,20240228,3.96,3.4024,1.54,16.7427,0.8864
0,20240229,4.07,2.5182,1.07,17.2077,0.911
0,20240301,4.08,1.8744,0.74,17.25,0.9133
0,20240304,4.06,1.4593,0.59,17.1655,0.9088
0,20240305,3.96,1.4207,0.66,16.7427,0.8864
0,20240306,4.0,1.1093,0.52,16.9118,0.8953
0,20240307,4.06,1.8594,1.11,17.1655,0.9088
0,20240308,4.09,1.6025,1.04,17.2923,0.9155
0,20240311,4.1,1.6629,1.12,17.3346,0.9177
0,20240312,4.17,1.6936,1.11,17.6305,0.9334
0,20240313,4.15,1.457,0.92,17.546,0.9289
0,20240314,4.18,1.4584,0.88,17.6728,0.9356
0,20240315,4.25,1.2509,0.79,17.9688,0.9513
0,20240318,4.32,1.5361,1.02,18.2647,0.967
0,20240319,4.31,1.2189,0.82,18.2224,0.9647
0,20240320,4.39,1.1622,0.84,18.5607,0.9826
0,20240321,4.41,1.4662,1.11,18.6452,0.9871
0,20240322,4.42,1.7246,1.3,18.6875,0.9894
0,20240325,4.3,1.6379,1.15,18.1802,0.9625
0,20240326,4.35,1.2705,0.88,18.3916,0.9737
0,20240327,4.26,1.4585,1.0,18.011,0.9535
0,20240328,4.33,1.262,0.83,18.307,0.9692
0,20240329,4.39,1.6341,1.11,18.5607,0.9826
0,20240401,4.45,2.2319,1.54,18.8144,0.9961
0,20240402,4.47,1.6045,1.02,18.8989,1.0005
0,20240403,4.44,1.4004,0.85,18.7721,0.9938
