,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,22.96,1.8278,0.97,16.0273,2.0909
0,20240103,23.16,1.4052,0.73,16.1669,2.1091
0,20240104,22.91,1.0769,0.59,15.9924,2.0864
0,20240105,22.37,1.2981,0.72,15.6155,2.0372
0,20240108,21.32,1.7526,1.19,14.8825,1.9416
0,20240109,21.55,1.3835,0.94,15.043,1.9625
0,20240110,21.59,1.3436,0.97,15.071,1.9662
0,20240111,22.23,1.986,1.45,15.5177,2.0244
0,20240112,21.67,1.2295,0.79,15.1268,1.9734
0,20240115,21.51,0.9721,0.63,15.0151,1.9589
0,20240116,21.61,1.0048,0.73,15.0849,1.968
0,20240117,20.74,1.0432,0.8,14.4776,1.8887
0,20240118,20.97,1.3466,1.08,14.6382,1.9097
0,20240119,20.51,0.8615,0.77,14.3171,1.8678
0,20240122,19.16,1.637,1.57,13.3747,1.7449
0,20240123,19.52,1.405,1.19,13.626,1.7776
0,20240124,18.9,2.4555,1.95,13.1932,1.7212
0,20240125,19.28,1.9055,1.24,13.4585,1.7558
0,20240126,18.18,2.7197,1.65,12.6906,1.6556
0,20240129,17.94,1.8906,0.93,12.5231,1.6338
0,20240130,17.26,1.215,0.59,12.0484,1.5718
0,20240131,16.58,1.8092,0.89,11.5737,1.5099
0,20240201,16.58,1.7669,0.93,11.5737,1.5099
0,20240202,15.54,2.2403,1.19,10.8477,1.4152
0,20240205,14.58,2.3748,1.33,10.1776,1.3278
0,20240206,15.5,3.2365,1.72,10.8198,1.4116
0,20240207,17.05,3.9341,1.72,11.9018,1.5527
0,20240208,16.91,4.4541,1.64,11.8041,1.54
0,20240219,16.95,2.3354,0.72,11.832,1.5436
0,20240220,17.23,2.1888,0.67,12.0275,1.5691
0,20240221,17.51,2.4252,0.75,12.2229,1.5946
0,20240222,17.71,1.4853,0.48,12.3625,1.6128
0,20240223,17.89,1.791,0.69,12.4882,1.6292
0,20240226,17.98,1.7051,0.83,12.551,1.6374
0,20240227,18.29,1.7404,0.91,12.7674,1.6656
0,20240228,17.72,3.2807,1.79,12.3695,1.6137
0,20240229,18.2,2.1228,1.06,12.7046,1.6574
0,20240301,18.23,1.4766,0.69,12.7255,1.6602
0,20240304,18.74,3.1475,1.52,13.0815,1.7066
0,20240305,18.08,1.8323,0.78,12.6208,1.6465
0,20240306,17.92,1.3853,0.58,12.5091,1.6319
0,20240307,16.85,2.3255,1.17,11.7622,1.5345
0,20240308,16.91,1.4484,0.71,11.8041,1.54
0,20240311,17.76,1.9403,0.96,12.3974,1.6174
0,20240312,18.24,2.213,1.24,12.7325,1.6611
0,20240313,18.16,1.5837,0.85,12.6766,1.6538
0,20240314,19.98,1.5152,0.8,13.9471,1.8195
0,20240315,20.29,9.5746,5.5,14.1635,1.8478
0,20240318,20.85,6.4964,1.93,14.5544,1.8988
0,20240319,19.97,4.1755,0.98,13.9401,1.8186
0,20240320,20.01,3.4181,0.73,13.968,1.8223
0,20240321,19.52,2.6104,0.52,13.626,1.7776
0,20240322,18.73,2.6427,0.5,13.0745,1.7057
0,20240325,18.8,3.3706,0.87,13.1234,1.7121
0,20240326,18.49,1.9694,0.61,12.907,1.6838
0,20240327,18.35,3.0098,1.07,12.8093,1.6711
0,20240328,18.53,2.0707,0.76,12.9349,1.6875
0,20240329,18.08,2.013,0.77,34.1517,1.6376
0,20240401,18.86,2.1257,0.85,35.6251,1.7082
0,20240402,18.44,1.5773,0.7,34.8318,1.6702
0,20240403,18.02,1.401,0.65,34.0384,1.6321
