,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,22.53,0.4994,1.2,17.7958,2.3552
0,20240103,22.13,0.3772,0.85,17.4799,2.3134
0,20240104,21.61,0.4789,1.09,17.0691,2.259
0,20240105,21.11,0.4086,0.89,16.6742,2.2068
0,20240108,20.73,0.4488,1.01,16.374,2.167
0,20240109,20.81,0.3726,0.84,16.4372,2.1754
0,20240110,20.45,0.281,0.67,16.1529,2.1378
0,20240111,20.76,0.2734,0.69,16.3977,2.1702
0,20240112,20.36,0.2634,0.74,16.0818,2.1284
0,20240115,20.37,0.298,0.91,16.0897,2.1294
0,20240116,20.34,0.2756,0.93,16.066,2.1263
0,20240117,19.79,0.2887,1.04,15.6316,2.0688
0,20240118,19.81,0.4564,1.63,15.6474,2.0709
0,20240119,19.44,0.4257,1.35,15.3551,2.0322
0,20240122,18.42,0.5217,1.5,14.5494,1.9256
0,20240123,18.48,0.4956,1.26,14.5968,1.9318
0,20240124,18.43,0.5634,1.29,14.5573,1.9266
0,20240125,19.46,0.5907,1.2,15.3709,2.0343
0,20240126,18.98,0.505,0.97,14.9918,1.9841
0,20240129,18.52,0.4876,0.91,14.6284,1.936
0,20240130,17.86,0.3827,0.72,14.1071,1.867
0,20240131,17.44,0.5074,1.0,13.7754,1.8231
0,20240201,17.23,0.6077,1.23,13.6095,1.8012
0,20240202,16.4,0.7091,1.42,12.9539,1.7144
0,20240205,15.98,0.9051,1.68,12.6221,1.6705
0,20240206,17.19,0.8819,1.42,13.5779,1.797
0,20240207,18.64,1.2308,1.7,14.7232,1.9486
0,20240208,19.15,1.2055,1.39,15.126,2.0019
0,20240219,19.59,1.077,1.09,15.4736,2.0479
0,20240220,19.21,0.7394,0.7,15.1734,2.0081
0,20240221,19.05,0.8246,0.8,15.0471,1.9914
0,20240222,19.38,0.7063,0.7,15.3077,2.0259
0,20240223,19.72,0.8172,0.9,15.5763,2.0615
0,20240226,19.64,0.8268,0.99,15.5131,2.0531
0,20240227,20.84,1.0873,1.39,16.4609,2.1785
0,20240228,19.65,1.0982,1.29,15.521,2.0541
0,20240229,20.49,0.7825,0.86,16.1845,2.142
0,20240301,21.0,1.015,1.1,16.5873,2.1953
0,20240304,21.4,1.6679,1.73,16.9032,2.2371
0,20240305,21.1,1.0903,0.96,16.6663,2.2057
0,20240306,20.97,0.8338,0.74,16.5636,2.1921
0,20240307,20.4,0.8046,0.75,16.1134,2.1325
0,20240308,21.38,1.1461,1.06,16.8875,2.235
0,20240311,21.12,0.9623,0.87,16.6821,2.2078
0,20240312,20.89,0.832,0.86,16.5004,2.1838
0,20240313,21.17,1.1606,1.27,16.7216,2.213
0,20240314,20.76,0.7121,0.73,16.3977,2.1702
0,20240315,21.03,0.595,0.62,16.611,2.1984
0,20240318,21.49,0.857,1.01,16.9743,2.2465
0,20240319,21.4,0.7406,0.89,16.9032,2.2371
0,20240320,21.53,0.7881,0.97,17.0059,2.2507
0,20240321,21.21,0.6509,0.88,16.7532,2.2172
0,20240322,20.93,0.6547,0.9,16.532,2.1879
0,20240325,20.15,0.7429,1.01,15.9159,2.1064
0,20240326,20.14,0.6832,0.96,15.908,2.1054
0,20240327,19.27,0.6425,0.91,15.2208,2.0144
0,20240328,19.64,0.692,1.03,15.5131,2.0531
0,20240329,19.79,0.4304,0.63,15.6316,2.0688
0,20240401,20.56,0.678,1.06,16.2398,2.1493
0,20240402,20.3,0.5439,0.87,16.0344,2.1221
0,20240403,19.99,0.4786,0.8,15.7895,2.0897
