,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,21.74,0.639,1.44,15.0339,2.9416
0,20240103,20.7,1.3007,2.53,14.3147,2.8009
0,20240104,20.49,0.9217,1.28,14.1695,2.7724
0,20240105,20.16,0.5928,0.73,13.9413,2.7278
0,20240108,19.77,0.6289,0.77,13.6716,2.675
0,20240109,20.04,0.9711,1.19,13.8583,2.7116
0,20240110,20.0,0.7343,0.83,13.8307,2.7061
0,20240111,20.73,1.5497,2.01,14.3355,2.8049
0,20240112,20.69,1.2425,1.39,14.3078,2.7995
0,20240115,20.28,1.0586,1.03,14.0243,2.744
0,20240116,19.98,0.8689,0.78,13.8168,2.7034
0,20240117,19.51,0.7237,0.66,13.4918,2.6398
0,20240118,19.33,1.3474,1.24,13.3673,2.6155
0,20240119,19.06,0.6959,0.66,13.1806,2.579
0,20240122,17.92,0.9029,0.96,12.3923,2.4247
0,20240123,18.28,0.912,1.0,12.6412,2.4734
0,20240124,18.62,0.8294,0.91,12.8763,2.5194
0,20240125,19.34,0.7894,0.84,13.3743,2.6168
0,20240126,19.3,0.7432,0.9,13.3466,2.6114
0,20240129,18.63,0.6849,0.82,12.8833,2.5208
0,20240130,18.07,0.6795,0.86,12.496,2.445
0,20240131,17.5,1.0178,1.37,12.1018,2.3679
0,20240201,17.75,0.8569,1.09,12.2747,2.4017
0,20240202,17.54,1.1502,1.44,12.1295,2.3733
0,20240205,17.29,1.7748,2.02,11.9566,2.3395
0,20240206,18.58,1.2487,1.14,12.8487,2.514
0,20240207,19.71,1.4392,1.19,13.6301,2.6669
0,20240208,19.96,1.8052,1.4,13.803,2.7007
0,20240219,20.64,1.5099,1.02,14.2732,2.7927
0,20240220,20.61,0.8487,0.55,14.2525,2.7887
0,20240221,20.67,1.2936,0.94,14.294,2.7968
0,20240222,20.89,1.4269,1.03,14.4461,2.8266
0,20240223,19.65,1.1279,0.82,13.5886,3.104
0,20240226,19.8,1.407,1.13,13.6924,3.1277
0,20240227,20.45,1.3547,1.11,14.1419,3.2303
0,20240228,19.55,1.7073,1.29,13.5195,3.0882
0,20240229,20.16,1.1862,0.84,13.9413,3.1845
0,20240301,20.33,1.1834,0.87,14.0589,3.2114
0,20240304,20.31,0.7433,0.54,14.045,3.2082
0,20240305,20.34,1.1,0.89,14.0658,3.213
0,20240306,20.32,0.6003,0.51,14.052,3.2098
0,20240307,20.12,1.0207,1.06,13.9136,3.1782
0,20240308,20.39,0.6155,0.66,14.1004,3.2209
0,20240311,20.5,1.0285,1.26,14.1764,3.2382
0,20240312,20.55,1.1513,1.32,14.211,3.2461
0,20240313,20.59,0.689,0.78,14.2387,3.2525
0,20240314,20.59,0.7215,0.8,14.2387,3.2525
0,20240315,20.81,0.8865,1.05,14.3908,3.2872
0,20240318,21.18,1.2075,1.35,14.6467,3.3457
0,20240319,20.59,1.0218,1.1,14.2387,3.2525
0,20240320,20.41,0.8813,0.97,14.1142,3.224
0,20240321,20.28,0.7862,0.83,14.0243,3.2035
0,20240322,20.0,0.7335,0.77,13.8307,3.1593
0,20240325,20.5,1.2585,1.36,14.1764,3.2382
0,20240326,20.45,0.6663,0.71,14.1419,3.2303
0,20240327,19.64,0.7044,0.81,13.5817,3.1024
0,20240328,19.87,0.6196,0.75,13.7408,3.1387
0,20240329,20.18,0.6508,0.82,13.9551,3.1877
0,20240401,20.98,0.9891,1.27,14.5084,3.3141
0,20240402,21.36,0.9205,1.27,14.7711,3.3741
0,20240403,21.39,0.6178,0.8,14.7919,3.3788
