,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,21.61,1.6681,0.72,61.896,3.4921
0,20240103,21.38,1.9125,0.79,61.2372,3.455
0,20240104,21.01,1.5472,0.64,60.1774,3.3952
0,20240105,20.51,1.9023,0.9,58.7453,3.3144
0,20240108,19.85,2.0027,1.05,56.8549,3.2077
0,20240109,19.95,1.6345,0.9,57.1414,3.2239
0,20240110,19.5,1.5733,0.87,55.8525,3.1512
0,20240111,19.89,1.6705,0.96,56.9695,3.2142
0,20240112,19.51,1.334,0.76,55.8811,3.1528
0,20240115,19.79,2.1753,1.32,56.6831,3.198
0,20240116,19.76,1.6718,1.0,56.5972,3.1932
0,20240117,19.07,1.5583,0.92,54.6208,3.0817
0,20240118,19.35,2.5884,1.54,55.4228,3.1269
0,20240119,19.15,2.5488,1.37,54.85,3.0946
0,20240122,17.96,2.8748,1.36,51.4415,2.9023
0,20240123,18.2,2.1832,0.97,52.129,2.9411
0,20240124,18.21,2.4474,1.04,52.1576,2.9427
0,20240125,18.77,2.7074,1.07,53.7616,3.0332
0,20240126,18.37,2.7128,1.06,52.6159,2.9686
0,20240129,17.71,2.0822,0.81,50.7255,2.8619
0,20240130,16.98,2.2853,0.94,48.6346,2.7439
0,20240131,16.12,3.1837,1.3,46.1714,2.605
0,20240201,16.16,2.5496,0.98,46.2859,2.6114
0,20240202,15.03,4.0504,1.58,43.0494,2.4288
0,20240205,13.73,5.0207,1.77,39.3259,2.2187
0,20240206,14.77,4.2179,1.23,42.3047,2.3868
0,20240207,15.72,5.0415,1.33,45.0257,2.5403
0,20240208,16.6,4.1277,0.99,47.5462,2.6825
0,20240219,16.83,4.232,0.94,48.205,2.7197
0,20240220,16.75,2.8941,0.64,47.9758,2.7068
0,20240221,16.83,3.8838,0.95,48.205,2.7197
0,20240222,17.24,3.3663,0.83,49.3793,2.786
0,20240223,17.55,3.3245,0.9,50.2672,2.836
0,20240226,17.84,3.893,1.1,51.0978,2.8829
0,20240227,18.63,3.8944,1.12,53.3606,3.0106
0,20240228,17.24,5.9048,1.61,49.3793,2.786
0,20240229,18.52,6.6674,1.64,53.0455,2.9928
0,20240301,18.79,6.1731,1.3,53.8189,3.0364
0,20240304,19.15,6.8009,1.28,54.85,3.0946
0,20240305,19.02,6.3922,1.09,54.4776,3.0736
0,20240306,18.72,4.3753,0.68,53.6184,3.0251
0,20240307,18.41,3.8713,0.64,52.7304,2.975
0,20240308,18.85,4.1836,0.76,53.9907,3.0461
0,20240311,18.96,3.183,0.62,54.3058,3.0639
0,20240312,19.05,3.5245,0.8,54.5635,3.0784
0,20240313,19.16,4.5857,1.2,54.8786,3.0962
0,20240314,18.8,3.3877,0.88,53.8475,3.038
0,20240315,18.94,2.3455,0.62,54.2485,3.0607
0,20240318,19.43,3.6976,1.09,55.652,3.1399
0,20240319,19.3,3.2334,0.92,55.2796,3.1188
0,20240320,19.41,2.7452,0.8,55.5947,3.1366
0,20240321,19.44,3.2081,1.04,55.6806,3.1415
0,20240322,19.27,4.3256,1.42,55.1937,3.114
0,20240325,18.49,3.6581,1.06,52.9596,2.9879
0,20240326,18.25,3.1682,0.92,52.2722,2.9492
0,20240327,17.16,3.2301,0.94,49.1502,2.773
0,20240328,17.85,3.4688,0.99,51.1265,2.8845
0,20240329,17.79,1.949,0.55,50.9546,2.8748
0,20240401,18.15,1.8746,0.61,51.9857,2.933
0,20240402,17.81,2.2225,0.81,51.0119,2.8781
0,20240403,17.57,2.2346,0.88,50.3245,2.8393
