,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,15.69,2.3438,1.38,17.5351,2.1594
0,20240103,16.24,6.7364,3.37,18.1498,2.2351
0,20240104,16.68,8.9435,2.8,18.6415,2.2957
0,20240105,16.03,5.6533,1.18,17.9151,2.2062
0,20240108,15.78,2.9937,0.58,17.6357,2.1718
0,20240109,15.73,3.1441,0.59,17.5798,2.165
0,20240110,15.78,3.247,0.59,17.6357,2.1718
0,20240111,16.18,4.0955,0.85,18.0827,2.2269
0,20240112,15.97,3.6094,0.94,17.848,2.198
0,20240115,16.1,3.0909,0.9,17.9933,2.2159
0,20240116,16.53,5.6813,1.65,18.4739,2.2751
0,20240117,16.56,8.8231,2.24,18.5074,2.2792
0,20240118,16.78,7.13,1.41,18.7533,2.3095
0,20240119,15.87,5.5609,0.98,17.7363,2.1842
0,20240122,14.98,5.1227,0.85,16.7416,2.0617
0,20240123,15.14,3.6207,0.56,16.9204,2.0838
0,20240124,15.04,4.8803,0.81,16.8087,2.07
0,20240125,15.64,4.8587,0.92,17.4792,2.1526
0,20240126,15.32,2.9307,0.61,17.1216,2.1085
0,20240129,14.98,3.3376,0.78,16.7416,2.0617
0,20240130,14.7,1.8664,0.48,16.4287,2.0232
0,20240131,14.54,2.4658,0.69,16.2499,2.0012
0,20240201,13.75,3.6506,1.18,15.367,1.8924
0,20240202,12.58,5.5196,1.94,14.0594,1.7314
0,20240205,11.55,3.9424,1.17,12.9083,1.5897
0,20240206,12.49,4.6628,1.34,13.9588,1.719
0,20240207,12.46,4.0372,1.0,13.9253,1.7149
0,20240208,13.28,3.792,0.87,14.8417,1.8278
0,20240219,13.75,3.3533,0.76,15.367,1.8924
0,20240220,13.62,1.9319,0.49,15.2217,1.8745
0,20240221,13.55,2.5826,0.73,15.1435,1.8649
0,20240222,13.73,2.017,0.64,15.3446,1.8897
0,20240223,13.92,2.613,0.96,15.557,1.9158
0,20240226,14.0,2.8707,1.15,15.6464,1.9268
0,20240227,14.53,3.7429,1.56,16.2387,1.9998
0,20240228,13.56,4.5444,1.64,15.1546,1.8663
0,20240229,14.16,2.9355,0.93,15.8252,1.9489
0,20240301,14.42,3.5207,1.05,16.1158,1.9847
0,20240304,15.86,6.2971,1.79,17.7251,2.1828
0,20240305,15.85,17.84,4.24,17.7139,2.1815
0,20240306,17.44,18.7156,2.66,19.4909,2.4003
0,20240307,17.43,24.6157,2.5,19.4797,2.3989
0,20240308,17.93,16.9063,1.19,20.0385,2.4677
0,20240311,18.0,15.2173,0.9,20.1168,2.4774
0,20240312,18.88,19.5153,1.05,21.1003,2.5985
0,20240313,19.45,17.4061,0.92,21.7373,2.6769
0,20240314,19.17,11.4926,0.61,21.4244,2.6384
0,20240315,18.76,11.1232,0.69,20.9661,2.582
0,20240318,18.82,7.9309,0.53,21.0332,2.5902
0,20240319,18.66,6.4962,0.48,20.8544,2.5682
0,20240320,18.67,5.7931,0.53,20.8656,2.5696
0,20240321,18.19,8.0879,0.94,20.3291,2.5035
0,20240322,17.9,5.2298,0.66,20.005,2.4636
0,20240325,17.89,5.0842,0.76,19.9938,2.4622
0,20240326,17.83,4.3103,0.7,19.9268,2.454
0,20240327,17.86,5.5059,0.97,19.9603,2.4581
0,20240328,17.93,5.6439,1.0,20.0385,2.4677
0,20240329,18.62,9.4798,1.84,20.8097,2.5627
0,20240401,18.89,7.7748,1.29,21.1114,2.5999
0,20240402,17.99,10.412,1.59,20.1056,2.476
0,20240403,17.74,6.4284,0.83,19.8262,2.4416
