,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,10.51,6.0098,1.03,20.0817,1.8478
0,20240103,10.3,4.1826,0.8,19.6804,1.8109
0,20240104,10.07,2.7036,0.55,19.2409,1.7705
0,20240105,9.9,3.0009,0.68,18.9161,1.7406
0,20240108,9.73,2.0632,0.49,18.5913,1.7107
0,20240109,9.99,2.9184,0.81,19.0881,1.7564
0,20240110,9.66,1.921,0.65,18.4575,1.6984
0,20240111,10.04,2.7706,1.1,19.1836,1.7652
0,20240112,9.83,1.905,0.75,18.7824,1.7283
0,20240115,9.6,1.7357,0.75,18.3429,1.6878
0,20240116,9.41,2.3439,1.04,17.9799,1.6544
0,20240117,9.03,2.0164,0.94,17.2538,1.5876
0,20240118,8.69,3.184,1.48,16.6041,1.5278
0,20240119,8.6,1.7225,0.77,16.4322,1.512
0,20240122,8.05,2.3724,1.08,15.3813,1.4153
0,20240123,8.06,2.303,0.99,15.4004,1.4171
0,20240124,8.23,1.9859,0.86,15.7252,1.447
0,20240125,8.57,2.1933,0.95,16.3749,1.5067
0,20240126,8.55,1.7881,0.85,16.3366,1.5032
0,20240129,8.43,1.3427,0.63,16.1074,1.4821
0,20240130,8.19,1.0051,0.52,15.6488,1.4399
0,20240131,7.84,1.4877,0.89,14.98,1.3784
0,20240201,7.67,1.6634,1.06,14.6552,1.3485
0,20240202,7.39,1.6745,1.15,14.1202,1.2993
0,20240205,6.65,2.3474,1.64,12.7063,1.1692
0,20240206,6.98,2.0924,1.28,13.3368,1.2272
0,20240207,6.95,2.1913,1.18,13.2795,1.2219
0,20240208,7.63,2.1658,1.09,14.5788,1.3415
0,20240219,7.85,1.923,0.92,14.9991,1.3802
0,20240220,7.78,1.0853,0.51,14.8654,1.3679
0,20240221,7.87,1.6444,0.87,15.0374,1.3837
0,20240222,7.95,1.3891,0.77,15.1902,1.3977
0,20240223,8.11,1.8739,1.14,15.4959,1.4259
0,20240226,8.22,2.4716,1.56,15.7061,1.4452
0,20240227,8.47,1.9963,1.18,16.1838,1.4892
0,20240228,7.79,2.9415,1.57,14.8845,1.3696
0,20240229,8.12,1.9611,0.92,15.515,1.4276
0,20240301,8.28,1.6992,0.76,15.8208,1.4558
0,20240304,8.32,1.2593,0.57,15.8972,1.4628
0,20240305,8.06,1.9036,0.97,15.4004,1.4171
0,20240306,8.2,1.4514,0.74,15.6679,1.4417
0,20240307,8.21,1.5427,0.93,15.687,1.4435
0,20240308,8.26,1.0116,0.64,15.7825,1.4522
0,20240311,8.32,1.1839,0.83,15.8972,1.4628
0,20240312,8.45,1.6736,1.18,16.1456,1.4856
0,20240313,8.38,1.157,0.84,16.0118,1.4733
0,20240314,8.38,1.1563,0.88,16.0118,1.4733
0,20240315,8.49,1.2125,0.98,16.222,1.4927
0,20240318,8.67,1.4073,1.1,16.5659,1.5243
0,20240319,8.59,1.0462,0.79,16.4131,1.5103
0,20240320,8.63,0.993,0.83,16.4895,1.5173
0,20240321,8.65,1.0931,0.94,16.5277,1.5208
0,20240322,8.46,1.0866,0.94,16.1647,1.4874
0,20240325,8.22,1.1312,1.01,15.7061,1.4452
0,20240326,8.23,1.014,0.95,15.7252,1.447
0,20240327,7.96,0.8515,0.8,15.2093,1.3995
0,20240328,8.07,0.8894,0.86,15.4195,1.4188
0,20240329,8.26,0.944,0.95,15.7825,1.4522
0,20240401,8.47,0.9714,1.01,16.1838,1.4892
0,20240402,8.5,1.0771,1.15,16.2411,1.4944
0,20240403,8.43,0.8961,0.95,16.1074,1.4821
