,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.88,3.4406,2.56,,2.632
0,20240103,3.88,2.4622,1.38,,2.632
0,20240104,3.89,1.7998,0.88,,2.6387
0,20240105,3.85,1.4276,0.65,,2.6116
0,20240108,3.84,1.8015,0.81,,2.6048
0,20240109,3.84,2.2997,1.05,,2.6048
0,20240110,3.82,1.9513,1.0,,2.5913
0,20240111,3.86,1.726,0.93,,2.6184
0,20240112,3.94,6.7436,3.66,,2.6727
0,20240115,4.07,11.4389,3.94,,2.7608
0,20240116,4.04,10.1084,2.09,,2.7405
0,20240117,3.97,6.129,0.96,,2.693
0,20240118,3.87,7.2693,1.01,,2.6252
0,20240119,3.48,7.0214,0.84,,2.3606
0,20240122,3.25,5.674,0.68,,2.2046
0,20240123,3.19,3.6282,0.5,,2.1639
0,20240124,3.32,3.0373,0.51,,2.2521
0,20240125,3.5,3.4008,0.64,,2.3742
0,20240126,3.58,2.8076,0.62,,2.4285
0,20240129,3.38,2.5061,0.68,,2.2928
0,20240130,3.22,2.2992,0.75,,2.1843
0,20240131,2.98,2.7657,0.98,,2.0215
0,20240201,2.86,3.1218,1.13,,1.9401
0,20240202,2.68,3.4847,1.29,,1.8179
0,20240205,2.41,3.2292,1.14,,1.6348
0,20240206,2.17,5.0725,1.7,,1.472
0,20240207,1.95,6.0,1.7,,1.3228
0,20240208,2.06,7.0248,1.68,,1.3974
0,20240219,2.19,5.9427,1.2,,1.4856
0,20240220,2.25,4.0356,0.74,,1.5263
0,20240221,2.48,3.6033,0.64,,1.6823
0,20240222,2.51,5.6902,1.07,,1.7026
0,20240223,2.61,4.6291,0.88,,1.7705
0,20240226,2.67,4.3775,0.92,,1.8112
0,20240227,2.85,5.1488,1.15,,1.9333
0,20240228,2.57,7.0983,1.51,,1.7433
0,20240229,2.7,5.7177,1.06,,1.8315
0,20240301,2.71,3.56,0.66,,1.8383
0,20240304,2.64,2.7574,0.53,,1.7908
0,20240305,2.53,2.9868,0.62,,1.7162
0,20240306,2.55,3.1657,0.72,,1.7298
0,20240307,2.59,3.2995,0.91,,1.7569
0,20240308,2.61,2.912,0.92,,1.7705
0,20240311,2.65,2.3527,0.78,,1.7976
0,20240312,2.74,3.1723,1.08,,1.8586
0,20240313,2.7,2.4541,0.82,,1.8315
0,20240314,2.71,2.4355,0.86,,1.8383
0,20240315,2.77,2.3734,0.89,,1.879
0,20240318,2.83,2.2122,0.86,,1.9197
0,20240319,2.82,2.2734,0.9,,1.9129
0,20240320,2.9,2.1823,0.93,,1.9672
0,20240321,2.93,2.0605,0.9,,1.9875
0,20240322,2.92,2.3993,1.08,,1.9808
0,20240325,2.84,2.3205,1.04,,1.9265
0,20240326,2.85,2.3795,1.06,,1.9333
0,20240327,2.74,1.6883,0.74,,1.8586
0,20240328,2.82,2.1483,0.99,,1.9129
0,20240329,2.86,1.7436,0.8,,1.9401
0,20240401,2.96,1.919,0.93,,2.0079
0,20240402,2.97,2.3714,1.2,,2.0147
0,20240403,2.93,1.833,0.93,,1.9875
