,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.73,0.7991,0.77,21.9106,0.8048
0,20240103,6.83,0.919,0.89,22.2363,0.8168
0,20240104,6.85,1.3111,1.43,22.3014,0.8192
0,20240105,6.77,0.9061,0.88,22.0409,0.8096
0,20240108,6.65,0.6889,0.69,21.6503,0.7952
0,20240109,6.8,0.7618,0.82,22.1386,0.8132
0,20240110,6.77,0.6592,0.72,22.0409,0.8096
0,20240111,6.74,0.5858,0.68,21.9433,0.806
0,20240112,6.84,0.6638,0.92,22.2688,0.818
0,20240115,6.81,0.4695,0.7,22.1712,0.8144
0,20240116,6.79,0.5731,0.91,22.106,0.812
0,20240117,6.7,0.4778,0.81,21.813,0.8012
0,20240118,6.69,1.0417,1.88,21.7805,0.8
0,20240119,6.65,0.5423,0.84,21.6503,0.7952
0,20240122,6.35,1.1081,1.78,20.6735,0.7594
0,20240123,6.52,1.2649,1.69,21.227,0.7797
0,20240124,6.68,0.7081,0.8,21.7479,0.7988
0,20240125,6.95,1.3606,1.46,22.627,0.8311
0,20240126,7.02,0.8687,0.87,22.8549,0.8395
0,20240129,6.89,0.9651,0.91,22.4316,0.8239
0,20240130,6.86,0.9665,0.94,22.3339,0.8204
0,20240131,6.89,1.1415,1.17,22.4316,0.8239
0,20240201,6.96,1.3403,1.26,22.6595,0.8323
0,20240202,7.08,2.1364,2.02,23.0502,0.8467
0,20240205,7.2,2.0268,1.55,23.4409,0.861
0,20240206,7.46,2.1312,1.4,24.2874,0.8921
0,20240207,7.6,2.4179,1.38,24.7431,0.9088
0,20240208,7.68,2.2935,1.14,25.0036,0.9184
0,20240219,7.83,1.989,0.9,25.492,0.9364
0,20240220,7.78,1.7139,0.79,25.3292,0.9304
0,20240221,7.67,1.5334,0.73,24.971,0.9172
0,20240222,7.7,1.3304,0.67,25.0687,0.9208
0,20240223,7.71,1.5226,0.86,25.1013,0.922
0,20240226,7.75,1.1976,0.74,25.2315,0.9268
0,20240227,7.77,0.9565,0.66,25.2966,0.9292
0,20240228,7.56,1.8233,1.39,24.6129,0.9041
0,20240229,7.67,1.1803,0.86,24.971,0.9172
0,20240301,7.85,1.4102,1.06,25.5571,0.9387
0,20240304,8.02,3.0728,2.34,26.1105,0.9591
0,20240305,7.99,5.3623,3.18,26.0129,0.9555
0,20240306,7.99,2.1687,0.84,26.0129,0.9555
0,20240307,7.99,2.3461,0.89,26.0129,0.9555
0,20240308,8.26,3.1472,1.1,26.8919,0.9878
0,20240311,7.99,2.2466,0.7,26.0129,0.9555
0,20240312,7.95,1.3392,0.44,25.8826,0.9507
0,20240313,7.92,1.0735,0.48,25.785,0.9471
0,20240314,8.09,2.0055,0.99,26.3384,0.9674
0,20240315,8.06,0.9235,0.47,26.2408,0.9639
0,20240318,8.26,1.3852,0.91,26.8919,0.9878
0,20240319,8.22,0.8497,0.63,26.7617,0.983
0,20240320,8.22,0.7389,0.59,26.7617,0.983
0,20240321,8.26,0.5761,0.49,26.8919,0.9878
0,20240322,8.32,1.5269,1.71,27.0872,0.9949
0,20240325,8.35,1.8721,1.84,27.1849,0.9985
0,20240326,8.24,0.9869,0.89,26.8268,0.9854
0,20240327,8.11,0.8796,0.77,26.4035,0.9698
0,20240328,8.32,1.3606,1.16,27.0872,0.9949
0,20240329,8.36,0.7513,0.57,27.2175,0.9997
0,20240401,8.59,2.6912,2.3,19.314,1.0201
0,20240402,8.61,1.6808,1.26,19.359,1.0225
0,20240403,8.76,1.8228,1.24,19.6963,1.0403
