,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,2.95,0.8115,0.94,16.4188,0.7146
0,20240103,2.96,0.7813,0.94,16.4744,0.7171
0,20240104,2.95,0.715,0.87,16.4188,0.7146
0,20240105,2.94,0.7693,0.93,16.3631,0.7122
0,20240108,2.89,0.8851,1.1,16.0848,0.7001
0,20240109,2.91,0.8086,1.02,16.1962,0.705
0,20240110,2.91,0.6974,0.88,16.1962,0.705
0,20240111,2.92,0.6446,0.83,16.2518,0.7074
0,20240112,2.93,0.7771,1.02,16.3075,0.7098
0,20240115,2.95,0.7784,1.02,16.4188,0.7146
0,20240116,2.91,1.2044,1.62,16.1962,0.705
0,20240117,2.85,0.7308,0.89,15.8622,0.6904
0,20240118,2.8,1.1924,1.44,15.5839,0.6783
0,20240119,2.78,0.5124,0.55,15.4726,0.6735
0,20240122,2.64,0.9404,1.06,14.6934,0.6395
0,20240123,2.69,1.023,1.12,14.9717,0.6517
0,20240124,2.82,1.1925,1.36,15.6952,0.6831
0,20240125,2.95,1.2821,1.32,16.4188,0.7146
0,20240126,3.06,2.1197,2.14,17.031,0.7413
0,20240129,2.99,1.5579,1.19,16.6414,0.7243
0,20240130,2.86,1.0811,0.75,15.9179,0.6928
0,20240131,2.72,1.5794,1.09,15.1387,0.6589
0,20240201,2.6,1.6718,1.1,14.4708,0.6299
0,20240202,2.5,1.6712,1.04,13.9142,0.6056
0,20240205,2.25,2.3049,1.52,12.5228,0.5451
0,20240206,2.14,2.9666,1.79,11.9106,0.5184
0,20240207,1.99,2.9831,1.46,11.0757,0.4821
0,20240208,2.15,2.1795,0.94,11.9662,0.5208
0,20240219,2.24,1.9846,0.82,12.4671,0.5426
0,20240220,2.26,1.2772,0.51,12.5785,0.5475
0,20240221,2.33,1.6702,0.73,12.9681,0.5644
0,20240222,2.36,0.9948,0.49,13.135,0.5717
0,20240223,2.41,1.2643,0.78,13.4133,0.5838
0,20240226,2.42,1.3398,0.93,13.469,0.5862
0,20240227,2.5,1.1954,0.91,13.9142,0.6056
0,20240228,2.35,2.1544,1.67,13.0794,0.5693
0,20240229,2.41,1.2801,0.92,13.4133,0.5838
0,20240301,2.37,1.1883,0.82,13.1907,0.5741
0,20240304,2.33,1.4291,1.0,12.9681,0.5644
0,20240305,2.29,0.934,0.64,12.7454,0.5548
0,20240306,2.32,0.9785,0.7,12.9124,0.562
0,20240307,2.3,0.9956,0.86,12.8011,0.5572
0,20240308,2.3,0.6947,0.63,12.8011,0.5572
0,20240311,2.36,0.7376,0.73,13.135,0.5717
0,20240312,2.46,1.8514,2.13,13.6916,0.5959
0,20240313,2.39,1.3171,1.25,13.302,0.579
0,20240314,2.39,0.9451,0.84,13.302,0.579
0,20240315,2.42,0.8241,0.74,13.469,0.5862
0,20240318,2.44,0.7905,0.7,13.5803,0.5911
0,20240319,2.41,0.8858,0.77,13.4133,0.5838
0,20240320,2.45,0.9183,0.96,13.6359,0.5935
0,20240321,2.46,0.7368,0.84,13.6916,0.5959
0,20240322,2.42,0.9045,1.09,13.469,0.5862
0,20240325,2.41,0.9977,1.18,13.4133,0.5838
0,20240326,2.46,1.1527,1.3,13.6916,0.5959
0,20240327,2.39,1.2455,1.32,13.302,0.579
0,20240328,2.4,1.0464,1.04,13.3577,0.5814
0,20240329,2.37,0.903,0.84,13.1907,0.5741
0,20240401,2.41,0.8092,0.76,13.4133,0.5838
0,20240402,2.45,1.1586,1.12,13.6359,0.5935
0,20240403,2.41,0.7687,0.74,13.4133,0.5838
