,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,2.57,0.6451,1.46,82.644,2.0151
0,20240103,2.57,0.3628,0.77,82.644,2.0151
0,20240104,2.55,0.3585,0.77,82.0008,1.9994
0,20240105,2.52,0.4513,1.02,81.0361,1.9759
0,20240108,2.49,0.5967,1.39,80.0714,1.9524
0,20240109,2.5,0.3899,0.81,80.393,1.9602
0,20240110,2.48,0.4379,1.01,79.7498,1.9445
0,20240111,2.51,0.365,0.82,80.7146,1.9681
0,20240112,2.51,0.4805,1.07,80.7146,1.9681
0,20240115,2.5,0.2797,0.62,80.393,1.9602
0,20240116,2.49,0.4245,1.09,80.0714,1.9524
0,20240117,2.46,0.3967,1.0,79.1067,1.9289
0,20240118,2.42,0.8562,2.2,77.8204,1.8975
0,20240119,2.41,0.4091,0.84,77.4988,1.8897
0,20240122,2.31,0.8377,1.77,74.2831,1.8113
0,20240123,2.32,0.8653,1.48,74.6047,1.8191
0,20240124,2.36,0.6251,0.93,75.891,1.8505
0,20240125,2.42,0.6523,0.91,77.8204,1.8975
0,20240126,2.43,0.6388,0.94,78.142,1.9053
0,20240129,2.37,0.5452,0.75,76.2126,1.8583
0,20240130,2.35,0.4659,0.7,75.5694,1.8426
0,20240131,2.28,0.7685,1.31,73.3184,1.7877
0,20240201,2.24,0.6562,1.07,72.0321,1.7564
0,20240202,2.18,0.937,1.52,70.1027,1.7093
0,20240205,2.03,1.3937,2.07,65.2791,1.5917
0,20240206,2.11,1.0722,1.27,67.8517,1.6544
0,20240207,2.11,0.8725,0.9,67.8517,1.6544
0,20240208,2.21,1.1662,1.18,71.0674,1.7328
0,20240219,2.22,0.8872,0.82,71.389,1.7407
0,20240220,2.23,0.5748,0.53,71.7105,1.7485
0,20240221,2.25,0.9152,1.0,72.3537,1.7642
0,20240222,2.27,0.5735,0.65,72.9968,1.7799
0,20240223,2.29,1.0595,1.29,73.64,1.7956
0,20240226,2.28,0.8579,1.07,73.3184,1.7877
0,20240227,2.32,0.7252,0.91,74.6047,1.8191
0,20240228,2.24,1.3843,1.68,72.0321,1.7564
0,20240229,2.3,0.999,1.09,73.9615,1.8034
0,20240301,2.3,0.9891,0.98,73.9615,1.8034
0,20240304,2.28,0.7388,0.75,73.3184,1.7877
0,20240305,2.25,0.5199,0.54,72.3537,1.7642
0,20240306,2.27,0.5383,0.58,72.9968,1.7799
0,20240307,2.27,0.5871,0.78,72.9968,1.7799
0,20240308,2.27,0.4336,0.64,72.9968,1.7799
0,20240311,2.5,5.0536,8.97,80.393,1.9602
0,20240312,2.46,5.1228,3.59,79.1067,1.9289
0,20240313,2.53,4.5087,1.92,81.3577,1.9838
0,20240314,2.46,2.3746,0.76,79.1067,1.9289
0,20240315,2.46,1.3557,0.39,79.1067,1.9289
0,20240318,2.45,1.6772,0.46,78.7851,1.921
0,20240319,2.43,1.2571,0.42,78.142,1.9053
0,20240320,2.44,0.9356,0.42,78.4636,1.9132
0,20240321,2.42,0.8991,0.59,77.8204,1.8975
0,20240322,2.45,1.8843,1.54,78.7851,1.921
0,20240325,2.4,0.9636,0.72,77.1773,1.8818
0,20240326,2.4,0.7093,0.6,77.1773,1.8818
0,20240327,2.34,0.6398,0.59,75.2478,1.8348
0,20240328,2.36,0.5901,0.58,75.891,1.8505
0,20240329,2.38,0.5062,0.53,76.5341,1.8661
0,20240401,2.4,0.5713,0.84,77.1773,1.8818
0,20240402,2.41,0.9237,1.53,77.4988,1.8897
0,20240403,2.42,1.0747,1.66,77.8204,1.8975
