,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,11.18,3.6137,0.96,,2.6451
0,20240103,11.02,2.7546,0.64,,2.6072
0,20240104,11.08,2.1932,0.48,,2.6214
0,20240105,10.8,2.106,0.46,,2.5552
0,20240108,10.41,2.9093,0.86,,2.4629
0,20240109,10.33,2.4266,0.89,,2.444
0,20240110,10.16,2.0927,0.84,,2.4038
0,20240111,10.36,2.5608,1.09,,2.4511
0,20240112,10.08,2.6064,1.08,,2.3848
0,20240115,10.04,1.9964,0.79,,2.3754
0,20240116,9.8,3.4019,1.46,,2.3186
0,20240117,9.56,2.3362,0.92,,2.2618
0,20240118,9.48,3.1195,1.21,,2.2429
0,20240119,9.3,1.8094,0.67,,2.2003
0,20240122,8.69,2.9865,1.18,,2.056
0,20240123,8.79,3.2576,1.19,,2.0796
0,20240124,8.93,2.7299,1.01,,2.1128
0,20240125,9.3,2.8747,1.03,,2.2003
0,20240126,9.23,2.4807,0.91,,2.1837
0,20240129,8.87,2.1862,0.76,,2.0986
0,20240130,8.55,2.3184,0.86,,2.0228
0,20240131,8.0,3.9463,1.57,,1.9041
0,20240201,7.94,2.9841,1.08,,1.8898
0,20240202,7.79,4.9216,1.77,,1.8541
0,20240205,7.06,5.6255,1.72,,1.6803
0,20240206,7.58,4.347,1.1,,1.8041
0,20240207,8.19,4.6878,1.07,,1.9493
0,20240208,8.7,4.4491,0.99,,2.0707
0,20240219,9.09,3.6847,0.77,,2.1635
0,20240220,9.02,2.2158,0.49,,2.1468
0,20240221,8.99,2.8605,0.74,,2.1397
0,20240222,9.27,2.201,0.61,,2.2063
0,20240223,9.55,2.6535,0.86,,2.273
0,20240226,9.59,2.9918,1.1,,2.2825
0,20240227,10.04,3.2026,1.24,,2.3896
0,20240228,9.21,4.2225,1.52,,2.1921
0,20240229,9.65,2.341,0.77,,2.2968
0,20240301,9.92,2.5351,0.82,,2.361
0,20240304,9.78,2.3967,0.78,,2.3277
0,20240305,9.59,2.1438,0.73,,2.2825
0,20240306,9.72,2.6366,0.97,,2.3134
0,20240307,9.36,2.3744,0.98,,2.2278
0,20240308,9.59,2.02,0.84,,2.2825
0,20240311,9.93,3.8484,1.66,,2.3634
0,20240312,9.79,3.8047,1.46,,2.3301
0,20240313,10.06,4.4968,1.53,,2.3944
0,20240314,9.74,3.2173,0.97,,2.3182
0,20240315,9.87,1.988,0.57,,2.3491
0,20240318,10.14,4.5027,1.3,,2.4134
0,20240319,10.16,5.8905,1.64,,2.4182
0,20240320,10.3,3.2277,0.8,,2.4515
0,20240321,10.4,3.7313,0.99,,2.4753
0,20240322,10.28,3.2544,0.84,,2.4467
0,20240325,9.77,3.1092,0.75,,2.3253
0,20240326,9.74,7.2609,1.89,,2.3182
0,20240327,8.98,4.6391,1.13,,2.1373
0,20240328,9.47,4.0284,0.92,,2.2539
0,20240329,9.47,2.2851,0.51,,2.2539
0,20240401,9.53,2.4621,0.58,,2.2682
0,20240402,9.28,2.2398,0.54,,2.2087
0,20240403,8.91,2.6223,0.84,,2.1207
