,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,7.56,0.7665,1.21,75.4784,1.661
0,20240103,7.56,0.8254,1.27,75.4784,1.661
0,20240104,7.5,0.5622,0.81,74.8793,1.6478
0,20240105,7.4,0.5763,0.82,73.8809,1.6259
0,20240108,7.21,0.6936,1.04,71.984,1.5841
0,20240109,7.24,0.6023,0.88,72.2835,1.5907
0,20240110,7.16,0.5864,0.9,71.4848,1.5731
0,20240111,7.2,0.6171,1.02,71.8841,1.5819
0,20240112,7.2,0.648,1.05,71.8841,1.5819
0,20240115,7.12,0.696,1.11,71.0854,1.5644
0,20240116,7.05,0.8386,1.33,70.3866,1.549
0,20240117,6.86,0.5508,0.81,68.4896,1.5072
0,20240118,6.7,1.0734,1.6,66.8922,1.4721
0,20240119,6.65,0.7838,1.03,66.393,1.4611
0,20240122,6.15,1.1746,1.49,61.401,1.3512
0,20240123,6.36,1.2636,1.43,63.4977,1.3974
0,20240124,6.66,3.7851,3.91,66.4928,1.4633
0,20240125,6.82,2.8377,1.76,68.0903,1.4984
0,20240126,6.79,1.5157,0.77,67.7907,1.4919
0,20240129,6.71,1.5454,0.73,66.992,1.4743
0,20240130,6.52,0.945,0.43,65.0951,1.4325
0,20240131,6.31,1.1185,0.53,62.9985,1.3864
0,20240201,6.28,1.4134,0.89,62.699,1.3798
0,20240202,5.98,1.645,1.26,59.7038,1.3139
0,20240205,5.53,2.6172,1.96,55.211,1.215
0,20240206,5.9,2.5206,1.63,58.9051,1.2963
0,20240207,6.14,2.448,1.31,61.3012,1.349
0,20240208,6.49,2.5748,1.22,64.7956,1.4259
0,20240219,6.44,1.8552,0.79,64.2964,1.415
0,20240220,6.5,0.9702,0.4,64.8954,1.4281
0,20240221,6.58,1.1897,0.58,65.6941,1.4457
0,20240222,6.63,0.9197,0.51,66.1933,1.4567
0,20240223,6.67,0.9781,0.65,66.5927,1.4655
0,20240226,6.74,1.1537,0.98,67.2915,1.4809
0,20240227,6.83,0.8017,0.77,68.1901,1.5006
0,20240228,6.56,1.3747,1.36,65.4944,1.4413
0,20240229,6.83,1.1464,1.1,68.1901,1.5006
0,20240301,6.93,1.0919,1.0,69.1885,1.5226
0,20240304,6.9,1.0211,0.92,68.889,1.516
0,20240305,6.9,0.8574,0.79,68.889,1.516
0,20240306,6.93,1.0775,0.98,69.1885,1.5226
0,20240307,6.94,0.9946,0.95,68.7542,1.5131
0,20240308,7.03,0.8996,0.89,69.6458,1.5327
0,20240311,7.09,0.9047,0.93,70.2402,1.5458
0,20240312,7.08,1.0885,1.15,70.1412,1.5436
0,20240313,7.11,1.0253,1.03,70.4384,1.5501
0,20240314,7.13,1.076,1.1,70.6365,1.5545
0,20240315,7.36,1.4613,1.46,72.9151,1.6046
0,20240318,7.49,1.5885,1.43,74.203,1.633
0,20240319,7.63,1.8775,1.5,75.59,1.6635
0,20240320,7.72,2.3794,1.69,76.4816,1.6831
0,20240321,7.74,1.7935,1.07,76.6797,1.6875
0,20240322,8.51,7.2109,3.96,84.3081,1.8553
0,20240325,8.18,8.4086,2.83,81.0388,1.7834
0,20240326,8.04,4.7517,1.1,79.6518,1.7529
0,20240327,7.66,3.649,0.74,75.8872,1.67
0,20240328,8.06,3.4984,0.68,79.85,1.7572
0,20240329,8.18,2.7338,0.5,81.0388,1.7834
0,20240401,8.22,3.0813,0.67,81.4351,1.7921
0,20240402,8.29,3.3284,0.94,82.1286,1.8074
0,20240403,8.25,2.5939,0.8,81.7323,1.7987
