,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,29.17,2.8253,0.96,36.1723,3.0719
0,20240103,29.0,2.0233,0.78,35.9615,3.054
0,20240104,29.16,1.366,0.53,36.1599,3.0709
0,20240105,28.66,2.8077,1.12,35.5398,3.0182
0,20240108,28.75,3.0297,1.23,35.6514,3.0277
0,20240109,28.9,2.7426,1.14,35.8375,3.0435
0,20240110,28.82,1.8269,0.76,35.7382,3.0351
0,20240111,28.79,2.8882,1.23,35.701,3.0319
0,20240112,28.79,2.9737,1.12,35.701,3.0319
0,20240115,28.77,1.9414,0.72,35.6762,3.0298
0,20240116,28.2,4.061,1.64,34.9694,2.9698
0,20240117,27.64,2.6088,0.95,34.275,2.9108
0,20240118,26.7,7.486,2.59,33.1093,2.8118
0,20240119,26.2,3.1288,0.82,32.4893,2.7592
0,20240122,24.79,4.9914,1.3,30.7408,2.6107
0,20240123,25.38,5.6843,1.28,31.4725,2.6728
0,20240124,25.48,4.8547,1.02,31.5965,2.6833
0,20240125,25.57,4.5519,0.87,31.7081,2.6928
0,20240126,26.04,6.2986,1.36,32.2909,2.7423
0,20240129,25.35,5.1594,0.98,31.4353,2.6697
0,20240130,24.86,10.6399,2.0,30.8277,2.618
0,20240131,22.37,7.4467,1.18,27.7399,2.3558
0,20240201,21.85,8.4031,1.23,27.0951,2.3011
0,20240202,23.0,5.5908,0.74,28.5212,2.4222
0,20240205,20.7,2.0145,0.27,25.669,2.18
0,20240206,18.63,6.4956,0.95,23.1021,1.962
0,20240207,16.77,8.7304,1.46,20.7956,1.7661
0,20240208,17.43,15.7887,2.53,21.6141,1.8356
0,20240219,17.81,11.1539,1.44,22.0853,1.8756
0,20240220,17.79,7.5629,0.86,22.0605,1.8735
0,20240221,18.27,8.9675,0.9,22.6557,1.924
0,20240222,19.26,9.1181,0.87,23.8834,2.0283
0,20240223,19.91,7.0408,0.67,24.6894,2.0968
0,20240226,20.3,10.724,1.22,25.173,2.1378
0,20240227,20.73,8.777,1.01,25.7062,2.1831
0,20240228,18.66,12.1863,1.37,23.1393,1.9651
0,20240229,19.83,9.6258,1.01,24.5902,2.0883
0,20240301,19.67,7.3399,0.76,24.3918,2.0715
0,20240304,19.06,6.0447,0.62,23.6354,2.0072
0,20240305,18.79,4.7764,0.54,23.3005,1.9788
0,20240306,19.52,6.5528,0.82,24.2058,2.0557
0,20240307,19.5,5.2526,0.76,24.181,2.0536
0,20240308,19.53,5.8425,0.97,24.2182,2.0567
0,20240311,20.1,5.4794,0.96,24.925,2.1168
0,20240312,20.4,4.8572,0.87,25.297,2.1484
0,20240313,20.48,4.9176,0.88,25.3962,2.1568
0,20240314,19.93,5.0302,0.95,24.7142,2.0989
0,20240315,20.36,5.2845,1.01,25.2474,2.1441
0,20240318,20.93,5.4723,1.07,25.9543,2.2042
0,20240319,20.68,3.5767,0.7,25.6442,2.1778
0,20240320,21.0,3.716,0.77,26.0411,2.2115
0,20240321,21.04,5.1475,1.12,26.0907,2.2158
0,20240322,20.51,4.4588,0.96,25.4334,2.1599
0,20240325,19.7,4.6073,1.03,24.429,2.0746
0,20240326,20.01,3.974,0.92,24.8134,2.1073
0,20240327,19.2,3.9135,0.89,23.809,2.022
0,20240328,19.72,6.6929,1.51,24.4538,2.0767
0,20240329,20.67,7.3791,1.56,25.6318,2.1768
0,20240401,20.93,6.4892,1.22,25.9543,2.2042
0,20240402,20.93,4.2397,0.75,25.9543,2.2042
0,20240403,21.16,5.698,0.99,26.2395,2.2284
