,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.76,0.2239,1.2,4.6676,0.3129
0,20240103,3.76,0.1939,0.99,4.6676,0.3129
0,20240104,3.76,0.2177,1.03,4.6676,0.3129
0,20240105,3.81,0.4263,1.96,4.7297,0.3171
0,20240108,3.76,0.291,1.19,4.6676,0.3129
0,20240109,3.8,0.2625,0.97,4.7173,0.3162
0,20240110,3.76,0.1666,0.6,4.6676,0.3129
0,20240111,3.72,0.2524,0.93,4.618,0.3096
0,20240112,3.74,0.1558,0.56,4.6428,0.3112
0,20240115,3.74,0.1839,0.81,4.6428,0.3112
0,20240116,3.83,0.3777,1.85,4.7545,0.3187
0,20240117,3.81,0.3078,1.35,4.7297,0.3171
0,20240118,3.75,0.5795,2.27,4.6552,0.3121
0,20240119,3.77,0.3553,1.11,4.68,0.3137
0,20240122,3.74,0.4698,1.3,4.6428,0.3112
0,20240123,3.74,0.2599,0.62,4.6428,0.3112
0,20240124,3.83,0.3729,0.95,4.7545,0.3187
0,20240125,3.88,0.3206,0.79,4.8166,0.3229
0,20240126,4.0,0.4634,1.3,4.9655,0.3329
0,20240129,3.98,0.3576,0.95,4.9407,0.3312
0,20240130,3.96,0.3289,0.93,4.9159,0.3296
0,20240131,3.95,0.2894,0.79,4.9035,0.3287
0,20240201,3.92,0.3248,0.92,4.8662,0.3262
0,20240202,3.95,0.4296,1.22,4.9035,0.3287
0,20240205,3.95,0.5346,1.54,4.9035,0.3287
0,20240206,3.97,0.4732,1.24,4.9283,0.3304
0,20240207,3.96,0.5511,1.34,4.9159,0.3296
0,20240208,3.95,0.5098,1.1,4.9035,0.3287
0,20240219,4.01,0.4071,0.81,4.978,0.3337
0,20240220,4.08,0.339,0.68,5.0649,0.3395
0,20240221,4.11,0.4099,0.9,5.1021,0.342
0,20240222,4.11,0.2514,0.57,5.1021,0.342
0,20240223,4.13,0.2574,0.67,5.1269,0.3437
0,20240226,4.02,0.2987,0.9,4.9904,0.3345
0,20240227,4.04,0.1728,0.56,5.0152,0.3362
0,20240228,4.05,0.2732,0.98,5.0276,0.337
0,20240229,4.04,0.2912,1.16,5.0152,0.3362
0,20240301,4.06,0.27,1.04,5.04,0.3379
0,20240304,4.02,0.234,0.9,4.9904,0.3345
0,20240305,4.07,0.3491,1.41,5.0524,0.3387
0,20240306,4.07,0.1939,0.68,5.0524,0.3387
0,20240307,4.08,0.2072,0.77,5.0649,0.3395
0,20240308,4.07,0.1638,0.65,5.0524,0.3387
0,20240311,4.05,0.219,0.95,5.0276,0.337
0,20240312,4.02,0.2378,1.05,4.9904,0.3345
0,20240313,3.97,0.1864,0.91,4.9283,0.3304
0,20240314,3.95,0.1865,0.92,4.9035,0.3287
0,20240315,3.99,0.2149,1.08,4.9531,0.332
0,20240318,3.98,0.181,0.87,4.9407,0.3312
0,20240319,3.95,0.1554,0.77,4.9035,0.3287
0,20240320,3.96,0.1764,0.95,4.9159,0.3296
0,20240321,3.96,0.1789,0.98,4.9159,0.3296
0,20240322,3.96,0.2241,1.24,4.9159,0.3296
0,20240325,3.97,0.2106,1.15,4.9283,0.3304
0,20240326,4.01,0.2597,1.37,4.978,0.3337
0,20240327,4.07,0.4403,2.1,5.0524,0.3387
0,20240328,4.06,0.3673,1.4,5.04,0.3379
0,20240329,4.05,0.323,1.08,4.9499,0.3348
0,20240401,4.02,0.2819,0.88,4.9132,0.3323
0,20240402,4.06,0.31,0.93,4.9621,0.3356
0,20240403,4.03,0.1974,0.57,4.9254,0.3331
