,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,11.71,0.397,1.01,20.8775,2.2782
0,20240103,11.5,0.3605,0.95,20.5031,2.2373
0,20240104,11.54,0.3887,1.0,20.5744,2.2451
0,20240105,11.16,0.8288,2.05,19.8969,2.1712
0,20240108,10.82,0.67,1.33,19.2907,2.105
0,20240109,11.13,0.5137,0.97,19.8434,2.1654
0,20240110,10.99,0.3175,0.57,19.5938,2.1381
0,20240111,10.96,0.505,0.93,19.5403,2.1323
0,20240112,10.46,0.8657,1.53,18.6489,2.035
0,20240115,10.55,0.4889,0.85,18.8093,2.0525
0,20240116,10.44,0.4896,0.91,18.6132,2.0311
0,20240117,9.99,1.057,1.98,17.8109,1.9436
0,20240118,9.93,0.6446,0.95,17.7039,1.9319
0,20240119,9.77,0.6767,0.95,17.4187,1.9008
0,20240122,9.06,0.9755,1.45,16.1528,1.7626
0,20240123,8.8,1.0651,1.39,15.6893,1.712
0,20240124,8.9,0.8981,1.02,15.8676,1.7315
0,20240125,9.35,1.0649,1.25,16.6699,1.8191
0,20240126,9.22,0.7246,0.77,16.4381,1.7938
0,20240129,9.1,1.5824,1.67,16.2242,1.7704
0,20240130,8.78,0.9745,0.91,15.6536,1.7082
0,20240131,8.38,1.38,1.32,14.9405,1.6303
0,20240201,8.22,1.3365,1.17,14.6552,1.5992
0,20240202,9.04,2.5013,2.09,16.1168,1.7587
0,20240205,8.68,3.5082,2.26,15.475,1.6887
0,20240206,8.41,3.4639,1.79,14.9936,1.6362
0,20240207,9.25,3.7032,1.52,16.4912,1.7996
0,20240208,10.18,4.2897,1.48,18.1492,1.9805
0,20240219,10.04,4.3575,1.25,17.8996,1.9533
0,20240220,9.95,2.9831,0.77,17.7392,1.9358
0,20240221,9.86,2.6214,0.7,17.5787,1.9183
0,20240222,9.91,2.1212,0.59,17.6679,1.928
0,20240223,10.28,3.0966,0.95,18.3275,2.0
0,20240226,10.74,3.8788,1.28,19.1476,2.0895
0,20240227,11.11,3.7633,1.28,19.8073,2.1615
0,20240228,10.0,3.3493,1.08,17.8283,1.9455
0,20240229,10.45,2.1991,0.68,18.6306,2.0331
0,20240301,10.47,1.9819,0.61,18.6663,2.0369
0,20240304,10.57,2.0763,0.68,18.8445,2.0564
0,20240305,10.04,1.6388,0.61,17.8996,1.9533
0,20240306,10.37,1.7838,0.79,18.488,2.0175
0,20240307,10.25,1.5508,0.8,18.274,1.9941
0,20240308,10.26,1.1096,0.61,18.2919,1.9961
0,20240311,10.19,1.3446,0.82,18.1671,1.9825
0,20240312,10.38,1.4396,0.97,18.5058,2.0194
0,20240313,10.2,1.8539,1.28,18.1849,1.9844
0,20240314,9.99,1.3193,0.9,17.8105,1.9436
0,20240315,10.12,0.9965,0.71,18.0423,1.9688
0,20240318,10.33,1.755,1.26,18.4167,2.0097
0,20240319,10.14,1.407,0.96,18.0779,1.9727
0,20240320,10.17,1.1715,0.8,18.1314,1.9786
0,20240321,10.0,1.3924,1.05,17.8283,1.9455
0,20240322,9.55,1.5399,1.15,17.0261,1.858
0,20240325,9.23,1.1938,0.82,16.4556,1.7957
0,20240326,9.09,1.5152,1.13,16.206,1.7685
0,20240327,8.66,1.0833,0.8,15.4393,1.6848
0,20240328,8.84,1.168,0.87,15.7602,1.7198
0,20240329,8.91,1.0436,0.8,15.885,1.7334
0,20240401,9.01,1.6194,1.35,16.0633,1.7529
0,20240402,8.68,2.4514,1.91,15.475,1.6887
0,20240403,8.39,2.3203,1.58,14.958,1.6323
