,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,10.01,1.6241,1.73,21.0174,1.4438
0,20240103,10.09,1.3971,1.29,21.1854,1.4553
0,20240104,10.13,1.0527,0.9,21.2693,1.4611
0,20240105,9.95,1.1042,0.91,20.8914,1.4351
0,20240108,9.75,1.049,0.85,20.4715,1.4063
0,20240109,9.82,1.0514,0.84,20.6185,1.4164
0,20240110,9.75,0.9629,0.85,20.4715,1.4063
0,20240111,9.81,1.0757,1.03,20.5975,1.4149
0,20240112,9.7,0.984,0.94,20.3665,1.3991
0,20240115,9.64,1.0195,1.0,20.2405,1.3904
0,20240116,9.57,1.1793,1.16,20.0935,1.3803
0,20240117,9.35,1.3546,1.3,19.6316,1.3486
0,20240118,9.14,2.1691,1.93,19.1907,1.3183
0,20240119,9.02,1.325,0.99,18.9387,1.301
0,20240122,8.49,1.805,1.28,17.8259,1.2246
0,20240123,8.52,1.9635,1.25,17.8889,1.2289
0,20240124,8.48,2.4701,1.43,17.8049,1.2231
0,20240125,8.82,2.128,1.09,18.5188,1.2722
0,20240126,8.8,1.2391,0.64,18.4768,1.2693
0,20240129,8.51,1.4643,0.76,17.8679,1.2274
0,20240130,8.18,1.3477,0.73,17.175,1.1798
0,20240131,7.42,3.8084,2.2,15.5793,1.0702
0,20240201,7.27,2.0981,1.05,15.2644,1.0486
0,20240202,6.89,2.2441,1.13,14.4665,0.9938
0,20240205,6.2,2.719,1.24,13.0178,0.8943
0,20240206,6.04,4.1186,1.69,12.6818,0.8712
0,20240207,5.66,5.4861,1.83,11.884,0.8164
0,20240208,6.23,4.8876,1.47,13.0808,0.8986
0,20240219,6.43,4.0813,1.05,13.5007,0.9274
0,20240220,6.54,2.5457,0.6,13.7316,0.9433
0,20240221,6.73,2.6768,0.63,14.1306,0.9707
0,20240222,6.85,1.752,0.45,14.3825,0.988
0,20240223,7.16,2.4037,0.75,15.0334,1.0327
0,20240226,7.28,2.1643,0.8,15.2854,1.05
0,20240227,7.45,1.5379,0.67,15.6423,1.0745
0,20240228,6.91,3.8269,1.82,14.5085,0.9967
0,20240229,7.11,2.7906,1.19,14.9284,1.0255
0,20240301,7.12,1.7919,0.7,14.9494,1.027
0,20240304,7.08,1.5771,0.65,14.8654,1.0212
0,20240305,6.89,1.6206,0.7,14.4665,0.9938
0,20240306,6.91,1.2217,0.53,14.5085,0.9967
0,20240307,6.82,1.5653,0.87,14.3195,0.9837
0,20240308,6.86,0.9652,0.62,14.4035,0.9895
0,20240311,6.99,1.1633,0.84,14.6765,1.0082
0,20240312,7.23,2.0192,1.54,15.1804,1.0428
0,20240313,7.2,1.5108,1.09,15.1174,1.0385
0,20240314,7.19,1.4292,0.99,15.0964,1.037
0,20240315,7.26,1.1071,0.78,15.2434,1.0471
0,20240318,7.47,1.8745,1.3,15.6843,1.0774
0,20240319,7.53,2.0047,1.26,15.8103,1.0861
0,20240320,7.61,1.8825,1.19,15.9783,1.0976
0,20240321,7.61,1.3409,0.81,15.9783,1.0976
0,20240322,7.45,1.4461,0.88,15.6423,1.0745
0,20240325,7.26,1.7864,1.04,15.2434,1.0471
0,20240326,7.23,1.213,0.72,15.1804,1.0428
0,20240327,7.21,1.9376,1.26,15.1384,1.0399
0,20240328,7.36,1.625,1.05,15.4533,1.0616
0,20240329,7.4,1.0611,0.66,15.5373,1.0673
0,20240401,7.53,1.3876,0.91,15.8103,1.0861
0,20240402,7.66,2.0961,1.45,16.0832,1.1048
0,20240403,7.69,1.4834,0.91,16.1462,1.1092
