,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,26.17,13.4424,0.96,,4.925
0,20240103,26.82,17.8012,1.25,,5.0473
0,20240104,26.24,13.6198,0.91,,4.9382
0,20240105,25.0,10.0918,0.71,,4.7048
0,20240108,26.28,14.2553,1.05,,4.9457
0,20240109,25.44,10.9874,0.79,,4.7876
0,20240110,24.5,8.2928,0.62,,4.6107
0,20240111,24.83,6.6364,0.58,,4.6728
0,20240112,22.94,10.599,1.05,,4.3172
0,20240115,21.9,7.635,0.75,,4.1214
0,20240116,21.67,6.0596,0.69,,4.0781
0,20240117,21.5,5.6821,0.72,,4.0462
0,20240118,21.91,6.0366,0.82,,4.1233
0,20240119,21.25,4.1603,0.58,,3.9991
0,20240122,19.52,6.7063,1.13,,3.6735
0,20240123,19.95,5.0775,0.89,,3.7545
0,20240124,20.19,5.2443,0.95,,3.7996
0,20240125,20.71,5.3454,0.98,,3.8975
0,20240126,20.48,4.2992,0.81,,3.8542
0,20240129,19.61,3.9468,0.74,,3.6905
0,20240130,18.78,3.9433,0.82,,3.5343
0,20240131,17.18,6.91,1.52,,3.2332
0,20240201,17.25,4.0481,0.83,,3.2463
0,20240202,16.37,5.0639,1.09,,3.0807
0,20240205,14.73,5.886,1.23,,2.7721
0,20240206,15.02,5.9944,1.16,,2.8267
0,20240207,14.63,5.5245,0.99,,2.7533
0,20240208,15.98,6.3632,1.2,,3.0073
0,20240219,17.58,1.5773,0.27,,3.3084
0,20240220,19.34,6.876,1.36,,3.6397
0,20240221,19.18,18.1661,3.45,,3.6095
0,20240222,19.75,11.3673,1.48,,3.7168
0,20240223,20.9,15.057,1.7,,3.9332
0,20240226,20.93,12.7484,1.2,,3.9389
0,20240227,21.39,11.985,0.93,,4.0255
0,20240228,19.26,12.4561,0.9,,3.6246
0,20240229,20.26,8.6785,0.68,,3.8128
0,20240301,21.24,11.5287,0.95,,3.9972
0,20240304,21.95,12.3334,1.07,,4.1308
0,20240305,21.68,12.2002,1.07,,4.08
0,20240306,21.25,7.5672,0.66,,3.9991
0,20240307,20.61,6.604,0.63,,3.8787
0,20240308,20.79,4.5282,0.45,,3.9125
0,20240311,20.99,4.609,0.53,,3.9502
0,20240312,21.22,5.0891,0.72,,3.9935
0,20240313,21.84,11.7933,2.08,,4.1101
0,20240314,21.26,7.3354,1.12,,4.001
0,20240315,21.57,5.3474,0.8,,4.0593
0,20240318,22.11,7.1224,1.04,,4.161
0,20240319,22.01,6.2693,0.85,,4.1421
0,20240320,22.68,8.85,1.17,,4.2682
0,20240321,22.72,8.7097,1.25,,4.2758
0,20240322,22.8,9.3189,1.28,,4.2908
0,20240325,21.66,6.7649,0.84,,4.0763
0,20240326,20.96,5.8832,0.74,,3.9445
0,20240327,19.48,5.9558,0.75,,3.666
0,20240328,20.67,5.9609,0.81,,3.89
0,20240329,20.35,3.5707,0.53,,3.8297
0,20240401,22.39,5.9424,1.06,,4.3701
0,20240402,22.16,14.3482,2.63,,4.3252
0,20240403,21.2,7.8655,1.1,,4.1379
