,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.71,0.6632,1.3,15.5447,1.1126
0,20240103,6.82,0.693,1.16,15.7995,1.1308
0,20240104,6.67,0.5126,0.81,15.452,1.106
0,20240105,6.6,0.401,0.6,15.2899,1.0944
0,20240108,6.44,0.5055,0.85,14.9192,1.0678
0,20240109,6.38,0.6687,1.2,14.7802,1.0579
0,20240110,6.29,0.5998,1.08,14.5717,1.043
0,20240111,6.3,0.5462,1.02,14.5949,1.0446
0,20240112,6.38,0.837,1.54,14.7802,1.0579
0,20240115,6.34,0.492,0.78,14.6876,1.0512
0,20240116,6.32,0.5283,0.84,14.6412,1.0479
0,20240117,6.12,0.4217,0.7,14.1779,1.0148
0,20240118,6.08,0.7785,1.38,14.0852,1.0081
0,20240119,5.98,0.4629,0.76,13.8536,0.9915
0,20240122,5.64,0.6177,1.15,13.0659,0.9352
0,20240123,6.2,0.5357,0.95,14.3632,1.028
0,20240124,6.46,3.7213,6.61,14.9656,1.0711
0,20240125,6.8,2.3529,1.92,15.7532,1.1275
0,20240126,6.77,1.398,0.91,15.6837,1.1225
0,20240129,6.63,1.3347,0.77,15.3594,1.0993
0,20240130,6.47,0.9228,0.49,14.9887,1.0728
0,20240131,6.18,1.2483,0.64,14.3169,1.0247
0,20240201,6.19,1.5979,1.1,14.3401,1.0264
0,20240202,5.91,1.3097,1.01,13.6914,0.9799
0,20240205,5.32,1.9768,1.54,12.3246,0.8821
0,20240206,5.47,1.6457,1.17,12.6721,0.907
0,20240207,5.71,1.6308,1.05,13.2281,0.9468
0,20240208,5.88,1.5883,0.97,13.6219,0.975
0,20240219,5.97,1.6772,1.03,13.8304,0.9899
0,20240220,6.04,0.896,0.53,13.9926,1.0015
0,20240221,6.09,1.0767,0.72,14.1084,1.0098
0,20240222,6.14,0.6491,0.47,14.2242,1.0181
0,20240223,6.17,0.7099,0.6,14.2937,1.0231
0,20240226,6.21,0.7433,0.74,14.3864,1.0297
0,20240227,6.29,0.864,1.06,14.5717,1.043
0,20240228,5.98,1.072,1.33,13.8536,0.9915
0,20240229,6.2,0.7549,0.93,14.3632,1.028
0,20240301,6.31,1.0311,1.24,14.6181,1.0463
0,20240304,6.36,0.997,1.12,14.7339,1.0546
0,20240305,6.21,0.7497,0.79,14.3864,1.0297
0,20240306,6.17,0.7592,0.82,14.2937,1.0231
0,20240307,6.12,0.6197,0.72,14.1779,1.0148
0,20240308,6.23,0.5961,0.72,14.4327,1.033
0,20240311,6.31,0.6023,0.81,14.6181,1.0463
0,20240312,6.36,0.5106,0.77,14.7339,1.0546
0,20240313,6.39,0.7264,1.18,14.8034,1.0595
0,20240314,6.35,0.6467,1.06,14.7107,1.0529
0,20240315,6.44,0.5839,0.95,14.9192,1.0678
0,20240318,6.5,0.6562,1.07,15.0582,1.0778
0,20240319,6.42,0.6101,0.98,14.8729,1.0645
0,20240320,6.47,0.4808,0.75,14.9887,1.0728
0,20240321,6.43,0.5557,0.93,14.8961,1.0662
0,20240322,6.32,0.6118,1.06,14.6412,1.0479
0,20240325,6.25,0.5522,0.95,14.4791,1.0363
0,20240326,6.3,0.6987,1.24,14.5949,1.0446
0,20240327,6.1,0.719,1.24,14.1316,1.0114
0,20240328,6.39,2.1585,3.44,10.7778,1.0241
0,20240329,6.36,1.6938,1.79,10.7272,1.0193
0,20240401,6.32,2.0789,1.79,10.6597,1.0129
0,20240402,6.29,1.429,0.97,10.6091,1.0081
0,20240403,6.22,1.0309,0.64,10.4911,0.9969
